name,year,mean,stdDev,count
alaskaRange,2002.0,0.009735013461410221,0.0152589697039729,84782
coastNorth,2002.0,0.005035938457526204,0.010443485451355832,104011
coastSouth,2002.0,0.0037464387276385587,0.009180310939935103,60261
interiorNorth,2002.0,0.004624491058493272,0.010215081672926916,6651
interiorSouth,2002.0,0.013894323424980051,0.017141576403552475,17496
alaskaRange,2003.0,0.011170053656808851,0.015638555226162535,94841
coastNorth,2003.0,0.004877887455072776,0.010592791086609822,121261
coastSouth,2003.0,0.005136031247203449,0.0116925381462497,79152
interiorNorth,2003.0,0.010233431485448941,0.016479875035719356,10382
interiorSouth,2003.0,0.013079918196472964,0.017566008794454777,23810
alaskaRange,2004.0,0.006401488961717227,0.013312775914070747,79130
coastNorth,2004.0,0.0053382651675020635,0.010728497111145888,120655
coastSouth,2004.0,0.00598661996636161,0.011154222074789692,76063
interiorNorth,2004.0,0.008399537410530273,0.014845001983050063,9756
interiorSouth,2004.0,0.01006600878220427,0.01731055778964483,18397
alaskaRange,2005.0,0.01690787602052441,0.01822737025807661,86043
coastNorth,2005.0,0.0065731679768689785,0.011744105798312482,103980
coastSouth,2005.0,0.006292727933244761,0.012458078819299716,51807
interiorNorth,2005.0,0.01404245922347894,0.01986320642935209,5355
interiorSouth,2005.0,0.010515839048064425,0.017565170839028848,14010
alaskaRange,2006.0,0.011859793420037967,0.017136589939143063,81487
coastNorth,2006.0,0.006826539651265318,0.011628127252151345,111217
coastSouth,2006.0,0.004666485034243921,0.010815129137263006,60747
interiorNorth,2006.0,0.010222115901923753,0.01577348810657247,7454
interiorSouth,2006.0,0.009165331614932732,0.015817745805016017,16943
alaskaRange,2007.0,0.007528993043972966,0.012926953098805344,73565
coastNorth,2007.0,0.004355955687561245,0.010172927659563047,104528
coastSouth,2007.0,0.004217360194178602,0.010392196044676833,65188
interiorNorth,2007.0,0.008851422815537864,0.01695997377909443,8147
interiorSouth,2007.0,0.01772133394664963,0.020871331123405525,20712
alaskaRange,2008.0,0.011061678976739391,0.015543524217838806,84000
coastNorth,2008.0,0.005264949402389824,0.010264543912688228,94533
coastSouth,2008.0,0.0045948164930159074,0.010929922302879674,51691
interiorNorth,2008.0,0.01564945407399665,0.0204448019013699,8379
interiorSouth,2008.0,0.014541563999681366,0.019819996362533433,11678
alaskaRange,2009.0,0.008715286660805824,0.015615910936943934,69558
coastNorth,2009.0,0.008920248867679078,0.012182671478900018,125494
coastSouth,2009.0,0.0069783639513188314,0.01159652951962588,82259
interiorNorth,2009.0,0.014654193842016073,0.01911092839800175,12329
interiorSouth,2009.0,0.010389107134545895,0.016845150892463297,19665
alaskaRange,2010.0,0.007851051902219429,0.015735165927458612,73674
coastNorth,2010.0,0.00799992002994093,0.013334614775720397,112888
coastSouth,2010.0,0.009767326432002153,0.012873083367658822,84104
interiorNorth,2010.0,0.012365665409087845,0.017417971276406166,11102
interiorSouth,2010.0,0.019357458332343185,0.021335836255953564,19054
alaskaRange,2011.0,0.008768867223181874,0.015360765247760649,75917
coastNorth,2011.0,0.006384576795008317,0.012786623485769288,109978
coastSouth,2011.0,0.004361614050524039,0.010755034499403916,58841
interiorNorth,2011.0,0.012048465347419553,0.020874272853345643,9529
interiorSouth,2011.0,0.015503744322146597,0.02088195164417688,10557
alaskaRange,2012.0,0.010752995143801758,0.015099248778648714,92200
coastNorth,2012.0,0.003883081138039018,0.009162790298970868,119553
coastSouth,2012.0,0.003452099997218018,0.009185166273254745,74089
interiorNorth,2012.0,0.01226932756365391,0.01901906338899617,10328
interiorSouth,2012.0,0.010579377897712969,0.015340934321405611,16857
alaskaRange,2013.0,0.010473423476041447,0.017932576325669164,85044
coastNorth,2013.0,0.00480922988360036,0.011134401818527394,112589
coastSouth,2013.0,0.011311235076566268,0.014569861631024864,82775
interiorNorth,2013.0,0.013785481850758962,0.02210650806617587,10418
interiorSouth,2013.0,0.01813471300199834,0.024377493088004548,17947
alaskaRange,2014.0,0.014309701795686271,0.017119258417412637,88757
coastNorth,2014.0,0.007809487535499498,0.012785374071776094,115469
coastSouth,2014.0,0.006487668150232002,0.013149292260206636,71581
interiorNorth,2014.0,0.010398310380013157,0.017521450108973012,10839
interiorSouth,2014.0,0.014375834685001455,0.018240584708042247,22692
alaskaRange,2015.0,0.0077960802623309325,0.01454394858373616,78298
coastNorth,2015.0,0.004162900605510375,0.010899365218969547,111805
coastSouth,2015.0,0.004372759165987064,0.010957516822197626,61423
interiorNorth,2015.0,0.007233198814929374,0.014868261986785352,7624
interiorSouth,2015.0,0.006466143116697653,0.013964282287967845,18583
alaskaRange,2016.0,0.008098557314531293,0.01537321040637873,69713
coastNorth,2016.0,0.006996023080742725,0.011546755592650986,104220
coastSouth,2016.0,0.0037853583643512956,0.010294804463711081,66815
interiorNorth,2016.0,0.0061597032230668635,0.014108038886257097,8480
interiorSouth,2016.0,0.008253417456227301,0.017117096703329306,14005
alaskaRange,2017.0,0.0063972227223733505,0.012946647139571159,85312
coastNorth,2017.0,0.005021285102694629,0.01174704587507747,111741
coastSouth,2017.0,0.007239590457420746,0.01308101075884348,70016
interiorNorth,2017.0,0.00988145770711241,0.019755271101145434,9064
interiorSouth,2017.0,0.016189587070289856,0.01894841638021664,22677
