name,date,mean,stdDev,count
alaskaPeninsula,2000-07-01,,,0
alaskaRange,2000-07-01,6.680962841699388E-4,0.002802152010942573,73079
coastNorth,2000-07-01,7.69852636812734E-5,6.067758666562256E-4,95302
coastSouth,2000-07-01,5.506633219834955E-4,0.001648511212430389,82401
interiorNorth,2000-07-01,5.961143008814011E-4,0.0024309985206711245,10520
interiorSouth,2000-07-01,4.93678537009219E-4,0.0016007947412567953,24786
alaskaPeninsula,2000-07-02,,,0
alaskaRange,2000-07-02,3.3194323586709E-4,0.0011571354985883246,74238
coastNorth,2000-07-02,1.0468266105357651E-4,8.647436656364192E-4,96667
coastSouth,2000-07-02,1.331852075826115E-4,9.172729297476981E-4,83307
interiorNorth,2000-07-02,1.723951619533958E-4,9.441071666149322E-4,10308
interiorSouth,2000-07-02,0.0029133140942129566,0.0035462476981009284,25679
alaskaPeninsula,2000-07-03,,,0
alaskaRange,2000-07-03,1.1914769487475496E-4,9.954891118892225E-4,73792
coastNorth,2000-07-03,1.457829441319526E-4,9.664485987803706E-4,96381
coastSouth,2000-07-03,9.335280580673165E-5,7.86520276198425E-4,83829
interiorNorth,2000-07-03,8.032361569255717E-4,0.001960571121400208,10796
interiorSouth,2000-07-03,0.0019810380942315076,0.0027061003130395564,24726
alaskaPeninsula,2000-07-04,,,0
alaskaRange,2000-07-04,5.539462377562921E-4,0.0019220637527199522,73623
coastNorth,2000-07-04,1.171169567795106E-4,9.723498555552913E-4,96596
coastSouth,2000-07-04,1.6439632670922904E-4,9.077815486588066E-4,82782
interiorNorth,2000-07-04,3.773310944754615E-4,0.0017176683921647903,10877
interiorSouth,2000-07-04,0.0017521898165285207,0.0021711449159768,25797
alaskaPeninsula,2000-07-05,,,0
alaskaRange,2000-07-05,7.985534307230483E-4,0.004117648657808928,73525
coastNorth,2000-07-05,2.594219819644947E-4,0.0015294661856817093,97552
coastSouth,2000-07-05,1.48188444493988E-4,9.413496774899269E-4,82897
interiorNorth,2000-07-05,5.775177039247131E-4,0.0015248090096496168,10743
interiorSouth,2000-07-05,0.0011061429127624091,0.0018906849360197807,25418
alaskaPeninsula,2000-07-06,,,0
alaskaRange,2000-07-06,2.8289497578188737E-4,0.001566253684487733,73695
coastNorth,2000-07-06,1.924339982929909E-4,0.001164220708571143,97260
coastSouth,2000-07-06,3.702064118374692E-4,0.0012384915605823073,78895
interiorNorth,2000-07-06,6.348067483592184E-4,0.0014957920839031608,10693
interiorSouth,2000-07-06,9.397383659514176E-4,0.0019436062205024406,25729
alaskaPeninsula,2000-07-07,,,0
alaskaRange,2000-07-07,3.3311975059521504E-4,0.0018748097239168302,69812
coastNorth,2000-07-07,2.6192608695840185E-4,0.0015446537255004852,96680
coastSouth,2000-07-07,1.6278078851566735E-4,8.040834733713628E-4,81625
interiorNorth,2000-07-07,5.913984533771203E-4,0.0014656513139680934,10695
interiorSouth,2000-07-07,0.0018557549849081657,0.0025423322395247317,25837
alaskaPeninsula,2000-07-08,,,0
alaskaRange,2000-07-08,3.714790665629724E-4,0.0014491452649776954,74726
coastNorth,2000-07-08,2.6551087500069337E-4,0.0016263609634456354,96002
coastSouth,2000-07-08,2.4095952826295932E-4,0.001308529187663068,82353
interiorNorth,2000-07-08,3.0658870642773727E-4,0.001399024169551152,10583
interiorSouth,2000-07-08,6.241597850437503E-4,0.0021307998839977414,25488
alaskaPeninsula,2000-07-09,,,0
alaskaRange,2000-07-09,1.0519326091619847E-4,7.389321527103171E-4,74851
coastNorth,2000-07-09,4.6381432360043244E-5,5.215407182176568E-4,96175
coastSouth,2000-07-09,4.132456303284269E-4,0.001630677776939963,82140
interiorNorth,2000-07-09,0.0013880362768239017,0.004450915223254439,10155
interiorSouth,2000-07-09,0.0014804431324822464,0.002687225040777605,25295
alaskaPeninsula,2000-07-10,,,0
alaskaRange,2000-07-10,1.80102422948809E-4,9.88192115449141E-4,74742
coastNorth,2000-07-10,3.12878565602735E-4,0.0012373726739306993,97160
coastSouth,2000-07-10,2.3226909597993153E-4,0.0011244693652611667,83331
interiorNorth,2000-07-10,8.354670085472558E-4,0.002302989735112439,10101
interiorSouth,2000-07-10,2.97222324826184E-4,0.0010787081994412273,25882
alaskaPeninsula,2000-07-11,,,0
alaskaRange,2000-07-11,9.219821781753781E-4,0.002892706780294445,73699
coastNorth,2000-07-11,7.20914286888965E-5,6.888784027250631E-4,96405
coastSouth,2000-07-11,3.7999183292131004E-4,0.0013589894459359263,82265
interiorNorth,2000-07-11,6.519866132719567E-4,0.0016914189568888191,10801
interiorSouth,2000-07-11,0.002581608932531744,0.003407585200195537,25204
alaskaPeninsula,2000-07-12,,,0
alaskaRange,2000-07-12,4.8651742146284656E-4,0.002066711326190249,73732
coastNorth,2000-07-12,3.2349890522211317E-4,0.0013468690589032585,39061
coastSouth,2000-07-12,1.2078965916604504E-4,8.474714198040072E-4,83836
interiorNorth,2000-07-12,8.748289890573057E-4,0.0021827294187276762,10946
interiorSouth,2000-07-12,0.002666662830634158,0.00411238257246337,24745
alaskaPeninsula,2000-07-13,,,0
alaskaRange,2000-07-13,2.233169274078761E-4,0.0011125186516724953,74460
coastNorth,2000-07-13,4.3318533218183834E-5,2.8092774308358207E-4,98078
coastSouth,2000-07-13,1.493342580299719E-4,9.939274906789449E-4,84066
interiorNorth,2000-07-13,1.010035164936969E-5,1.408219439569166E-4,7412
interiorSouth,2000-07-13,0.0037198028505753215,0.004871908399849618,24768
alaskaPeninsula,2000-07-14,,,0
alaskaRange,2000-07-14,5.542336514209038E-5,5.59703530445587E-4,74568
coastNorth,2000-07-14,2.9668753825076916E-4,0.0012821222156664236,97123
coastSouth,2000-07-14,3.2610629816468413E-4,0.0013125126595836343,82945
interiorNorth,2000-07-14,4.741695466301379E-4,0.001703675229734851,10716
interiorSouth,2000-07-14,0.003469045342929462,0.004312658488523934,24430
alaskaPeninsula,2000-07-15,,,0
alaskaRange,2000-07-15,7.145005545225101E-4,0.0017352601805151649,74818
coastNorth,2000-07-15,5.162363040662235E-4,0.002066535318281143,96797
coastSouth,2000-07-15,5.730200683948881E-4,0.0018039489771163408,83846
interiorNorth,2000-07-15,8.133544180808709E-4,0.0019252263046467045,10760
interiorSouth,2000-07-15,0.0017024140464758774,0.0031937023989295683,25426
alaskaPeninsula,2000-07-16,,,0
alaskaRange,2000-07-16,2.4015423595776433E-4,0.001924636082699902,73394
coastNorth,2000-07-16,1.483669409125775E-5,1.5522921754775572E-4,98192
coastSouth,2000-07-16,2.369921561857543E-4,0.001087939864378137,81827
interiorNorth,2000-07-16,0.001937548242478005,0.0037476911596645707,10281
interiorSouth,2000-07-16,0.0035046418551988065,0.004200818922047697,24717
alaskaPeninsula,2000-07-17,,,0
alaskaRange,2000-07-17,7.240664322513835E-4,0.002031976431776444,74626
coastNorth,2000-07-17,7.282380184254569E-4,0.0023365474429691865,91355
coastSouth,2000-07-17,4.496659876208881E-5,4.0387453683141654E-4,47961
interiorNorth,2000-07-17,9.927168995330332E-4,0.0021889849341522358,3151
interiorSouth,2000-07-17,0.004657887438590505,0.005137999898322255,25434
alaskaPeninsula,2000-07-18,,,0
alaskaRange,2000-07-18,2.9691678018543285E-4,0.0011999828017549988,74780
coastNorth,2000-07-18,2.526742686571796E-4,0.0015433328967975296,94536
coastSouth,2000-07-18,1.9808374600292647E-4,0.0011065047489685561,83392
interiorNorth,2000-07-18,7.164822598152753E-4,0.002479086129412027,10829
interiorSouth,2000-07-18,0.003406646297311601,0.004063797974967727,25749
alaskaPeninsula,2000-07-19,,,0
alaskaRange,2000-07-19,0.001264472799917559,0.0036296853589616084,72671
coastNorth,2000-07-19,7.377354655894688E-4,0.0026433401421508363,95438
coastSouth,2000-07-19,1.433768014245978E-4,9.66797588796508E-4,83910
interiorNorth,2000-07-19,0.0016066293064367198,0.0024102431367807337,10947
interiorSouth,2000-07-19,0.0020121279843403716,0.0036859288523796645,25173
alaskaPeninsula,2000-07-20,,,0
alaskaRange,2000-07-20,0.0010463231154842721,0.0022661367983394117,74830
coastNorth,2000-07-20,3.8942000561869515E-4,0.0017247477779316815,97015
coastSouth,2000-07-20,6.247475725863172E-4,0.0021304532477090057,82931
interiorNorth,2000-07-20,0.0014905620912150225,0.002773983040845819,10562
interiorSouth,2000-07-20,0.00472278865350107,0.0050892355065707134,25377
alaskaPeninsula,2000-07-21,,,0
alaskaRange,2000-07-21,4.17232710173736E-4,0.002323582128190057,73685
coastNorth,2000-07-21,7.605241369345933E-5,4.750395253571634E-4,98311
coastSouth,2000-07-21,2.0335357842614002E-4,0.0013236637125742074,82858
interiorNorth,2000-07-21,0.002643686916906132,0.004909112608429503,10685
interiorSouth,2000-07-21,0.0041725066652387,0.005243723497524063,24651
alaskaPeninsula,2000-07-22,,,0
alaskaRange,2000-07-22,7.842151611858719E-4,0.0027007432715558865,73654
coastNorth,2000-07-22,3.097915081903036E-4,0.0013367492128443976,98167
coastSouth,2000-07-22,2.722389737042815E-4,0.0012870292848154391,82877
interiorNorth,2000-07-22,0.002942223136061364,0.005014773501140546,10582
interiorSouth,2000-07-22,0.001114821990907258,0.002807970987840114,22571
alaskaPeninsula,2000-07-23,,,0
alaskaRange,2000-07-23,4.2844713653616826E-4,0.0021528677598007966,74702
coastNorth,2000-07-23,4.820893012486916E-4,0.0020827560376284237,95482
coastSouth,2000-07-23,3.047047322837167E-4,0.0014748174694782744,83659
interiorNorth,2000-07-23,0.0032144412989122432,0.00621116785107244,10094
interiorSouth,2000-07-23,9.782624811146036E-4,0.0014198407858340954,25832
alaskaPeninsula,2000-07-24,,,0
alaskaRange,2000-07-24,9.554773263829269E-4,0.003360444314875148,74382
coastNorth,2000-07-24,9.93132510769251E-4,0.0035330898595692167,96961
coastSouth,2000-07-24,4.5673993600729316E-4,0.001746614548185874,83738
interiorNorth,2000-07-24,0.00241792427563685,0.004646038577956816,10790
interiorSouth,2000-07-24,0.0034441260009934337,0.0053717153259880916,24481
alaskaPeninsula,2000-07-25,,,0
alaskaRange,2000-07-25,0.0011758258258135243,0.003321891341395852,73452
coastNorth,2000-07-25,4.5316077316494676E-4,0.002193606241620988,95888
coastSouth,2000-07-25,3.92217390325331E-4,0.0016887890356632371,83428
interiorNorth,2000-07-25,9.89619033515486E-4,0.0027822807626320624,10938
interiorSouth,2000-07-25,0.0030898855144098876,0.004588265865745908,24815
alaskaPeninsula,2000-07-26,,,0
alaskaRange,2000-07-26,0.002422149607137051,0.004989346945463053,70046
coastNorth,2000-07-26,8.665861939149693E-4,0.0031114628570973386,95307
coastSouth,2000-07-26,1.1499554265958466E-4,6.763238086207441E-4,83540
interiorNorth,2000-07-26,0.002462983978694414,0.004588019083658984,10323
interiorSouth,2000-07-26,0.0024282184983906567,0.004975423510347283,24600
alaskaPeninsula,2000-07-27,,,0
alaskaRange,2000-07-27,9.479717863155923E-4,0.002520292478486149,74301
coastNorth,2000-07-27,5.302754537471662E-4,0.0021370107922831123,96346
coastSouth,2000-07-27,1.4703040965272627E-4,6.683021981071015E-4,84047
interiorNorth,2000-07-27,7.886251968730054E-4,0.0019554390101374527,10791
interiorSouth,2000-07-27,0.0024256863516588065,0.0023059592535227855,25919
alaskaPeninsula,2000-07-28,,,0
alaskaRange,2000-07-28,5.125677309770426E-4,0.0015204468084120601,74787
coastNorth,2000-07-28,7.223196897046783E-4,0.002366340733749681,96854
coastSouth,2000-07-28,4.009001393699159E-4,0.0014905209154646227,83587
interiorNorth,2000-07-28,0.002339151448657072,0.0036449460303676615,10790
interiorSouth,2000-07-28,0.0012438287472258062,0.0034425116998946003,25724
alaskaPeninsula,2000-07-29,,,0
alaskaRange,2000-07-29,9.804818309035747E-4,0.002433848311110178,74702
coastNorth,2000-07-29,0.0011448386445629558,0.003250498845824257,96488
coastSouth,2000-07-29,7.881600965110444E-4,0.0022275390087726993,83177
interiorNorth,2000-07-29,0.001867318218923057,0.0025822832916738573,10947
interiorSouth,2000-07-29,0.006288197008577207,0.006776704662623241,25081
alaskaPeninsula,2000-07-30,,,0
alaskaRange,2000-07-30,6.860140579692034E-4,0.0022787956204388497,71972
coastNorth,2000-07-30,8.314913679185438E-4,0.0033065472416644753,94668
coastSouth,2000-07-30,1.4007135484201945E-4,0.0011033363892179345,83715
interiorNorth,2000-07-30,7.25537803964062E-4,0.0020511252376854776,9784
interiorSouth,2000-07-30,0.005247919040385947,0.006648059963193222,24492
alaskaPeninsula,2000-07-31,,,0
alaskaRange,2000-07-31,9.879475591651962E-4,0.0021858392614527013,74751
coastNorth,2000-07-31,2.6814811710460526E-4,0.0014255626509192714,96005
coastSouth,2000-07-31,4.3517237487785895E-4,0.001595338535915746,83447
interiorNorth,2000-07-31,0.0029829666271002074,0.005138289038841459,10358
interiorSouth,2000-07-31,0.006814267538187459,0.007764956202170721,25138
alaskaPeninsula,2000-08-01,,,0
alaskaRange,2000-08-01,2.9929097171506623E-4,0.0012486559613812194,74816
coastNorth,2000-08-01,0.0012345518055993602,0.004343782863860194,97209
coastSouth,2000-08-01,5.134281798912737E-4,0.0023393308677336663,82267
interiorNorth,2000-08-01,8.393996678111567E-4,0.0025668782903032388,10549
interiorSouth,2000-08-01,0.004347464661967716,0.005716180384661996,25351
alaskaPeninsula,2000-08-02,,,0
alaskaRange,2000-08-02,2.998213160558887E-4,0.0010582019690331306,74859
