name,subregionOf,thresholdID,threshGlobF1,threshRegF1,threshRegF5
alaskaPeninsula,northAmerica,vo,0.39,0.33,0.44
alaskaRange,northAmerica,na,0.39,0.2,0.37
coastNorth,northAmerica,na,0.39,0.2,0.37
coastSouth,northAmerica,na,0.39,0.2,0.37
interiorNorth,northAmerica,na,0.39,0.2,0.37
interiorSouth,northAmerica,na,0.39,0.2,0.37
cascades,northAmerica,vo,0.39,0.33,0.44
brooks,northAmerica,na,0.39,0.2,0.37
andes,andes,pa,0.39,0.39,0.48
iceland,europe,eu,0.39,0.27,0.55
norwaySouth,europe,eu,0.39,0.27,0.55
norwayNorth,europe,eu,0.39,0.27,0.55
alps,europe,eu,0.39,0.27,0.55
northGreenland,greenland,gr,0.39,0.39,0.58
southwestGreenland,greenland,gr,0.39,0.39,0.58
southeastGreenland,greenland,gr,0.39,0.39,0.58
westCentralGreenland,greenland,gr,0.39,0.39,0.58
eastCentralGreenland,greenland,gr,0.39,0.39,0.58
northwestGreenland,greenland,gr,0.39,0.39,0.58
northeastGreenland,greenland,gr,0.39,0.39,0.58
greenlandNoSheet,greenland,gr,0.39,0.39,0.58
ellesmere,arctic,ar,0.39,0.57,0.57
baffin,arctic,ar,0.39,0.57,0.57
svalbard,arctic,ar,0.39,0.57,0.57
russianArctic,arctic,ar,0.39,0.57,0.57
caucasus,caucasus,NA,0.39,0.5,0.5
altai,highMtnAsia,NA,0.39,0.5,0.5
highMtnAsia,highMtnAsia,NA,0.39,0.5,0.5
newZealand,newZealand,NA,0.39,0.5,0.5
kamchatka,kamchatka,vo,0.39,0.33,0.44
antarctica,antarctica,NA,0.39,0.5,0.5
antarcticaNoSheet,antarctica,NA,0.39,0.5,0.5
