system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6841,760,780,5812,5736,6752,6279,6011,5775,6232,5800,8152,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19850602147946,-66.68845632600194]}"
1,7138,579,591,9440,9568,9744,9969,9922,9368,9512,9115,8300,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19455343422933,-66.68567154862117]}"
2,8057,662,619,5192,5272,5596,8002,6900,7647,5396,6344,8923,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.2019196195591,-66.6880969998883]}"
3,7054,752,762,7900,8224,8232,7919,8110,7674,8336,7072,8714,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.1981466953658,-66.688905483644]}"
4,9656,690,645,7220,7632,8016,10177,9041,9261,8344,8543,10914,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19670939091122,-66.68656986390529]}"
5,7959,849,843,9192,9520,9808,9015,9159,8546,9392,8250,9519,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19904501064993,-66.68818683141671]}"
6,9601,704,689,10144,9960,10480,10468,9897,9600,9824,9169,10243,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19760770619534,-66.68656986390529]}"
7,7659,705,726,7904,7760,7884,9460,8946,8809,7860,8112,8841,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.20173995650228,-66.6888156521156]}"
8,9656,615,615,10368,10656,10856,10189,9921,9760,10408,9024,10914,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19724838008169,-66.6866596954337]}"
9,8512,643,628,8288,8544,8592,7773,7857,7239,8352,7521,9442,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.20398574471258,-66.68845632600194]}"
10,7189,800,807,7884,8104,8520,8645,8612,8074,8060,7492,8991,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19715854855328,-66.68863598905877]}"
11,7550,934,814,9480,9456,10048,9238,8873,8618,10048,8323,9418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19850602147946,-66.69088177726907]}"
12,7550,1162,1016,8376,8536,9512,8421,8515,8543,9416,7657,9418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.1988653475931,-66.6910614403259]}"
13,5538,757,778,7948,8112,8148,9623,8645,8969,8568,8084,7172,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.18943303710985,-66.6880969998883]}"
14,8331,1033,934,5356,5420,5552,7581,7549,7389,5836,6859,10499,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.20910614183207,-66.69142076643953]}"
15,7580,841,731,8004,8320,9264,9105,8997,8785,8592,7810,7946,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19347545588839,-66.69025295657019]}"
16,7085,565,548,7980,8280,8400,8668,8746,8126,8224,7950,8818,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.19087034156443,-66.68746817918941]}"
