system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7397,390,370,7552,7936,8232,8773,8389,7715,7684,7298,7503,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.44101912821877,-63.83154422791663]}"
1,6836,315,294,7300,7428,7724,7612,7307,6889,7256,6391,6960,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.44335474795748,-63.83711378267817]}"
2,7419,219,206,7936,8376,8496,8602,8140,7549,7520,6906,7097,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.48943832203281,-63.828040798308564]}"
3,6320,373,355,6636,6856,7264,7511,7212,6903,7028,6394,6799,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.44407340018478,-63.832622206257575]}"
4,6747,357,332,7656,7928,8180,8581,8146,7649,7676,7192,6942,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.431137660093455,-63.83926973936006]}"
5,7364,238,230,8104,8592,8640,8651,8200,7545,7544,6901,7066,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.488360343691866,-63.82732214608127]}"
6,7272,234,210,7832,8312,8376,8434,8031,7371,7420,6772,6981,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.49105528954423,-63.827142483024446]}"
7,7328,236,222,7912,8304,8512,8498,8013,7426,7544,6774,7040,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.488360343691866,-63.82669332538239]}"
8,5721,346,340,6164,6512,6884,7338,7108,6714,6832,6363,6600,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.4464988514519,-63.83414934224058]}"
9,7510,245,225,8056,8480,8576,8592,8130,7537,7536,6901,7145,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.48467725102698,-63.82543568398462]}"
10,6254,326,315,6564,6896,7184,7928,7354,6982,6808,6566,6723,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.450900596344084,-63.83396967918375]}"
11,6502,311,321,8424,8784,8872,8480,8292,7768,7940,7099,6714,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.442097106559714,-63.83747310879182]}"
12,6055,379,357,7656,7972,8144,7883,7868,7324,7572,6841,6717,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.44245643267336,-63.83387984765534]}"
13,6502,310,306,7264,7528,7764,8087,7550,7094,7276,6633,6714,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.44245643267336,-63.837383277263406]}"
14,6447,390,360,8072,8128,8432,8182,7932,7467,7860,6872,6918,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.439222497650526,-63.83531715210994]}"
15,8001,377,344,7296,7652,8004,8545,8259,7761,7440,7115,7957,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.436797046383404,-63.83253237472916]}"
16,6154,367,355,7592,7912,8048,8137,7798,7340,7616,6811,6883,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.44434289477001,-63.83298153237122]}"
17,7926,241,234,8464,8936,8952,9081,8526,7825,7860,7197,7423,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.483150115043976,-63.82561534704144]}"
18,6515,359,328,7236,7396,7780,7866,7635,7216,7316,6710,6868,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.43284445913328,-63.83891041324641]}"
19,7419,228,220,7880,8248,8512,8523,8182,7524,7500,6894,7097,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.48997731120328,-63.82768147219492]}"
20,7754,239,232,8336,8832,8864,8952,8442,7780,7772,7131,7305,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.4855755663111,-63.827591640666505]}"
21,5645,319,310,5412,5668,6084,6639,6274,6024,6020,5687,6183,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.44991244953155,-63.834508668354225]}"
22,7091,340,336,7164,7352,7764,8562,7913,7487,7464,6917,7282,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.433024122190105,-63.8350476575247]}"
23,5698,322,309,5624,5912,6304,6636,6445,6201,6332,5902,6253,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.44820565049172,-63.83486799446787]}"
24,6269,325,303,6612,6968,7384,7621,7580,7177,7396,6664,6736,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.43832418236641,-63.83837142407594]}"
