system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9431,1425,1463,10280,10576,10824,10918,10553,10227,10768,9929,10307,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.1273594509772,-64.59044097994081]}"
1,8927,1333,1368,9464,9672,9856,10051,9724,9405,9744,9150,9498,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.14307996844929,-64.59017148535557]}"
2,9391,1393,1428,10160,10384,10544,10771,10338,9993,10400,9794,10059,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.14595457735847,-64.59223761050904]}"
3,9408,1391,1439,9880,10176,10248,10449,10067,9791,10224,9475,9857,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.01075812709847,-64.59142912675334]}"
4,9333,1397,1436,9816,10072,10160,10348,9976,9705,10080,9480,9705,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.93547930628926,-64.59178845286698]}"
5,9269,1284,1322,9752,10016,10040,10317,9981,9623,10000,9389,9739,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.00689537137676,-64.56394067905927]}"
6,9009,1354,1419,9560,9768,9808,10101,9683,9472,9752,9228,9503,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.93907256742574,-64.57777473443471]}"
7,8452,1164,1198,8792,8944,8952,9061,8744,8482,8832,8232,8582,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.06932828362307,-64.57112720133223]}"
8,9085,1341,1388,9768,9928,10016,10154,9808,9519,9880,9233,9491,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.02261588884886,-64.59439356719093]}"
9,9277,1145,1147,7680,7496,8052,9929,9554,8800,7480,8111,9942,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.10058965551043,-64.5807391748723]}"
10,9200,1368,1425,9768,9920,9992,10226,9809,9570,9880,9295,9594,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.935119980175614,-64.58801552867368]}"
11,9066,1346,1369,9496,9688,9696,9917,9561,9298,9520,9002,9326,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.08262334982804,-64.60499368754354]}"
12,9736,1430,1461,10352,10632,10752,10955,10536,10206,10592,9873,10298,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.96332708009697,-64.57148652744588]}"
13,8673,1246,1267,9248,9504,9536,9662,9297,8941,9384,8777,9037,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.05971631008299,-64.58091883792913]}"
14,8909,1258,1306,9416,9640,9768,9953,9573,9350,9640,9042,9351,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.1003201609252,-64.60023261653771]}"
15,9008,1336,1372,9392,9624,9640,9975,9546,9252,9528,9061,9351,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.98416799468854,-64.58415277295197]}"
16,9159,1370,1411,10008,10264,10440,10609,10210,9951,10416,9602,9902,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.13472563630697,-64.5926867681511]}"
17,8411,1212,1246,8920,9184,9240,9363,9016,8834,9200,8494,8815,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.1417324955231,-64.59906480666835]}"
18,8486,1200,1248,9016,9168,9328,9485,9120,8820,9192,8644,8924,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.0815453714871,-64.5799306911166]}"
19,9453,1421,1424,10216,10488,10584,10883,10466,10150,10528,9806,9925,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.93287419196531,-64.54839982464401]}"
20,9222,1367,1388,9768,10056,10144,10274,9860,9677,10008,9392,9722,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.95164898140341,-64.57193568508794]}"
21,8674,1281,1344,9264,9376,9456,9593,9204,8941,9280,8728,9055,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.03186853627528,-64.58909350701462]}"
22,9096,1405,1446,9736,9960,10120,10277,9913,9627,9968,9440,9628,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.9154468754534,-64.56897124465034]}"
23,9013,1267,1291,9520,9696,9728,9896,9635,9300,9624,8927,9293,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.04435511872455,-64.6031970569753]}"
24,9081,1389,1430,9640,9928,10016,10221,9816,9610,9888,9349,9579,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.916345190737516,-64.5648389943434]}"
