system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8233,174,167,8728,9048,9576,10177,9604,8963,8920,8326,8004,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.66514256321613,-54.46640976160812]}"
1,6719,192,164,8832,9088,9960,10481,10056,9133,9360,8467,7430,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.611081949417816,-54.478914310363066]}"
2,7904,76,78,6968,6988,7280,8174,7775,7019,6336,6525,6946,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67448504217097,-54.436388064812846]}"
3,8131,74,80,8576,7836,7948,8430,7169,6146,6400,5109,5707,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.66578935022069,-54.426829990189816]}"
4,7722,53,71,7124,7292,7492,7489,7019,6540,6244,6068,5807,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67346096274707,-54.43390871462868]}"
5,8797,61,63,8408,8536,8616,9164,8659,7071,7012,6706,6855,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67595827923692,-54.43137546552746]}"
6,7782,72,75,6828,7212,7492,8707,7898,7105,5776,6266,5743,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67599421184829,-54.43301039934455]}"
7,7588,36,51,8144,8416,8432,7640,7229,6817,7016,6096,5522,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67285010835387,-54.43349548959798]}"
8,8744,65,81,10248,9720,9792,8207,7196,7268,8312,6321,6453,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67193382676407,-54.42589574229433]}"
9,7910,44,55,7100,7448,7492,7305,6870,6387,6308,5739,6385,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67586844770852,-54.433818883100265]}"
10,8789,70,68,8888,8680,8704,8282,7726,6599,6976,5819,7098,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67545522267782,-54.430980206802445]}"
11,8167,103,97,6836,6636,7660,9376,8588,7704,6424,7259,6765,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67576064987442,-54.434609400550286]}"
12,8163,94,87,7232,7368,7716,8954,8460,7777,6524,6760,7229,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.673856221472086,-54.43586704194806]}"
13,8219,72,80,7580,7708,7880,8483,7695,6786,6656,6858,6943,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67367655841526,-54.43496872666394]}"
15,9313,60,72,4924,5192,5292,5776,5904,5076,4556,5027,6764,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.670334825558335,-54.42760254133416]}"
17,8697,104,87,8144,8496,8624,10367,9374,8250,7164,7902,7279,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67545522267782,-54.43338769176389]}"
18,8442,62,68,9968,10096,10232,8990,8254,7065,8328,6481,6296,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.676389470573305,-54.432004286226345]}"
19,8667,46,57,8328,8264,8320,7879,7486,6817,7040,5878,7330,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67315553555047,-54.43302836565024]}"
21,8633,60,71,6796,7168,7316,8103,7459,6919,5780,5902,6689,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67640743687899,-54.430531049160386]}"
23,8970,62,78,10528,9344,9648,8311,7653,7204,7748,6005,6176,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.66805310473667,-54.42760254133416]}"
25,7717,52,56,7536,7252,7256,7118,6631,5945,6264,5729,6000,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.67628167273921,-54.43250734278545]}"
26,8636,64,69,8076,7920,8248,8613,8009,7509,7060,6888,7333,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.674610806310746,-54.433818883100265]}"
