system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7429,280,300,6092,6080,6148,6177,5962,5743,4936,5450,6299,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.517357961063254,-63.65184523848137]}"
1,6803,461,522,9624,10208,10752,9466,8995,8108,8136,7521,6940,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.509650415925506,-63.65096488950293]}"
2,7368,222,215,7584,7924,8272,8328,7206,6532,7176,5401,7132,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.51877729921216,-63.65206083414956]}"
3,8718,757,704,8168,8480,8680,8857,8302,7618,6820,7065,8142,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.518723400295116,-63.650425900332465]}"
4,6914,517,480,5856,6176,6288,7004,6639,6207,4744,5699,6186,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.50806938102546,-63.650839125363156]}"
5,8032,1024,1071,9544,9904,10216,9948,9627,8817,8180,8468,7752,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.51035110184712,-63.65064149600065]}"
6,4379,605,745,5024,5204,5556,5493,5166,4948,4232,4496,3856,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.508015482108405,-63.65019233835859]}"
7,6696,709,731,7852,7592,7764,7147,6629,6264,6172,5835,5841,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.512938249865385,-63.6522225309007]}"
8,5031,399,395,8076,7216,7300,7002,6651,6031,6596,5897,4495,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.51951391774514,-63.651252350393854]}"
9,6411,245,305,7240,7492,7876,9159,8896,7919,6748,7625,6787,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.519855277553106,-63.653246610324594]}"
11,7518,555,657,9896,10192,10216,9558,8656,7635,8248,6995,6784,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.517537624120074,-63.65290525051663]}"
12,7871,941,834,7368,7500,7504,8396,8424,7813,6276,7920,7029,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.51696270233824,-63.6510008221143]}"
13,6928,923,928,6200,6152,6216,6178,6087,5610,5436,5109,5558,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.51620811749958,-63.652923216822316]}"
15,7995,1046,1274,7384,7528,7564,8145,7926,7491,5880,6924,6514,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.517052533866654,-63.650228270969954]}"
16,3827,233,211,7912,7912,8156,6024,5320,4585,6512,4216,3622,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.519999007998564,-63.65383949841212]}"
22,7216,744,872,5568,5324,5584,6903,6568,6072,4816,5368,6261,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.51521997068705,-63.65218659828933]}"
25,7591,583,1221,8552,8800,8960,10147,9574,8802,7236,8398,7077,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.46967538578219,-63.66278671864195]}"
26,8857,931,986,9080,9224,9704,10422,9802,9005,7928,8193,8040,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.46816621610487,-63.66276875233626]}"
27,8998,1228,1563,7884,7680,10256,10539,9822,9024,6380,8214,8108,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.46944182380832,-63.66415215787381]}"
28,8364,696,748,8384,8188,10128,10092,9381,8410,6996,7591,7428,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.467806889991216,-63.66188840335783]}"
29,8551,125,155,8448,8576,8968,9724,9228,8572,7144,7710,7772,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.46509397783318,-63.65680393884971]}"
31,8738,1315,1611,8752,8616,10168,10074,9480,8697,7300,8105,7806,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.46733976604348,-63.660972121768026]}"
32,7769,127,151,6664,6568,7808,8176,7325,6658,5312,6067,6991,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.464860415859306,-63.65798971502475]}"
34,7772,360,694,7344,7676,7708,7868,7417,6868,6244,6200,6251,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.46836384546737,-63.660972121768026]}"
36,8705,602,764,7848,8272,8592,8744,8247,7635,6464,7008,7509,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.469962846673106,-63.665086405769294]}"
38,8639,270,369,7120,7260,9768,9833,9325,8437,5908,7574,7691,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.46426752777179,-63.65754055738269]}"
40,7839,624,836,7116,7420,7544,7598,7229,6794,6020,6085,6824,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.46940589119695,-63.66215789794306]}"
42,7769,151,140,7764,7640,8100,9002,8596,8076,6460,7892,6991,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.46556110178092,-63.65770225413383]}"
