system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9127,1762,1824,9896,9984,10240,10419,10063,9676,9992,9352,9794,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.901221804813076,-64.22308392765298]}"
1,8884,1637,1667,9016,8832,9192,9546,8928,8784,8880,8260,8830,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.88911251478314,-64.22328155701548]}"
2,9232,1900,1963,9880,10184,10496,10944,10549,10222,10312,9796,10235,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.89673022839248,-64.2243954679678]}"
3,9163,1799,1880,9568,9840,10152,10362,10055,9740,9944,9334,10109,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.89054981923774,-64.22685685184628]}"
4,9243,1758,1837,9264,9512,9768,10392,10066,9843,9560,9341,9777,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.894143080374214,-64.22382054618595]}"
5,9153,1899,1944,9600,9952,10352,10623,10344,10002,10192,9696,10235,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.89820346545844,-64.22547344630873]}"
6,8178,1657,1713,8456,8528,8632,8617,8402,8108,8408,7839,8381,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.90100620914489,-64.22394631032573]}"
8,9056,1794,1864,9600,9840,10152,10450,10175,9850,9928,9446,9812,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.89232848350029,-64.22678498662354]}"
9,9213,1738,1801,9568,9728,9896,10202,9916,9566,9608,9201,9639,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.90188655812332,-64.22346122007231]}"
10,9173,1750,1800,9744,9944,10264,10449,10169,9843,10064,9376,9884,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.891052875796845,-64.22572497458829]}"
12,8547,1652,1710,8464,8568,8744,8943,8630,8457,8536,8035,9023,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.9001797590835,-64.22347918637799]}"
14,9100,1754,1814,9248,9432,9752,10011,9702,9453,9576,9181,9883,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.89432274343104,-64.22628193006445]}"
15,9228,1733,1802,9744,9904,10048,10311,9923,9669,9864,9237,9509,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.888896919114956,-64.22541954739168]}"
18,9122,1695,1770,9240,9336,9544,9958,9730,9472,9320,9075,9391,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.89155593235595,-64.22360495051777]}"
19,9022,1754,1807,9200,9480,9808,10052,9763,9490,9696,9209,9787,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.896191239222006,-64.2237846135746]}"
20,8709,1651,1720,8696,8768,8896,8870,8647,8441,8720,8152,9070,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.90188655812332,-64.22482665930417]}"
23,9322,1888,1940,9560,9928,10168,10659,10299,9950,9952,9637,10310,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.89491563151856,-64.22513208650076]}"
24,8772,1687,1722,9400,9528,9664,9959,9635,9279,9368,8793,9146,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.89996416341531,-64.222742567845]}"
25,9811,1715,1802,10224,10152,10208,10483,10126,9849,9928,9470,9747,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.81665440396606,-64.18889404793939]}"
26,9841,1720,1815,10256,10152,10288,10623,10256,10041,10112,9672,9760,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.821667003251456,-64.18844489029732]}"
