system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8106,161,125,8640,8808,8816,9000,8425,7966,7848,7299,7399,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.96594949908316,-63.529063505447915]}"
1,8224,155,129,8840,8936,9000,9145,8576,8059,7916,7340,7446,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.975417742177775,-63.52900960653087]}"
2,8274,167,140,8440,8792,8824,9205,8619,8127,7768,7488,7577,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.9629491260342,-63.526224829150095]}"
3,8349,150,132,8840,8984,8992,9250,8607,8077,7956,7444,7573,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.96221250750122,-63.528991640225186]}"
4,7881,150,127,7920,8180,8304,8620,8057,7581,7404,6915,7245,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.950893734921316,-63.527284841185356]}"
5,8307,162,137,8688,8904,8928,9199,8566,8036,7948,7402,7547,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.957235840827195,-63.52681771723761]}"
6,8044,147,116,8456,8656,8664,8890,8292,7797,7672,7141,7327,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.95044457727925,-63.52627872806714]}"
8,8271,164,150,8488,8904,8928,9188,8593,8102,7876,7385,7519,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.95741550388402,-63.52559600845121]}"
9,8296,163,152,8488,8752,8768,9020,8465,7917,7812,7265,7572,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.9600924834307,-63.52484142361255]}"
10,8327,173,141,8872,9056,9064,9235,8638,8116,8072,7482,7564,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.966614252393406,-63.526422458512606]}"
11,8266,169,145,9056,9128,9152,9329,8745,8220,8136,7535,7560,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.96276946297737,-63.525398379088706]}"
12,8379,158,131,9000,9136,9144,9248,8652,8127,8096,7471,7591,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.97128549187082,-63.52627872806714]}"
14,8187,152,134,8712,8856,8864,9049,8422,7952,7804,7322,7430,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.973639077915216,-63.52746450424218]}"
16,8247,164,147,8100,8472,8568,9049,8387,7900,7744,7316,7484,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.957505335412435,-63.52496718775233]}"
19,8139,152,132,8456,8672,8680,8945,8356,7888,7724,7228,7400,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.97044107550375,-63.52784179666151]}"
20,8246,159,133,8824,8984,9016,9206,8630,8067,7936,7463,7502,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.964116935903554,-63.528794010862676]}"
21,8007,157,125,8320,8600,8616,8980,8393,7911,7608,7223,7313,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.96715324156388,-63.52872214563995]}"
22,8225,162,129,8544,8744,8792,9007,8406,7859,7760,7276,7452,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.96627289258544,-63.52721297596263]}"
23,8305,166,142,8084,8544,8584,9046,8420,7849,7708,7314,7595,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.95923010075794,-63.526368559595554]}"
25,7927,147,133,8028,8104,8112,8380,7846,7349,7096,6788,7248,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.004972315025306,-63.46273190486853]}"
27,6489,145,132,7164,7176,7284,7352,7029,6570,6520,6017,5870,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.96379354240127,-63.45568911304103]}"
28,6219,143,132,6264,6320,6696,7316,6980,6666,6412,6041,5927,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.96312878909102,-63.45610233807172]}"
29,5970,123,112,5572,5664,5936,6234,6040,5740,5656,5303,5469,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.964494228322884,-63.456605394630834]}"
30,7331,170,157,6820,7012,7196,7913,7601,7109,6424,6572,6449,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.96756646659457,-63.4553118206217]}"
31,6781,145,122,6656,6908,6988,6859,6700,6279,6368,5681,5972,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.966111195834294,-63.45651556310242]}"
35,5900,91,86,5728,6040,6392,6633,6390,5969,5992,5415,5708,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.00269059420364,-63.462570208117384]}"
36,6984,128,108,6828,6948,7164,7754,7327,6743,6460,6239,6301,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.00234923439568,-63.46172579175032]}"
40,7700,159,133,7968,8068,8080,8122,7470,6999,7040,6327,6817,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.965482375135416,-63.455329786927386]}"
44,7193,135,124,5844,6128,6396,7138,6901,6467,5844,5789,6304,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.966919679590006,-63.456084371766046]}"
45,5817,123,106,5728,5904,6088,6255,6067,5663,5616,5141,5427,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.96541050991269,-63.45621013590582]}"
47,6044,88,72,6520,6808,6984,7366,6868,6309,6032,5634,5617,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.0016126158627,-63.462121050475325]}"
49,7723,148,133,8008,8112,8140,8391,7898,7373,7304,6817,7052,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.00515197808213,-63.46316309620491]}"
