system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8054,230,200,8336,8784,8816,9077,8437,7784,7496,7048,7141,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.21263145038423,-63.839736863307806]}"
1,7906,369,275,8600,8992,9032,9203,8600,7918,7652,7138,7301,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.20964904364095,-63.83680835548158]}"
2,7944,260,217,8568,9080,9152,9230,8661,7928,7724,7169,7338,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.21036769586824,-63.83711378267818]}"
3,7502,177,164,8368,8880,8904,9044,8423,7698,7544,6909,7043,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.198132641698535,-63.84712101494327]}"
4,7946,245,219,8416,8752,8768,8820,8157,7593,7428,6867,6945,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.22315970551411,-63.83997042528168]}"
5,7803,178,171,8232,8600,8656,8885,8252,7550,7320,6768,6957,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.20469034327261,-63.84570167679436]}"
6,7899,176,179,8392,8888,8928,9096,8442,7730,7536,6996,7155,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.1959227860996,-63.84243180916017]}"
7,7968,272,219,8624,8992,9016,9259,8637,7952,7680,7208,7279,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.2065408727579,-63.838443289298674]}"
8,8083,192,176,8544,9056,9080,9209,8557,7862,7708,7131,7292,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.20598391728174,-63.83937753719416]}"
9,7902,188,169,8368,8704,8736,8865,8257,7554,7388,6826,6983,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.21115821331827,-63.84467759737046]}"
10,7541,171,151,8080,8528,8640,8833,8199,7566,7376,6764,6923,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.19967774398722,-63.84909730856833]}"
11,8193,193,188,8736,9256,9264,9521,8863,8133,7856,7339,7478,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.22192003042203,-63.835802242363364]}"
12,7941,233,200,8608,9024,9040,9274,8615,7928,7676,7212,7306,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.210152100200055,-63.8383175251589]}"
13,7608,180,159,8488,8944,8952,9093,8477,7810,7616,7015,7115,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.196964831829185,-63.846312531187564]}"
14,7533,177,158,8344,8768,8776,8876,8292,7566,7416,6854,7019,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.19939028309631,-63.84694135188645]}"
15,7645,176,162,8172,8600,8640,8841,8203,7557,7328,6826,6951,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.20249845397936,-63.84751627366828]}"
16,7971,220,201,8544,9040,9144,9386,8751,8058,7668,7229,7369,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.21167923618306,-63.837167681595226]}"
17,7963,180,162,8304,8744,8776,9012,8362,7679,7440,6898,7048,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.206073748810155,-63.843743349474984]}"
18,7856,374,318,8552,9000,9040,9038,8435,7823,7676,7034,7155,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.20027063207474,-63.835550714083816]}"
19,7606,166,153,7924,8400,8408,8615,8017,7330,7144,6655,6766,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.20875072835683,-63.84794746500466]}"
20,7755,173,164,8188,8600,8640,8792,8148,7493,7260,6776,6911,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.20781648046135,-63.84642032902166]}"
21,7738,175,151,8160,8568,8664,8773,8098,7492,7320,6737,6875,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.21241585471604,-63.84701321710918]}"
22,7925,179,177,8352,8776,8808,8942,8272,7632,7348,6836,6981,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.219225084569665,-63.845288451763665]}"
23,7880,170,177,8240,8688,8704,8993,8278,7650,7420,6919,6988,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.207097828234055,-63.844497934313644]}"
