system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8959,880,912,9496,9792,10136,10329,10076,9662,10040,9530,9632,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.354100069035436,-58.42975882883777]}"
1,9185,754,802,9440,9856,10096,10292,9969,9599,9864,9302,9667,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.365275111169883,-58.432076482270794]}"
2,9092,806,860,9528,9872,10128,10309,9997,9667,9992,9433,9670,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.358986904181045,-58.43204054965943]}"
3,8890,796,845,9096,9392,9720,9922,9626,9263,9536,9070,9370,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.352734629803575,-58.43186088660261]}"
4,8876,808,841,9272,9544,9880,9983,9714,9384,9784,9149,9411,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.355860766992308,-58.4303337506196]}"
5,9012,778,824,9144,9544,9736,10082,9778,9410,9696,9194,9667,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.361088961945885,-58.43259750513558]}"
6,8746,819,858,9008,9304,9648,9796,9482,9190,9472,8945,9261,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.356795014887794,-58.42945340164117]}"
7,9044,804,849,9320,9720,9992,10179,9914,9507,9784,9275,9538,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.356238059411638,-58.43186088660261]}"
8,9012,786,834,9480,9768,10104,10297,10030,9658,9848,9392,9667,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.360406242329955,-58.43218428010489]}"
9,9109,808,865,9368,9680,9984,10231,9953,9585,9888,9379,9711,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.359885219465163,-58.432579538829906]}"
10,8831,813,854,9048,9432,9608,9853,9568,9253,9520,8992,9302,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.356866880110523,-58.43027985170256]}"
12,8981,816,859,9304,9592,9888,10126,9814,9437,9832,9288,9509,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.355770935463898,-58.43081884087303]}"
13,8923,800,846,9288,9632,9888,10081,9806,9407,9680,9174,9399,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.354926519096825,-58.43148359418328]}"
15,9026,798,833,9320,9632,9928,10178,9929,9568,9840,9270,9518,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.357567566032134,-58.43098053762417]}"
17,8999,794,834,9312,9656,9960,10186,9919,9541,9808,9331,9573,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.36038827602427,-58.4307469756503]}"
18,8987,805,850,9288,9656,9928,10139,9821,9459,9808,9265,9465,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.355842800686627,-58.43241784207876]}"
20,9116,765,818,9456,9816,10104,10296,10002,9602,9960,9400,9660,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.3630113566539,-58.43119613329236]}"
21,8809,821,866,9192,9504,9776,9945,9659,9348,9632,9106,9288,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.353561079864964,-58.43213038118784]}"
22,9151,774,823,9528,9928,10144,10413,10084,9720,9920,9410,9649,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.36631715689946,-58.432345976856034]}"
23,9007,786,833,9304,9656,10008,10177,9886,9481,9856,9233,9543,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.362418468566382,-58.43024391909119]}"
