system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9058,1044,1033,9600,9912,10096,10224,9754,9355,9728,8916,8948,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.15454180983121,-63.06671859501728]}"
1,8661,1276,1285,9640,9856,9944,9993,9640,9120,9608,8636,8448,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.23648613004859,-63.054968631101]}"
2,8988,1192,1226,9136,9360,9472,9531,9270,8876,9112,8348,8757,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.20874615407498,-63.056765261669234]}"
3,9090,1335,1320,9328,9752,9968,10175,9837,9584,9576,9082,8973,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.222023253974264,-63.072916970477706]}"
4,8960,1115,1126,9648,9672,9744,9793,9484,9107,9528,8631,8740,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.190133061388025,-63.05972970210683]}"
5,9144,1139,1168,9536,9704,10080,10109,9711,9390,9304,8774,9083,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.23777970405772,-63.06184972617735]}"
6,8892,1026,1019,9288,9632,9864,9734,9531,9177,9304,8536,8603,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.195469054175696,-63.06098734350459]}"
7,9069,956,963,9640,9936,10032,10121,9729,9397,9768,8997,9057,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.145001701513856,-63.0695572713151]}"
8,8988,1232,1215,9264,9352,9608,10034,9681,9249,9008,8840,8757,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.208117333376094,-63.05725035192266]}"
9,8547,1063,1061,8648,8952,9144,9156,8945,8624,8416,8137,8169,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.19467853672567,-63.058274431346554]}"
10,9157,1163,1152,9848,10104,10184,10473,10029,9640,9960,9223,9042,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.1511821106686,-63.05514829415782]}"
11,9021,977,969,9768,9896,9944,9977,9627,9208,9760,8714,8878,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14385185795019,-63.06310736757512]}"
12,9092,1021,1031,9816,9920,9928,10126,9791,9463,9880,8903,8873,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14981667143674,-63.05513032785214]}"
13,8727,967,992,9264,9176,9304,9352,9016,8671,9176,8266,8348,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.16052458962344,-63.0596578368841]}"
14,9350,1310,1276,10224,10256,10320,10491,10081,9645,10400,9096,9341,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.22371208670841,-63.06957523762078]}"
15,9111,1001,1006,9768,10184,10280,10349,9941,9562,9912,9045,9114,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14624137660594,-63.07011422679125]}"
16,8805,944,970,9608,9784,9792,10017,9596,9160,9592,8714,8591,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.1448579710684,-63.06319719910353]}"
18,9167,1231,1274,9624,9728,10032,10349,10092,9654,9912,9155,9131,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.22940740560973,-63.072413913918595]}"
19,9342,1315,1313,9992,10352,10408,10435,10142,9701,10272,9303,9228,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.17351422863181,-63.06623350476385]}"
20,9223,1386,1376,10208,10664,10856,10968,10646,10142,10536,9574,9406,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.222705973590195,-63.074192578181155]}"
21,8522,1246,1214,8992,9520,9552,9635,9241,8721,9328,8337,8359,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.1997450349281,-63.058400195486335]}"
22,9028,1190,1204,8352,8792,9128,9059,8882,8654,8432,8331,8720,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.214728933867214,-63.06341279477172]}"
23,9135,1218,1203,9848,9984,10032,10193,9681,9304,9896,8884,8947,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.152403819455,-63.07101254207537]}"
24,8211,1015,1020,8592,8848,8968,9010,8756,8321,8472,7879,7899,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.21181839234667,-63.061723962037576]}"
25,9422,1454,1469,8576,8496,8504,8621,8456,8230,8040,8090,9035,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.135210064916954,-63.21945015962328]}"
26,9799,1636,1757,8160,8528,8840,9495,9349,9193,8048,8962,9442,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.138354168411375,-63.21246126671283]}"
27,7203,1149,1693,6904,6756,6816,6955,6823,6767,6076,6646,6259,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.04194697211967,-63.237847656642046]}"
28,8250,1440,1489,8040,8200,8224,8468,8305,8186,7764,7818,7850,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.1364856726204,-63.21321585155149]}"
29,9880,1967,2032,9992,10216,10344,10468,10217,9943,9800,9628,9695,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14449864495475,-63.220114912933525]}"
30,9325,1731,1731,8448,8616,8816,9144,8994,8835,7916,8704,8795,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.144444746037706,-63.24239313197969]}"
31,7870,1388,1478,7324,7328,7340,7541,7335,7198,6616,6910,6936,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14701392775029,-63.238117151227286]}"
32,8878,1510,1603,7628,7744,7972,7859,7791,7701,7252,7634,8264,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.13991723700574,-63.22047423904718]}"
33,7619,1359,1334,6776,6984,7128,7596,7390,7068,5628,6627,6504,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.044659884277706,-63.226618715590554]}"
34,8774,1166,1199,8192,8192,8216,8301,8122,7881,7708,7614,8063,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.15969813956205,-63.22821771679629]}"
35,9003,1528,1663,8656,8744,8824,9106,8810,8606,8224,8243,8658,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.01352427653013,-63.20574186838761]}"
36,8705,1467,1468,9064,9152,9208,9037,8753,8502,8816,8270,8207,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14629527552299,-63.23152351704184]}"
