system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8525,165,207,8952,8976,9552,9960,9273,8283,8288,7797,7755,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.912999818841637,78.95360405772783]}"
1,8883,202,245,9424,9416,9856,10285,9589,8699,8504,8003,8073,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.86745523393678,78.95234641633006]}"
2,9009,178,225,8896,8888,9576,9965,9243,8287,8136,7812,7782,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.894404692460366,78.95288540550054]}"
3,8825,160,195,8904,8824,9376,9699,8982,8124,8060,7465,7680,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.886589349488524,78.9526159109153]}"
4,8536,216,268,9144,9232,9616,9906,9138,8301,8224,7754,7622,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.900782730977614,78.95324473161419]}"
5,8534,179,218,8744,8808,9008,9388,8762,7908,7696,7270,7540,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.908328579364216,78.95315490008578]}"
6,8536,248,304,8720,8792,9280,9581,8853,8000,7956,7570,7622,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.899794584165083,78.95315490008578]}"
7,8861,177,225,9016,8984,9696,10159,9365,8456,8240,7946,8051,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.914347291767818,78.95351422619942]}"
8,8982,222,239,9320,9288,9800,10301,9430,8607,8440,7956,8082,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.857933091925112,78.95279557397212]}"
9,8899,209,198,9040,9032,9608,10007,9223,8297,8216,7738,7884,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.86062803777747,78.9526159109153]}"
10,8810,176,210,8920,8880,9464,9868,9114,8186,7900,7734,7677,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.889823284511355,78.95270574244371]}"
11,8354,160,210,8576,8624,9088,9606,8930,7958,7752,7381,7692,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.916862574563353,78.96141940069967]}"
12,9163,202,240,9520,9528,9992,10272,9422,8677,8552,8001,8093,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.871946810357375,78.95198709021642]}"
13,8303,177,192,9312,9408,9728,9875,9241,8374,8216,7741,7563,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.913269313426873,78.95324473161419]}"
