"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
24,7343,163,192,6888,7016,7056,7125,6683,6192,6264,5817,6300,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.412647354150767,78.46069846133145]}"
25,7376,151,197,6940,7144,7212,7573,7197,6533,6564,6048,6236,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.405281168820988,78.46204593425763]}"
26,7376,154,170,7164,7324,7404,7464,7045,6536,6636,6047,6236,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.40492184270734,78.46204593425763]}"
27,7268,169,171,7300,7360,7452,7456,7067,6460,6488,5919,6078,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.40680830480399,78.46132728203034]}"
28,6966,150,184,7000,7040,7184,7248,6871,6385,6356,5905,5964,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.40492184270734,78.46123745050193]}"
29,7328,152,177,6968,7292,7328,7675,7204,6535,6652,5997,6214,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.411389712753,78.46114761897351]}"
30,7138,191,224,7404,7568,7604,7792,7247,6991,6852,6556,6430,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.414713479304243,78.46078829285986]}"
31,6925,143,178,6952,6968,7108,7208,6843,6277,6148,5805,5936,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.406538810218755,78.46087812438827]}"
32,7287,161,176,7392,7360,7368,7545,7134,6498,6596,6038,6097,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.404742179650516,78.46195610272922]}"
33,6165,160,170,6996,7080,7100,7278,6975,6320,6292,5711,5700,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.405730326463047,78.46087812438827]}"
34,7110,169,209,7344,7384,7396,7626,7225,6417,6244,5900,6059,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.413276174849653,78.46087812438827]}"
35,7287,166,177,7260,7304,7308,7525,7053,6412,6364,5919,6097,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.40590998951987,78.46159677661556]}"
36,7110,169,209,6768,6916,6968,7626,7225,6417,5780,5900,6059,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.413096511792826,78.46078829285986]}"
37,7423,155,194,7640,7724,7728,7806,7336,6611,6664,6101,6307,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.40806594620176,78.46159677661556]}"
38,7268,139,179,6984,7036,7120,7292,6855,6265,6208,5807,6078,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.40680830480399,78.46096795591669]}"
39,7283,170,209,7472,7448,7504,7619,7176,6529,6488,6130,6169,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.411120218167763,78.46078829285986]}"
40,6966,150,184,6840,6976,7076,7248,6871,6385,6208,5905,5964,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.405191337292575,78.46114761897351]}"
41,7428,200,219,7824,7796,7912,8197,7752,7088,7300,6497,6538,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.415521963059952,78.46069846133145]}"
42,6925,171,209,6524,6656,6748,6842,6532,5992,6092,5569,5936,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.406987967860815,78.46060862980303]}"
43,6966,150,184,7012,7000,7132,7248,6871,6385,6220,5905,5964,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.40501167423575,78.46123745050193]}"
44,7268,166,163,7612,7684,7724,7839,7367,6687,6608,6161,6078,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.408335440786995,78.46132728203034]}"
45,7110,193,233,7748,7884,7924,7942,7474,6682,7072,6467,6059,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.413994827076948,78.46078829285986]}"
46,6925,160,190,6432,6556,6608,7133,6756,6204,6148,5773,5936,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.40671847327558,78.46060862980303]}"
47,7343,184,221,7324,7284,7456,7498,7072,6507,6588,6084,6300,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.41174903886665,78.46060862980303]}"
48,7287,145,178,7256,7372,7464,7533,7151,6522,6436,6028,6097,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.404293022008456,78.46177643967239]}"
