system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,3231,525,487,5620,5312,5420,5642,5119,4722,5196,4528,3692,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.9977371297606,66.82625789058588]}"
1,8816,170,156,9440,9480,9536,9348,8659,8037,8156,7414,7529,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99728797211854,66.82347311320511]}"
2,8027,150,152,8156,8092,8184,8811,8221,7521,7108,6932,6819,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.0053728096756,66.82059850429593]}"
3,7395,167,159,8288,8416,8440,8534,7989,7323,7160,6718,6165,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.00824741858479,66.82068833582434]}"
4,5383,252,248,6816,7012,7032,7187,6584,5959,5792,5482,5091,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99782696128901,66.82571890141541]}"
5,7978,161,158,8272,8432,8472,8632,8086,7390,7164,6762,6813,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.00761859788591,66.82086799888117]}"
6,6969,229,221,7232,7236,7360,7677,7199,6604,6312,6046,6230,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99567100460712,66.82634772211429]}"
7,8530,177,158,8464,8560,8688,9028,8041,7486,7420,7147,7232,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99845578198789,66.82356294473352]}"
8,7865,192,195,7824,8032,8136,8266,7752,7205,7152,6735,6864,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99414386862412,66.82634772211429]}"
9,7165,205,193,7992,8052,8096,8201,7686,7174,7160,6656,6520,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99360487945364,66.82652738517112]}"
10,4119,98,96,6764,6884,6968,7041,6631,6064,6176,5397,3619,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.01471528863046,66.81781372691516]}"
11,5177,400,396,6344,6220,6248,6362,5585,5038,5068,4780,4983,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.00420499980626,66.82383243931876]}"
12,8143,153,150,9320,9264,9288,9124,8627,7919,7904,7263,7180,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.00465415744831,66.82068833582434]}"
13,7988,235,217,8352,8624,8664,8850,8362,7850,7720,7367,7362,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99135909124334,66.82751553198365]}"
14,8283,168,162,8664,8800,8920,9163,8737,7951,7692,7417,7151,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99692864600489,66.82392227084716]}"
15,7326,95,99,8000,7948,7980,8122,7523,6686,6284,5880,5688,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.0128288265338,66.81718490621627]}"
16,5630,479,421,7052,7332,7472,7397,7487,6950,6896,6021,6020,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99297605875476,66.82760536351206]}"
17,8027,154,160,7868,7960,8052,8379,7895,7312,7232,6672,6819,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.00564230426085,66.82032900971069]}"
18,7349,237,215,8248,8312,8400,8356,7823,7258,7516,6814,6895,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99216757499906,66.82724603739841]}"
19,8530,184,174,8952,9080,9128,8453,8323,7634,7860,6908,7232,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99872527657313,66.82365277626194]}"
20,7981,206,182,8312,8416,8472,8634,8182,7555,7404,7030,7042,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99225740652747,66.82670704822795]}"
21,9265,167,151,9416,9520,9528,9714,8993,8162,8096,7571,7717,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99513201543665,66.82410193390399]}"
22,3985,445,384,5472,5524,5592,5661,5315,4902,4916,4507,4145,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.0022287061812,66.8248205861313]}"
23,6577,326,300,8728,8752,8912,9035,8722,8117,8056,7395,6777,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99055060748763,66.82832401573935]}"
24,8742,175,164,9432,9552,9576,9727,9117,8355,8124,7597,7509,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.99297605875476,66.8249104176597]}"
25,9465,929,968,9544,9568,9768,9889,9597,9254,9176,8991,9144,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.12448941634986,66.86488544780302]}"
26,9085,759,746,9368,9608,9808,10272,9624,9144,9000,8573,9122,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.09655181101374,66.87162281243391]}"
27,9411,939,970,9784,10032,10256,10450,10034,9639,9712,9284,9472,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.1143384536393,66.8707244971498]}"
