system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7822,1174,1157,8440,8592,8880,8585,8195,8163,8672,7800,8524,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.56828461239601,70.79959622377494]}"
1,8576,1309,1335,9328,9496,9696,9527,9341,8987,9528,8724,9041,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.56702697099824,70.80049453905906]}"
2,8677,1436,1427,9840,10176,10384,10593,10409,9914,10184,9621,9481,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.56478118278794,70.79797925626352]}"
3,8029,1367,1363,8704,8800,8944,9081,8803,8667,8768,8199,8566,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.55804381815705,70.80058437058747]}"
4,7398,1363,1351,8208,8568,8752,8644,8293,8112,8352,7711,7970,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.5584031442707,70.80175218045682]}"
5,8999,1023,1089,9384,9368,9432,9657,9346,9155,9216,8797,8980,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.57349484104391,70.80202167504206]}"
6,8766,1279,1271,9168,9360,9608,9720,9478,9174,9480,8940,9368,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.57053040060632,70.7978894247351]}"
7,8537,1256,1249,8904,8960,9056,9375,9160,8906,8888,8595,8869,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.56720663405507,70.79717077250781]}"
8,8590,1261,1252,8920,8960,9120,9396,9091,8894,8904,8568,8871,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.56567949807206,70.79717077250781]}"
9,9039,1255,1262,10272,10528,10832,10754,10458,10016,10400,9527,9910,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.57232703117455,70.79995554988858]}"
10,9385,1456,1444,10096,10272,10536,10826,10439,10050,10080,9618,9892,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.55328274715121,70.8022911696273]}"
11,7177,1038,1025,7144,7060,7192,7501,7252,7059,6972,6906,7330,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.56532017195842,70.79959622377494]}"
12,9009,1332,1340,9312,9520,9712,10102,9875,9533,9568,9308,9594,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.56585916112888,70.80211150657047]}"
13,8932,1088,1124,9440,9624,9784,10086,9807,9495,9696,9204,9610,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.57511180855532,70.80067420211589]}"
14,9242,1216,1251,9544,9808,9944,10265,10018,9770,9824,9448,9986,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.57071006366313,70.80130302281476]}"
15,8894,1050,1101,9136,9264,9416,9689,9462,9195,9240,8925,9191,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.57241686270297,70.80166234892842]}"
16,7797,1037,1054,7860,7936,8136,7887,7825,7495,8032,7446,7975,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.56936259073696,70.800045381417]}"
17,8672,1269,1254,9088,9144,9344,9383,9074,8940,9208,8600,8920,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.5636133729186,70.79735043556464]}"
18,7854,1580,1585,8456,8760,9080,9382,9099,8830,8720,8394,8531,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.5584031442707,70.79896740307605]}"
19,8816,1278,1287,9504,9784,10128,10169,9916,9562,9880,9374,9439,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.57241686270297,70.79815891932034]}"
20,8900,1519,1492,8360,8864,9056,9744,9263,9143,8592,8718,9492,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.55633701911722,70.79941656071811]}"
21,8218,1340,1322,9328,9376,9496,9754,9384,9183,9184,8755,8764,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.55409123090692,70.80498611547965]}"
22,8949,1099,1132,9416,9520,9784,9959,9588,9449,9544,9183,9536,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.57286602034502,70.80130302281476]}"
23,9231,1435,1424,9944,9944,10144,10098,9784,9599,9784,9154,9421,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.55211493728186,70.79887757154764]}"
24,9218,1000,1062,9568,9496,9656,9799,9565,9298,9344,8977,8944,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.57735759676562,70.8015725174]}"
