system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8912,1027,1148,9040,9256,9344,9632,9281,8815,8888,8464,8756,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.50783714233847,69.76572516328179]}"
1,8159,610,653,8156,8144,8280,8520,8194,7772,7840,7501,7863,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.5456562157999,69.77021673970238]}"
2,8221,688,730,7560,7548,7828,8340,8023,7678,7548,7499,8161,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.53254081265176,69.75251992860522]}"
3,8464,929,1041,9088,9128,9296,9294,8945,8453,8936,8273,8352,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.51143040347495,69.76276072284418]}"
4,8605,746,804,8632,8840,9000,9395,9097,8620,8744,8342,8596,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.52230001841279,69.75494537987234]}"
5,8150,733,778,8080,8192,8264,8654,8335,7959,8016,7745,8079,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.58715838192623,69.75323858083252]}"
6,8373,726,760,8544,8640,8816,9133,8749,8436,8608,8134,8434,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.53864935658378,69.75099279262221]}"
7,8495,774,819,8712,8904,8976,9305,8936,8493,8592,8242,8459,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.52966620374258,69.76078442921911]}"
8,8799,989,1130,8728,8880,9000,9360,9004,8611,8664,8324,8654,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.50720832163958,69.75898779865088]}"
9,8945,921,1036,9032,9128,9344,9645,9337,8791,8888,8477,8790,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.50828629998053,69.76653364703749]}"
10,8783,789,859,8880,9080,9376,9598,9230,8830,8928,8497,8732,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.51717962129331,69.76752179385002]}"
11,7818,726,755,8076,8184,8280,8505,8127,7783,8112,7544,7826,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.59156012681841,69.75135211873587]}"
12,8033,766,869,8100,8192,8416,8679,8347,7977,8080,7651,7952,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.55194442278874,69.76653364703749]}"
13,8055,661,702,8028,8084,8148,8845,8520,8056,7936,7793,7942,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.56344285842547,69.75781998878152]}"
14,7746,711,757,7404,7508,7724,8107,7862,7505,7580,7264,7560,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.59775850227884,69.7703964027592]}"
15,8463,660,693,8680,8784,9032,9363,9026,8522,8568,8242,8432,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.50442354425881,69.74901649899715]}"
16,8031,769,888,8188,8248,8344,8570,8273,7891,7964,7502,7864,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.49256578250844,69.74928599358239]}"
