system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9597,1349,1387,9720,9608,9752,10023,9596,9106,8928,8604,8869,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.5166726520958,75.18723756599992]}"
1,9488,1329,1379,9424,9456,9504,9799,9472,8971,8832,8496,8824,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.48765706841874,75.20709033377895]}"
2,9648,1312,1341,9744,9808,9832,10077,9687,9162,9040,8655,8866,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.52017608170387,75.1916393108921]}"
3,9032,1284,1305,9184,9192,9272,9573,9199,8734,8688,8296,8481,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.46250424046339,75.2006224637333]}"
4,9300,1347,1389,9352,9472,9600,9832,9503,8995,8992,8443,8812,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.49358594929393,75.18220700040885]}"
5,9487,1321,1363,9440,9480,9528,9792,9400,8906,8776,8305,8705,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.50247927060671,75.19684953954]}"
6,9282,1300,1343,9416,9472,9488,9892,9387,8892,8776,8438,8670,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.47741627417977,75.20358690417089]}"
7,9572,1344,1397,9672,9752,9792,10111,9687,9152,9104,8758,8915,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.50301825977718,75.1991851592787]}"
8,9458,1351,1389,9480,9600,9640,10005,9547,9032,8912,8581,8743,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.49852668335659,75.20304791500043]}"
9,9376,1326,1357,9296,9288,9496,9850,9349,8917,8784,8451,8747,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.495562242919,75.19873600163665]}"
10,9273,1268,1316,9272,9328,9344,9544,9132,8610,8528,8158,8479,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.47552981208312,75.19783768635253]}"
11,9268,1302,1333,9272,9288,9416,9863,9433,9014,8680,8518,8685,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.4730145292876,75.20250892582995]}"
12,9547,1348,1396,9576,9640,9688,9939,9545,9075,8960,8620,8816,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.50427590117495,75.19936482233553]}"
13,9516,1376,1420,9680,9672,9776,10141,9658,9167,8992,8735,8850,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.50481489034543,75.18669857682944]}"
14,9426,1340,1379,9576,9568,9664,9917,9498,9021,8992,8598,8769,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.47660779042407,75.18831554434085]}"
15,9537,1365,1399,9464,9576,9632,9891,9438,8986,8920,8565,8773,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.51191158108996,75.19514274050017]}"
16,9592,1317,1369,9672,9664,9792,10025,9545,9119,9024,8652,8873,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.531764348869,75.18750706058515]}"
17,9339,1340,1387,9376,9544,9568,9890,9559,9036,8904,8497,8805,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.49619106361787,75.1826561580509]}"
18,9377,1350,1383,9584,9512,9600,9896,9516,9057,9008,8533,8775,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.49205881331092,75.20547336626754]}"
