system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7915,1198,1237,8012,8128,8312,8707,8453,8290,8336,8301,8206,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.46458700863566,66.98031896181237]}"
1,7328,914,954,7592,7784,7896,8067,7942,7705,7868,7467,7631,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.41392202661132,66.99298520731847]}"
2,8265,1252,1321,8400,8648,9072,9286,9110,8935,9040,8765,8950,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.42443231543551,66.97834266818731]}"
3,8077,1217,1279,8248,8504,8720,8935,8732,8412,8608,8285,8466,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.3912844814515,66.97915115194303]}"
4,8347,1214,1271,8528,8696,8840,9086,8854,8609,8752,8430,8614,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.38661324197409,66.97043749368706]}"
5,7604,860,859,7728,7860,7948,8189,8000,7484,7484,7304,7441,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.49288394008542,66.97960030958508]}"
6,8409,1291,1367,8624,8840,9280,9611,9403,9175,9256,9039,9316,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.4122152275715,66.97331210259625]}"
7,8630,1214,1272,8432,8328,8336,8616,8370,8070,8032,7890,8146,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.41500000495226,66.98804447325581]}"
8,8455,1144,1190,8456,8392,8544,8610,8386,8064,8240,7872,8040,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.42317467403775,66.99244621814799]}"
9,8440,1320,1374,8696,8880,9168,9483,9283,9051,9256,8904,9138,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.43143917465164,66.97636637456225]}"
10,8276,1255,1295,8408,8616,8816,8983,8749,8494,8672,8342,8496,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.39370993271862,66.97735452137478]}"
11,8557,1022,1063,8560,8728,8808,9027,8722,8201,7960,7802,7882,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.37673177384877,66.97492907010766]}"
12,7797,1105,1117,7892,8052,8328,8589,8337,8117,8128,7850,7974,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.35274675576278,66.97852233124414]}"
13,7891,1071,1109,8056,8248,8448,8726,8478,8174,8160,7947,8035,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.35571119620037,66.97699519526114]}"
14,7985,1063,1101,8036,8192,8440,8650,8443,8137,8192,7920,8001,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.431079848538,66.99136823980704]}"
15,7255,907,945,7724,7920,8072,8204,8036,7728,7824,7534,7484,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.37224019742817,66.98175626626697]}"
16,7953,1237,1273,7884,8104,8304,8723,8530,8343,8352,8208,8419,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.44590205072598,66.9910089136934]}"
17,8246,1231,1299,8312,8424,8728,8957,8695,8443,8616,8313,8471,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.40089645499158,66.98022913028397]}"
18,7082,935,953,7320,7404,7728,7957,7895,7486,7636,7382,7460,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.40673550433836,66.99307503884688]}"
19,6873,525,524,6888,7020,7216,7479,7248,6877,6800,6582,6852,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.38050469804207,66.98400205447727]}"
20,8705,1272,1340,8784,9032,9448,9714,9512,9322,9488,9238,9500,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.42245602181045,66.96819170547677]}"
21,8290,1084,1139,8368,8432,8624,8884,8583,8370,8416,8063,8427,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.3822114970819,66.97780367901684]}"
22,8376,921,953,8400,8440,8504,8619,8256,7828,7916,7535,7711,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.42488147307758,66.98984110382405]}"
23,7945,1293,1325,8240,8336,8712,8837,8632,8462,8776,8342,8656,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.45344789911258,66.98696649491487]}"
24,7886,1240,1261,8004,8096,8336,8637,8498,8193,8320,8050,8252,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.37511480633735,66.99370385954576]}"
