system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5488,1078,1082,5420,5752,6168,6722,6316,5993,5824,5596,5757,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.22139603016172,78.43051506778504]}"
1,5226,1103,1097,5428,5744,6284,6619,6416,5966,5952,5629,5758,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.24205728169647,78.43536597031928]}"
2,5480,1080,1085,5952,6316,6568,6740,6485,6024,6064,5681,5715,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.22822322632103,78.43204220376803]}"
3,5273,1077,1082,5696,6028,6332,6637,6327,5942,5884,5556,5676,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.21492816011606,78.4348269811488]}"
4,5283,1075,1091,5860,6036,6400,6710,6309,5969,5980,5574,5674,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.227953731735795,78.4362642856034]}"
5,5504,1080,1082,5832,6192,6492,6896,6499,6110,6008,5704,5826,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.218431589724126,78.43060489931345]}"
6,5369,1087,1088,5508,5792,6376,6747,6450,6027,5920,5620,5751,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.227145247980086,78.42880826874521]}"
7,5459,1067,1104,5812,6084,6396,6754,6455,6046,5960,5594,5753,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.222474008502665,78.43177270918281]}"
8,5597,1086,1093,5820,6140,6404,6783,6456,6100,5952,5649,5832,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.23316396038369,78.43033540472821]}"
9,5220,1086,1093,5464,5800,6136,6548,6247,5850,5648,5523,5643,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.262808364759632,78.43788125311481]}"
10,5432,1096,1091,5844,6200,6500,6690,6398,5924,5992,5617,5772,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.212862034962587,78.43356933975105]}"
11,5459,1067,1104,5812,6084,6396,6754,6455,6046,5960,5594,5753,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.22256384003108,78.43177270918281]}"
12,5465,1083,1082,5964,6332,6644,6778,6506,6094,6156,5693,5815,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.23235547662798,78.43276085599534]}"
13,5395,1075,1081,5552,5824,6268,6601,6275,5931,5808,5494,5730,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.21304169801941,78.43159304612598]}"
14,5556,1082,1096,5796,6128,6448,6816,6444,6030,5924,5662,5795,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.226246932695968,78.43060489931345]}"
15,5260,1094,1087,5376,5688,6108,6506,6224,5946,5796,5474,5671,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.2294808677188,78.43572529643293]}"
16,5451,1090,1093,5544,5860,6292,6686,6350,5945,5884,5644,5802,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.229840193832445,78.4295269209725]}"
17,5295,1073,1084,5732,6084,6356,6654,6319,5963,5964,5548,5669,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.242775933923767,78.43338967669422]}"
18,5411,1073,1085,5528,5864,6376,6642,6387,5920,5852,5577,5759,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.23738604221905,78.43258119293851]}"
19,5414,1084,1097,5884,6224,6592,6932,6600,6155,6108,5785,5801,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.227145247980086,78.4294370894441]}"
20,5173,1086,1103,5416,5568,6088,6497,6166,5845,5748,5486,5671,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.239901325014586,78.43599479101816]}"
21,5318,1106,1086,5856,6160,6484,6627,6395,5933,5988,5600,5687,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.23190631898592,78.43392866586468]}"
22,5334,1085,1093,5632,5940,6360,6649,6276,5917,5892,5571,5700,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.240440314185054,78.43383883433627]}"
23,5335,1096,1077,6000,6196,6548,6689,6422,6062,6028,5628,5753,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.252747233577495,78.43653378018864]}"
24,5313,1105,1084,5572,5864,6304,6642,6375,6013,5824,5588,5724,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.242686102395353,78.43285068752374]}"
