system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9325,1421,1464,9520,9552,9632,9942,9643,9317,9184,8879,9077,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.98007856702687,80.40213745337056]}"
1,9198,1408,1443,9248,9224,9328,9673,9427,9052,8928,8546,8877,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.98609727943047,80.40114930655803]}"
2,9150,1461,1494,9520,9496,9552,9879,9517,9211,9088,8757,9043,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.645815449806,80.35982680348853]}"
3,9258,1579,1581,10000,10088,10376,10576,10195,9924,9928,9428,9365,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.68992273025626,80.37815243528458]}"
4,9085,1437,1444,9480,9544,9776,10039,9752,9516,9472,9088,9374,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.76960329595767,80.39540008873966]}"
5,9103,1453,1490,9112,8752,8792,9044,8700,8420,8232,7970,8229,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.68453283855155,80.36090478182948]}"
6,9208,1553,1601,9664,9728,10016,10378,10096,9747,9680,9331,9639,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.68444300702313,80.38560845214276]}"
7,9234,1468,1498,9680,9624,9984,10151,9816,9506,9576,9106,9394,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.69423464362004,80.38408131615977]}"
8,9103,1469,1523,9728,9864,9920,10338,9981,9669,9648,9219,9403,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.67105810928975,80.37743378305727]}"
9,8946,1419,1434,8928,9112,9328,9461,9225,8977,8880,8447,8755,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.98025823008369,80.39962217057503]}"
10,7231,1325,1301,8344,8280,8296,8485,8039,7584,7408,7117,6626,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.91584902421232,80.37473883720492]}"
11,9160,1615,1656,9560,9432,9592,9938,9614,9309,9128,8977,8885,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.69216851846656,80.39162716454636]}"
12,9325,1424,1449,9488,9368,9488,9769,9472,9197,9104,8785,9077,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.97935991479957,80.40213745337056]}"
13,9109,1335,1326,9400,9216,9272,9500,9229,8891,8672,8463,8696,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.92959324805935,80.39477126804078]}"
14,8962,1562,1596,9528,9552,9816,10169,9886,9532,9528,9054,9330,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.67680732710811,80.3821948540631]}"
15,9099,1312,1315,9456,9216,9224,9551,9126,8783,8792,8406,8537,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.9118964369622,80.39351362664301]}"
16,9534,1517,1555,9936,9864,10040,10147,9736,9441,9440,9031,9193,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.79161202041858,80.37976940279599]}"
17,7665,1372,1391,8312,8144,8224,8128,7817,7529,7800,7179,7196,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.83985155117581,80.3798592343244]}"
18,9235,1601,1611,9912,9928,9968,10154,9870,9549,9552,9101,8983,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.72953843428593,80.39459160498396]}"
19,8984,1454,1456,9488,9512,9728,10024,9693,9381,9360,8946,9057,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.75172682180369,80.38677626201212]}"
20,9285,1337,1339,9680,9496,9520,9564,9212,8800,8784,8315,8437,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.89078602778538,80.39010002856335]}"
21,9635,1481,1501,9712,9616,9848,10181,9802,9438,9456,8979,10056,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.88207236952942,80.37195405982415]}"
22,7147,1235,1232,7048,6908,7080,8347,7564,7170,6332,6739,6887,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.92725762832063,80.3768947938868]}"
23,9221,1435,1439,9792,9864,10088,10402,10258,9902,9736,9335,9379,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.80850034776003,80.38974070244971]}"
24,9258,1511,1553,10048,10088,10504,10721,10424,10069,10120,9635,9811,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.69890588309745,80.38902205022242]}"
