system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8812,933,946,9520,9480,10088,10511,10244,10103,10256,9899,10073,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.44814034448119,81.60740707007372]}"
1,8994,865,874,9552,9592,10400,10786,10652,10392,10504,10246,10498,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.41068059713339,81.61612072832968]}"
2,8211,979,917,8880,8488,8696,8867,8509,8163,8312,7761,7736,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.4828153144482,81.61836651653998]}"
3,8794,719,742,9256,9272,9808,10212,9965,9781,9728,9521,9626,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.42631128307708,81.6034544828236]}"
4,8981,1751,1951,9416,9272,9840,10431,10180,9780,9640,9569,9600,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.3633393816603,81.60399347199407]}"
5,8648,723,721,9120,8928,9432,9831,9702,9356,9624,9260,9568,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.43161134325338,81.60471212422136]}"
6,9279,1119,1163,9584,9376,9840,10496,10303,10015,9896,9792,10094,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.38040737205857,81.60552060797707]}"
7,8343,900,920,9328,9328,9904,9899,9703,9398,9624,9184,8920,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.40259575957633,81.62240893531852]}"
8,7990,909,1005,8528,8440,8672,9282,9083,8598,8264,8186,8190,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.3707953985185,81.61917500029568]}"
9,7094,761,815,7324,6928,7128,7352,7055,6781,6700,6530,6481,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.45963878011791,81.62088179933552]}"
10,8190,878,887,8896,8856,9488,9977,9596,9413,9512,9036,9180,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.39379226979196,81.61935466335251]}"
11,8750,1117,1189,9568,9544,10128,10612,10429,10203,10408,9955,9915,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.40987211337769,81.61019184745449]}"
12,7961,742,754,8744,8768,9256,9610,9368,8909,9080,8657,8619,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.37780225773463,81.6169292120854]}"
13,8740,858,838,9592,9632,10560,10593,10455,10190,10568,9991,9993,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.39891266691143,81.61683938055698]}"
14,8499,779,774,9136,9240,9928,10314,10116,9880,10168,9706,10072,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.44328944194694,81.61665971750016]}"
15,7455,658,620,7404,7052,7176,7371,7082,6741,6744,6436,7121,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.48272548291979,81.61423426623303]}"
16,8288,1145,1252,8448,8304,8384,8760,8491,8057,7928,7610,8152,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.36495634917172,81.62240893531852]}"
17,7702,384,372,8312,8148,8320,8411,8026,7544,7320,6848,7018,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.34788835877345,81.61180881496591]}"
18,8409,888,862,9040,8992,9696,10431,10117,9929,9952,9798,9873,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.42810791364532,81.6169292120854]}"
19,8503,798,791,8936,8776,9064,9531,9219,8919,8880,8732,9190,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.46143541068615,81.60507145033502]}"
20,8394,703,704,8752,8776,9240,9672,9376,9111,9256,8939,9373,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.48703739628355,81.60686808090325]}"
21,9427,1145,1271,9624,9568,9952,10765,10524,10183,10088,10112,10473,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.39693637328637,81.60147818919853]}"
22,7769,1384,1612,8224,8004,8216,8621,8233,7724,7700,7305,7536,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.33540177632419,81.6094731952272]}"
23,8244,1102,1080,8568,8352,9048,9143,8728,8555,8712,8307,8457,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.40268559110474,81.62312758754581]}"
24,7436,809,803,8600,8440,8792,8784,8587,8222,8768,7979,7514,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.52009539873916,81.60614942867596]}"
