system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8782,1748,1756,9184,9184,9688,10057,9766,9402,9600,9111,9607,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.85038724353851,80.11871898123086]}"
1,8753,1730,1765,8792,8952,9120,9642,9302,8963,8920,8585,9069,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.870509505902785,80.11692235066262]}"
2,8664,1786,1805,9312,9440,9720,9816,9592,9143,9296,8749,9221,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.859100901794466,80.1153053831512]}"
3,8867,1770,1781,9184,9248,9712,10237,9898,9559,9488,9245,9612,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.852094042578337,80.11764100288991]}"
4,8579,1774,1783,8920,8832,9184,9482,9216,8863,9024,8570,9032,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.872845125641497,80.11108330131583]}"
5,9178,1988,2004,10216,10032,10336,10503,10272,10051,10120,9571,9586,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.927552526444376,80.11710201371943]}"
6,8862,1879,1916,9416,9216,9672,10062,9776,9360,9656,9090,9391,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.89422502940354,80.10793919782142]}"
7,8503,1772,1813,8632,8536,8856,9427,9134,8800,8784,8518,8995,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.875001082323383,80.11386807869661]}"
8,8657,1751,1755,9360,9216,9624,9847,9471,9186,9304,8833,8942,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.875540071493855,80.10901717616237]}"
9,8719,1793,1820,9088,9160,9616,10073,9781,9546,9544,9227,9587,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.89925559499461,80.1175511713615]}"
10,8732,1680,1652,9024,8856,9080,9336,9051,8708,8856,8422,8765,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.841134596112077,80.11126296437266]}"
11,8579,1763,1784,8728,8816,9216,9671,9402,9061,9040,8725,9032,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.871317989658493,80.11126296437266]}"
12,8439,1727,1697,8808,8816,9480,9762,9452,9160,9288,8827,9241,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.827210709208224,80.1190783073445]}"
13,8979,1822,1824,9144,9096,9480,9849,9557,9271,9168,9036,9456,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.89332671411942,80.11207144812836]}"
14,7897,1677,1650,8496,8456,8928,9441,9065,8887,8952,8487,8824,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.817598735668145,80.11988679110021]}"
15,9043,1837,1826,9440,9352,9952,10381,10062,9724,9776,9383,9795,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.909137063119925,80.11764100288991]}"
16,8724,1771,1781,9288,9328,9728,10001,9652,9248,9320,8921,9080,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.86107719541953,80.11773083441832]}"
17,8468,1765,1768,8864,8840,9200,9580,9388,9030,9080,8689,8901,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.88775715935788,80.11485622550914]}"
18,8753,1758,1759,9000,9056,9272,9751,9399,9143,9160,8644,9069,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.86934169603343,80.11719184524785]}"
19,9007,1831,1845,9480,9264,9816,10073,9725,9562,9568,9173,9636,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.903118350716323,80.1137782471682]}"
20,9057,1840,1893,9616,9528,9952,10211,9922,9583,9728,9309,9710,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.900872562506024,80.11323925799772]}"
21,8727,1802,1790,9144,9088,9464,9946,9598,9256,9224,8786,9204,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.865568771840127,80.11638336149214]}"
22,8825,1879,1899,9520,9464,9904,10049,9747,9540,9728,9230,9345,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.893506377176244,80.1085680185203]}"
23,8467,1686,1701,8888,8736,9256,9663,9433,9093,8960,8854,9029,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.841134596112077,80.12006645415703]}"
24,8904,1723,1719,9144,8920,9216,9699,9351,9016,8808,8612,9026,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.844458362663318,80.10910700769077]}"
