system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9381,1325,1326,9488,9592,9712,10113,9726,9236,9128,8776,9114,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.71874950231279,81.13570171438256]}"
1,9384,1286,1324,9417,9416,9545,10106,9627,9165,9000,8751,9100,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.75297531463775,81.12510159402996]}"
2,9299,1277,1273,9303,9184,9400,10063,9570,9153,8768,8654,8958,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.79339950242313,81.12402361568901]}"
3,9450,1331,1336,9768,9680,9847,10320,9976,9459,9368,8956,9171,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.71488674659108,81.12339479499012]}"
4,9355,1274,1288,9464,9312,9559,10201,9677,9208,8856,8756,9131,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.77453488145662,81.12761687682548]}"
5,9261,1272,1288,9248,9296,9552,10005,9675,9235,8968,8802,9012,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.76788734835414,81.12429311027424]}"
6,9397,1296,1326,9568,9512,9625,10252,9838,9335,9248,8986,9204,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.6902729078062,81.14028312233157]}"
7,9366,1307,1321,9313,9239,9416,10084,9726,9213,8840,8694,9138,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.69656111479505,81.1366898611951]}"
8,9411,1291,1319,9687,9752,9960,10153,9814,9313,9376,8916,9155,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.72458855165956,81.13165929560402]}"
9,9400,1251,1288,9585,9456,9673,10081,9683,9202,9120,8748,9017,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.77749932189421,81.13489323062686]}"
10,9225,1274,1306,9215,9281,9480,9998,9644,9142,8872,8747,8999,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.7796552785761,81.12662873001295]}"
11,9273,1280,1306,9464,9352,9624,10083,9661,9210,9120,8819,9025,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.76806701141095,81.12375412110377]}"
12,9415,1285,1276,9551,9464,9640,10184,9705,9292,9152,8758,9018,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.81612687911135,81.1261795723709]}"
13,9290,1291,1293,9415,9496,9575,10009,9539,9104,9096,8697,8983,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.73267338921664,81.13210845324609]}"
14,9486,1276,1312,9527,9392,9592,10158,9743,9345,9144,8941,9162,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.74354300415449,81.13552205132574]}"
15,9461,1252,1277,9600,9576,9688,10123,9751,9278,9088,8731,9017,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.75090918948428,81.13794750259287]}"
16,9462,1254,1295,9608,9441,9624,10069,9751,9251,9120,8757,9102,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.75899402704135,81.13534238826891]}"
17,9447,1289,1316,9752,9560,9751,10135,9702,9210,9176,8793,8887,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.74318367804085,81.14225941595663]}"
18,9301,1284,1335,9480,9424,9615,10076,9713,9287,9152,8884,9080,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.70787988737494,81.12761687682548]}"
19,9473,1291,1318,9544,9527,9711,10143,9799,9332,9128,8798,9154,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.72728349751193,81.13785767106445]}"
20,9470,1277,1281,9671,9471,9696,10095,9742,9200,9240,8739,9030,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.7398599114896,81.13794750259287]}"
21,9206,1309,1315,9313,9224,9319,9931,9556,9090,8856,8664,8920,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.75764655411517,81.122496479706]}"
22,9215,1282,1259,9376,9256,9383,10014,9600,9107,8856,8641,8967,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.77992477316133,81.12932367586531]}"
23,9193,1305,1310,9223,9304,9464,9875,9452,8990,8864,8654,9026,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.6925186960165,81.13785767106445]}"
24,9292,1289,1306,9575,9480,9616,10079,9716,9280,9040,8834,9059,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.75674823883105,81.13300676853021]}"
