system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8368,1365,1543,8592,8592,8656,9083,8566,8040,8192,7691,7873,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52884857142317,70.76806535730235]}"
1,8074,1005,1413,8536,8792,8856,9130,8734,8147,8184,7636,7803,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52741126696857,70.76528057992157]}"
2,9161,748,945,9144,9320,9880,10385,9848,9145,8688,8640,9030,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.50917546670095,70.76581956909205]}"
3,9920,512,415,9744,10280,10608,10945,10435,10010,9504,9462,9472,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53001638129253,70.76653822131934]}"
4,8718,905,1105,9128,9344,9688,9956,9486,8944,9032,8444,8631,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.509624624343,70.76806535730235]}"
5,8591,1406,1983,10584,10792,10856,10279,9465,8704,9968,8296,8490,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.50216860748482,70.76168731878509]}"
6,5966,594,648,5692,5928,6312,6267,5966,5530,5428,5231,5667,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.48438196485925,70.76887384105805]}"
7,8138,1086,1552,8536,9000,9480,9773,9603,8826,8368,8214,8219,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.51097209726919,70.76007035127368]}"
8,8121,1256,1645,8060,8280,8688,9079,8779,8046,7896,7590,7961,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.51770946190008,70.7685145149444]}"
9,8847,1310,1517,8784,9040,9320,9600,9057,8473,8608,7924,8726,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.51115176032602,70.76357378088174]}"
10,8514,1570,2102,8124,8376,9120,9275,8649,8027,7760,7569,7996,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53199267491759,70.76240597101238]}"
11,7616,631,476,7016,7212,7408,8110,7713,7437,7032,7117,7379,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53468762076994,70.76896367258647]}"
12,8408,1326,1672,8872,9128,9224,9367,8868,8326,8632,7942,8260,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.51429586382042,70.76959249328534]}"
13,7721,857,674,7560,7944,8304,8749,8509,8237,7788,7985,8057,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49102949796173,70.76968232481376]}"
14,8987,760,708,8776,8776,9168,9924,9547,9113,8496,8600,8784,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.51761963037167,70.7602500143305]}"
15,9867,831,630,9304,9624,9656,10284,9896,9397,8688,9074,8944,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53998768094624,70.76537041144998]}"
16,8429,1213,1451,8992,8712,8776,8994,8581,8103,8448,7704,8187,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.50477372180876,70.76968232481376]}"
17,8130,1039,1235,8496,8768,8888,9209,8742,8325,8376,7873,8286,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49803635717787,70.76797552577393]}"
18,7210,569,451,6324,6612,6952,7156,6699,6272,6216,5769,6896,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.48537011167178,70.76815518883075]}"
19,9563,1861,2045,9480,9928,10232,10588,10250,9714,9520,9268,9469,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49237697088792,70.76492125380793]}"
20,8562,1099,1254,8304,8768,9024,9638,9450,8997,8288,8434,8523,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.51133142338283,70.76033984585891]}"
21,9977,415,597,9752,10120,10256,10764,10147,9364,9320,8742,9418,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53549610452565,70.7662687267341]}"
22,7770,288,455,7176,7300,7548,7720,7474,7127,6752,6820,7434,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.48348364957513,70.76725687354663]}"
23,8479,1536,2118,9104,9472,9480,9643,9201,8572,8704,8040,8330,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49534141132551,70.76213647642716]}"
24,8540,844,1204,9216,9720,10000,10191,9658,8932,9168,8319,8552,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.50468389028035,70.76869417800123]}"
