system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,4986,64,59,5200,5020,5024,5262,4912,4441,4244,3797,3995,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41378353209116,69.68954802718844]}"
1,4852,71,62,5196,5104,5176,5340,4978,4593,4472,4104,4071,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4050698738352,69.69080566858621]}"
2,5544,74,69,5988,5876,5908,5934,5592,5089,5016,4486,4515,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4020156018692,69.69233280456922]}"
3,4764,59,65,5540,5376,5384,5435,5119,4678,4716,4142,4013,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40480037924996,69.69098533164303]}"
4,5596,66,70,5484,5424,5444,5676,5336,4869,4716,4329,4608,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40821397732961,69.69044634247257]}"
5,4881,71,73,5296,5132,5152,5309,4975,4659,4360,4007,3969,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40560886300567,69.69017684788733]}"
6,5776,64,69,5792,5572,5600,5835,5479,5038,4760,4416,4714,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40686650440344,69.69116499469986]}"
7,6037,73,61,5416,5348,5416,5822,5482,4976,4668,4387,4761,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4050698738352,69.6914344892851]}"
8,5177,74,67,5236,5104,5240,5473,5202,4820,4624,4220,4327,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40605802064773,69.69089550011462]}"
9,5596,72,56,5780,5660,5704,6129,5697,5184,4908,4622,4608,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40821397732961,69.6907158370578]}"
10,5334,74,59,5488,5312,5420,5697,5358,4908,4776,4298,4412,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40408172702267,69.6915243208135]}"
11,5177,72,62,5648,5424,5500,5825,5524,5021,4772,4423,4327,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4057885260625,69.69134465775669]}"
12,5892,79,52,5988,5876,5900,6162,5728,5146,4832,4479,4573,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40120711811348,69.69260229915444]}"
13,5267,64,61,5488,5436,5472,5581,5144,4646,4652,4087,4268,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41387336361957,69.69008701635892]}"
14,5132,58,64,5176,5124,5192,5405,5121,4688,4588,4078,4162,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40875296650009,69.69026667941574]}"
15,5107,69,53,5440,5336,5460,5538,5198,4733,4624,4174,4192,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41495134196052,69.69017684788733]}"
16,5485,65,73,5820,5728,5744,5857,5528,5024,4876,4392,4429,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4111784177672,69.69026667941574]}"
17,5427,63,67,5264,5224,5248,5593,5210,4710,4460,4230,4358,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.39896132990319,69.69251246762603]}"
18,5202,71,65,5248,5092,5136,5519,5215,4803,4428,4217,4286,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4065970098182,69.6907158370578]}"
19,5334,74,59,5524,5424,5468,5697,5358,4908,4728,4298,4412,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40417155855107,69.69161415234191]}"
20,5202,68,64,5348,5264,5356,5461,5106,4655,4712,4167,4286,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40794448274438,69.69044634247257]}"
21,5334,72,57,5748,5548,5556,5813,5472,5002,4872,4399,4412,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40489021077838,69.69161415234191]}"
22,5177,67,67,5328,5148,5304,5264,4956,4530,4564,4070,4327,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40560886300567,69.69116499469986]}"
23,5334,73,74,5716,5428,5488,6060,5657,5123,4596,4489,4412,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40453088466472,69.69170398387033]}"
24,5549,73,61,5772,5648,5672,5912,5437,4949,4804,4379,4424,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41126824929562,69.69026667941574]}"
