system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5153,63,69,5028,5240,5328,5698,5191,4622,4296,4177,4328,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.84437767969861,77.58852415197981]}"
1,4215,20,57,5916,5324,5956,6080,5863,5394,5216,4368,3446,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.050550185967744,77.73998010888236]}"
2,3651,73,96,4796,5064,5088,4981,4701,4205,4344,3833,3779,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.77951931618518,77.58286476568985]}"
3,4942,69,67,4900,5016,5176,5507,5219,4675,4708,4306,4504,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.76155301050279,77.59553101119594]}"
4,4315,102,112,5092,5208,5424,5093,4952,4520,4696,4175,4065,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.76478694552562,77.57172565616678]}"
5,5149,86,85,4968,5248,5280,5466,5200,4656,4592,4278,4374,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.7638886302415,77.57684605328626]}"
6,4229,26,66,5168,5348,5748,4579,3975,3542,4744,3366,3505,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.074714867110558,77.73548853246176]}"
7,4164,70,68,4820,5072,5112,5134,4852,4362,4360,3962,3690,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.859918534113877,77.59696831565053]}"
8,3233,42,57,6548,6188,6468,4831,4100,3789,5084,3595,2845,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.084326840650636,77.75561079482604]}"
9,5758,91,95,4964,5252,5380,5791,5328,4951,4428,4486,4718,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.82218929218086,77.57765453704197]}"
10,3925,68,84,4984,5104,5140,5283,4879,4350,4372,3986,3684,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.907259749586977,77.6011903974859]}"
11,5083,68,100,5036,5084,5252,5821,5264,4783,4516,4246,4457,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.8029653451007,77.57999015678067]}"
12,4524,86,69,4928,5080,5148,5293,5014,4595,4540,4250,4207,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.7593970538209,77.6004717452586]}"
13,4551,55,70,5080,5252,5372,5374,4992,4511,4624,4158,4255,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.81167900335666,77.59166825547423]}"
14,4765,105,122,5020,5180,5328,5464,5069,4516,4508,4190,4424,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.785717691645605,77.56930020489965]}"
15,5154,58,86,5416,5504,5548,5654,5354,4744,4856,4426,4591,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.756432613383307,77.59939376691766]}"
16,4942,64,84,5596,5892,5972,6039,5586,4992,5004,4506,4399,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.8029653451007,77.57406127590548]}"
17,4193,57,47,4932,5080,5092,5515,5163,4705,4528,4318,3922,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.770176837230338,77.59409370674135]}"
18,4547,112,130,4952,5240,5304,5319,4914,4475,4484,4084,4290,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.7699073426451,77.5749595911896]}"
19,4783,63,98,5184,5336,5412,5555,5204,4653,4548,4279,4300,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.800539893833577,77.5794511676102]}"
20,4859,62,93,5824,5892,5908,5891,5433,4885,5016,4426,4409,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.792455056276502,77.58232577651938]}"
21,5154,72,87,4928,5096,5200,5623,5314,4839,4592,4407,4591,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.75751059172425,77.59957342997448]}"
22,5122,83,84,5156,5272,5508,5821,5343,4776,4680,4429,4645,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.7909279202935,77.57217481380883]}"
23,5004,91,98,5044,5332,5352,5363,5013,4716,4672,4342,4499,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.816889232004552,77.57909184149655]}"
24,3187,208,200,5308,5600,5776,6170,5809,5374,5372,4921,3940,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[21.873123768790435,77.5832240918035]}"
