system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8740,713,749,9080,8976,9064,9356,8991,8688,8576,8167,8373,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.361330680018288,64.51516215913159]}"
1,8589,700,750,8904,8856,8888,9086,8767,8421,8360,7948,8114,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.357198429711335,64.5467828571326]}"
2,8603,709,736,8776,8728,8800,9082,8668,8301,8128,7780,8009,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.320367503062435,64.55073544438272]}"
3,8650,756,791,9016,8896,9016,9266,8962,8675,8624,8283,8516,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.214096804951097,64.54211161765518]}"
4,8463,721,756,8792,8704,8752,9013,8668,8347,8264,7955,8111,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.4102888630028,64.5205520508363]}"
5,8615,689,725,8800,8720,8800,9101,8739,8424,8304,7970,8163,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.376422376791496,64.54139296542787]}"
6,8776,730,760,9120,9032,9088,9309,8962,8682,8512,8132,8353,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.396275144570534,64.53744037817775]}"
7,8676,766,804,9056,8976,9016,9204,8911,8604,8600,8210,8388,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.4065159388095,64.5491184768713]}"
8,8692,723,763,8976,8824,8928,9169,8796,8512,8400,8015,8258,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.28281792418624,64.54561504726324]}"
9,8702,687,736,9080,9016,9040,9188,8911,8521,8432,8044,8240,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.30177237668116,64.52342665974548]}"
10,8827,747,790,9144,9072,9272,9459,9140,8868,8816,8519,8694,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.233230920502844,64.53591324219475]}"
11,8545,664,703,8872,8800,8888,9148,8802,8465,8368,8013,8153,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.37291894718343,64.5205520508363]}"
12,8481,650,689,8744,8600,8776,8983,8655,8362,8248,7882,8083,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.38675300255887,64.51111974035305]}"
13,8762,689,716,8960,8888,8984,9343,8915,8599,8440,8159,8280,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.331776107170754,64.52710975241038]}"
14,9029,837,881,9288,9104,9264,9576,9285,9012,8976,8623,8857,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.433016239691025,64.55477786316126]}"
15,8495,687,723,8848,8800,8928,9168,8817,8453,8360,7976,8073,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.332674422454875,64.51659946358618]}"
16,8741,690,722,8968,8880,8952,9284,8985,8623,8528,8223,8328,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.37624271373467,64.52935554062067]}"
17,8604,747,787,8888,8824,8888,9074,8815,8467,8440,8025,8230,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.380195300984795,64.55783213512727]}"
18,8649,713,736,8952,8800,8992,9201,8844,8502,8400,8022,8247,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.39555649234324,64.53196065494463]}"
19,8699,681,725,8976,8952,9040,9245,8878,8525,8384,8036,8199,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.346777972415552,64.53833869346187]}"
20,8785,717,752,9192,9104,9128,9316,9023,8627,8552,8192,8342,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.355581462199922,64.52450463808643]}"
21,8611,676,717,8976,8816,8992,9217,8857,8471,8368,8019,8193,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.31955901930673,64.51920457791013]}"
22,8764,752,791,9040,8896,9000,9328,9003,8692,8592,8309,8420,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.41262448274151,64.53079284507527]}"
23,8710,746,773,8920,8848,8928,9155,8857,8554,8456,8078,8296,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.27913483152135,64.54705235171784]}"
24,8697,753,793,8944,8848,8944,9200,8885,8559,8432,8102,8313,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.387022497144105,64.55459820010444]}"
