"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,6218,126,103,7660,7968,7972,6909,6633,6254,6661,5649,5906,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.97771345944444,46.473218329818295]}"
26,8527,162,146,8280,8480,8512,8827,8349,7746,7208,7258,7225,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.975557502762554,46.472499677590996]}"
27,3686,153,137,6176,6376,6888,5699,4971,5284,5859,4420,5240,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.986337286171988,46.47645226484112]}"
28,8150,128,142,7956,8304,8424,7826,7774,7056,7344,6652,6915,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.974389692893198,46.47285900370465]}"
29,6667,156,142,7960,8328,8528,8447,8030,7471,7368,6861,6453,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.980588068353623,46.47303866676147]}"
30,7169,136,137,7960,8408,8464,8744,8239,7705,7271,7101,7001,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976006660404614,46.47312849828988]}"
31,6775,127,100,6920,7344,7440,7458,7054,6680,6391,6129,6096,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.974749019006846,46.47438613968765]}"
32,6686,152,122,6904,7196,7248,7090,6873,6475,6364,6002,6068,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.979150763899032,46.47267934064782]}"
33,6082,138,164,7736,7928,7988,7883,7557,7190,7059,6610,6208,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.968191317432773,46.47339799287512]}"
34,6278,140,96,6880,7304,7496,7600,7249,6807,6532,6239,6234,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.982115204336626,46.47645226484112]}"
35,6289,145,138,7148,7580,7768,7946,7569,7026,6678,6442,6260,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.978521943200148,46.474925128858125]}"
36,7200,181,155,8568,8840,8888,8865,8463,7948,7697,7321,6666,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.979959247654739,46.47214035147735]}"
37,6686,150,151,6852,7252,7472,7244,6912,6581,6489,6125,6068,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.979420258484267,46.47285900370465]}"
38,6667,156,142,7960,8328,8528,8447,8030,7471,7368,6861,6453,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.980677899882035,46.47303866676147]}"
39,7719,160,158,7744,7956,8048,8192,7784,7398,6968,6944,7061,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.977623627916029,46.472320014534176]}"
40,6905,125,119,7784,8256,8512,8567,8120,7538,7348,6956,6766,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.967382833677066,46.47528445497177]}"
41,6158,137,131,8208,8520,8544,8716,8085,7711,7491,7109,6494,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.97124558939878,46.47429630815924]}"
42,5272,262,228,8224,8680,8752,9320,8692,8301,7736,7649,6029,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.989840715780054,46.47744041165365]}"
43,7848,114,129,8164,8504,8512,8599,8098,7480,7272,6920,7030,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.96711333909183,46.474925128858125]}"
44,7040,132,121,7968,8432,8504,8683,8206,7601,7196,6873,6802,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.975467671234141,46.47564378108542]}"
45,5173,143,126,6508,6904,7064,7031,6665,6085,6004,5592,5511,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.988223748268639,46.47878788457984]}"
46,7607,183,167,8120,8172,8200,7887,7620,7131,7072,6619,6824,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.971515083984015,46.47267934064782]}"
47,6924,118,92,7392,7780,7892,7894,7429,6866,6616,6216,6016,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.975737165819377,46.4747454658013]}"
48,5293,260,218,8608,9056,9152,9260,8926,8400,7928,7925,5863,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.989750884251642,46.477260748596834]}"
49,8440,246,247,9568,9744,9776,9729,9312,8885,8799,8303,7555,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.977443964859204,46.47169119383529]}"
50,7055,162,157,7812,8288,8480,8576,8113,7550,7316,6904,6761,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976725312631909,46.498999978472526]}"
51,6481,162,131,6280,6544,6768,7394,7046,6572,5813,6133,6279,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.977623627916029,46.50187458738171]}"
52,6414,157,155,6220,6564,6728,6306,6027,5814,6148,5600,6130,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976635481103497,46.50178475585329]}"
53,6964,182,173,6988,7340,7524,7688,7329,6879,6616,6421,6573,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.972233736211312,46.499538967643]}"
54,7007,193,175,7652,8104,8312,8359,7906,7378,7163,6764,6668,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976096491933025,46.50070677751235]}"
55,7100,187,172,7824,8304,8520,8577,8102,7617,7508,6975,6772,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.975467671234141,46.49935930458617]}"
56,7049,172,159,7704,8168,8360,8355,7877,7375,7248,6809,6666,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976994807217145,46.500167788341884]}"
57,6875,162,175,7076,7492,7588,7603,7377,6688,6591,6416,6430,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.973940535251138,46.50169492432488]}"
58,6253,162,136,7536,7884,7968,7971,7543,7023,6924,6525,6073,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.977803290972853,46.502772902665825]}"
59,7090,220,202,7740,8188,8424,8447,8057,7550,7384,6931,6824,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.97447952442161,46.499898293756644]}"
60,6970,200,189,7784,8216,8424,8442,8042,7486,7360,6889,6699,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976635481103497,46.50124576668282]}"
61,7050,218,213,7632,8096,8336,8441,8011,7498,7248,6891,6734,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.974749019006846,46.49998812528506]}"
62,6696,187,169,7460,7860,8096,8118,7735,7237,7105,6687,6346,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.9770846387455565,46.50151526126806]}"
63,6414,181,167,7564,8016,8192,8054,7597,7109,7080,6387,6130,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976815144160321,46.50169492432488]}"
64,6696,175,151,7096,7284,7668,7672,7316,6795,6401,6360,6346,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.977623627916029,46.50142542973965]}"
65,6817,158,150,7652,8080,8304,8507,8069,7513,7261,6856,6586,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.97726430180238,46.49864065235888]}"
66,7016,164,173,7596,7900,7956,7780,7307,6861,6952,6113,6497,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.973671040665902,46.50178475585329]}"
67,6875,188,176,7408,7728,7848,7894,7524,6937,6764,6262,6430,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.973940535251138,46.50187458738171]}"
68,6388,130,111,6656,6924,7152,6690,6309,5840,5684,5307,5797,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.977893122501264,46.501335598211234]}"
69,6890,158,138,7308,7700,7968,7825,7349,6903,6808,6381,6576,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976365986518261,46.498730483887286]}"
70,6970,200,189,7768,8120,8368,8442,8042,7486,7295,6889,6699,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976545649575085,46.501155935154415]}"
71,6665,192,169,6620,6880,6964,7671,7172,6708,5707,6001,6248,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.975557502762554,46.50187458738171]}"
72,7189,164,165,7632,7880,8032,7751,7342,6733,6676,6246,6727,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.973581209137491,46.50142542973965]}"
73,6819,199,193,7612,7972,8120,8050,7595,7189,6969,6509,6429,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.973671040665902,46.49962879917141]}"
74,7008,173,169,7640,8104,8328,8386,7946,7429,7320,6795,6706,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.976635481103497,46.49998812528506]}"
75,6691,395,362,6328,6576,6964,7721,7264,7343,6175,6871,6271,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.994961112899535,46.47708108554001]}"
76,9480,279,254,10096,9864,9928,9547,9325,8627,8161,8298,7576,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.990200041893702,46.47393698204559]}"
77,6550,455,425,7672,7280,7284,7379,7219,6943,6457,6441,5410,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.994871281371124,46.47330816134671]}"
78,6459,429,387,8008,7936,7972,7264,6930,6876,6932,6109,5830,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.991457683291469,46.474206476630826]}"
79,7967,186,164,6504,6460,6608,6892,6799,6255,5332,5648,6357,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.967921822847537,46.47223018300576]}"
