"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,5522,488,383,6880,7140,7316,6612,6196,6129,6372,5729,5354,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696720438571854,46.06178992969156]}"
26,5087,279,238,7740,8188,8400,8889,8342,7718,7176,6991,5877,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.694833976475203,46.06574251694168]}"
27,5752,339,303,5636,5976,6192,6099,5768,5531,5664,5313,5378,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696271280929794,46.06250858191885]}"
28,6171,620,498,7256,7340,7496,8015,7742,7216,6584,6695,5435,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.69743909079915,46.05936447842443]}"
29,5522,488,383,6568,6704,6916,6612,6196,6129,6100,5729,5354,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696720438571854,46.06170009816314]}"
30,6646,270,222,6424,6800,6908,7159,6721,6488,6248,5944,5566,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.697798416912797,46.06017296218014]}"
31,6638,236,216,8080,8440,8504,8261,7757,7189,7196,6630,6349,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.69698993315709,46.061969592748376]}"
32,5327,977,767,5856,5944,6416,6779,6908,6146,5472,5927,5254,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.694474650361555,46.06448487554391]}"
33,5752,258,229,7408,7744,7796,7373,6806,6462,6564,6048,5378,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696450943986618,46.062688244975675]}"
34,5988,209,164,7872,8264,8376,8591,8014,7314,6984,6757,6240,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696181449401382,46.06475437012915]}"
35,7361,284,235,8028,8084,8280,8395,7696,7327,7272,6972,5919,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.698876395253741,46.059094983839195]}"
36,7332,171,139,8504,9016,9072,9145,8492,7849,7548,7107,6960,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696181449401382,46.06691032681103]}"
37,6846,173,142,8512,8976,9024,9108,8491,7805,7572,7137,6748,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696361112458206,46.06655100069739]}"
38,6671,295,233,7868,8256,8336,8369,7936,7398,7124,6819,6470,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.695911954816147,46.06340689720297]}"
39,5327,453,340,6484,6748,6964,6627,6659,5972,5860,5532,5254,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.694654313418379,46.06484420165756]}"
40,4137,631,578,6424,6708,6744,6353,6215,5761,5884,5455,4725,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.6947441449467915,46.064125549430265]}"
41,6784,192,171,8424,8944,8968,9060,8475,7800,7452,7131,6472,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696271280929794,46.0659221799985]}"
42,6671,283,234,8552,9080,9120,8678,8301,7684,7796,7083,6470,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.695822123287734,46.063137402617734]}"
43,6988,190,175,7636,7804,8080,8350,7839,7304,6788,6586,6394,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696900101628678,46.06277807650409]}"
44,5087,468,376,7640,8092,8116,7889,7065,6828,6876,6326,5877,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.694205155776319,46.066012011526915]}"
45,5543,286,241,7480,7872,7884,7906,7283,6773,6632,6285,5754,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.695013639532027,46.0666408322258]}"
46,6638,279,217,8840,9152,9264,8383,8213,7516,7784,6909,6349,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.696900101628678,46.06232891886202]}"
47,7361,482,362,6880,7088,7228,6698,6438,6302,6372,5910,5919,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.6985170691400935,46.05882548925396]}"
48,5327,977,767,8024,8400,8512,6779,6908,6146,7316,5927,5254,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.694384818833143,46.064574707072325]}"
