"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
21,5340,961,875,7848,8200,8440,7791,7512,7507,8112,7507,6791,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.412067196443635,47.0730234450249]}"
22,4536,801,718,8488,8784,9264,8882,9228,8835,8760,8019,6252,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.411348544216338,47.07320310808172]}"
23,4536,801,718,8704,8968,9256,8882,9228,8835,8921,8019,6252,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.411438375744751,47.07320310808172]}"
24,5078,416,388,7124,7520,7788,7163,7051,6912,7236,6350,5720,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.4095519136481,47.07446074947949]}"
25,5340,961,875,7848,8200,8440,7791,7512,7507,8112,7507,6791,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.411977364915222,47.0730234450249]}"
26,5260,774,715,7808,8208,8504,8433,8443,7982,8199,7690,6890,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.412606185614106,47.0730234450249]}"
27,3339,856,741,5768,5916,6412,5952,6188,6069,6400,5590,4584,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.409012924477627,47.07410142336584]}"
28,5260,582,601,7472,7884,8136,8235,7929,7533,7824,7327,6890,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.412696017142517,47.07311327655331]}"
29,5664,577,539,6268,6608,6960,7245,6824,6627,6566,6450,6467,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.412606185614106,47.073831928780606]}"
30,3961,913,809,7428,7832,8116,6994,6720,6953,7760,6660,5592,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.4095519136481,47.07365226572378]}"
31,5664,920,817,4904,5176,5548,6007,5957,5870,5244,5723,6467,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.412606185614106,47.07365226572378]}"
32,5664,526,495,6720,7084,7368,7153,6848,6575,6833,6301,6467,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.412875680199342,47.073831928780606]}"
33,5260,682,602,6652,7000,7328,8376,7456,7221,7165,7360,6890,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.413055343256167,47.07293361349649]}"
34,3339,856,741,5768,5916,6412,5952,6188,6069,6400,5590,4584,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.40910275600604,47.07410142336584]}"
35,5664,920,817,4904,5176,5548,6007,5957,5870,5244,5723,6467,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.412516354085694,47.07365226572378]}"
