system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7906,164,161,7624,7948,8416,8651,8174,7414,7221,6821,7369,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.445102327489976,60.5077776766744]}"
1,7725,173,154,7788,8144,8528,8907,8324,7717,7347,7024,6987,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.444922664433152,60.507867508202814]}"
2,8368,179,182,8536,8656,8840,9110,8526,7772,7464,7118,6805,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.459744866621124,60.56643766472741]}"
3,7906,193,183,8304,8576,9096,9532,8916,8203,7848,7543,7369,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.445192159018388,60.50804717125964]}"
4,6645,178,165,8148,8156,8320,7338,6766,6466,6920,5558,5223,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.470075492388498,60.56859362140929]}"
5,7906,180,175,8092,8424,8824,9181,8657,7960,7612,7247,7369,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.445371822075212,60.507867508202814]}"
6,7804,208,191,8004,7948,8280,8389,7952,7104,6959,6519,6404,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.470614481558971,60.56850378988088]}"
7,7815,167,147,7728,7744,7828,8044,7467,6716,6345,6110,6185,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.4689975140475555,60.56607833861376]}"
8,7184,157,164,7504,7472,7660,7906,7319,6643,6364,6113,6042,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.469626334746439,60.566527496255816]}"
9,6484,430,546,8656,9080,9640,9317,9025,7865,8248,7511,6602,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.385813518738088,60.5799123939892]}"
10,7706,210,218,7440,7632,8068,8344,7874,7219,7016,6614,6632,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.414200281716265,60.577486942722075]}"
11,6645,206,188,8156,8068,8280,8772,8124,7413,6963,6923,5223,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.470165323916911,60.56850378988088]}"
12,7716,168,161,7596,7508,7672,7870,7282,6630,6292,6021,5961,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.469177177104379,60.56625800167058]}"
13,7864,204,226,7832,8036,8140,8348,7873,7182,6841,6608,6679,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.414469776301501,60.577486942722075]}"
14,7317,154,144,7460,7764,8052,8364,7838,7151,6903,6611,6565,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.444743001376328,60.50759801361758]}"
15,7906,164,161,7624,7948,8416,8651,8174,7414,7221,6821,7369,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.4450124959615644,60.5077776766744]}"
16,7815,167,147,7728,7744,7828,8044,7467,6716,6345,6110,6185,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.469087345575967,60.56607833861376]}"
17,7725,160,148,7420,7804,8156,8511,7990,7323,7032,6734,6987,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.444922664433152,60.50768784514599]}"
