"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,7542,191,175,7208,7616,7744,8027,7603,7033,6755,6432,6623,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.668706724552878,46.879256838240316]}"
26,6957,194,177,7360,7684,7896,7963,7545,6887,6644,6259,6234,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.673916953200772,46.88240094173474]}"
27,6750,285,234,7680,7984,8144,7663,7475,6793,6939,6285,6064,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.67059318664953,46.878538186013024]}"
28,7542,194,173,7104,7524,7596,7850,7475,6890,6622,6304,6623,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.668527061496055,46.87943650129714]}"
29,7018,199,187,7588,8024,8092,8224,7767,7216,7037,6678,6485,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.66825756691082,46.879256838240316]}"
30,6943,174,160,7128,7492,7612,7757,7282,6691,6512,6150,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674366110842833,46.88249077326315]}"
31,6943,183,174,7108,7504,7636,7828,7391,6769,6497,6196,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674366110842833,46.88240094173474]}"
32,6943,193,185,7232,7628,7724,7916,7392,6810,6597,6226,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674186447786008,46.88240094173474]}"
33,6973,166,192,7228,7504,7724,7852,7357,6840,6753,6411,6384,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.671132175820002,46.87844835448461]}"
34,6957,182,163,6960,7316,7460,7729,7289,6696,6457,6178,6234,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.673916953200772,46.88258060479156]}"
35,6943,190,158,7052,7440,7588,7718,7212,6655,6497,6151,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674186447786008,46.88258060479156]}"
36,7542,204,181,7332,7784,7828,7910,7485,6920,6757,6348,6623,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.668796556081292,46.87934666976873]}"
37,6943,190,158,7228,7564,7728,7718,7212,6655,6529,6151,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674186447786008,46.88249077326315]}"
38,6943,197,165,6964,7328,7412,7716,7280,6693,6459,6154,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674545773899656,46.88240094173474]}"
39,6943,197,170,6948,7344,7436,7639,7141,6613,6437,6090,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674545773899656,46.88249077326315]}"
40,6943,174,160,7160,7540,7584,7757,7282,6691,6541,6150,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674366110842833,46.88258060479156]}"
41,7542,194,173,7372,7724,7824,7850,7475,6890,6743,6304,6623,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.66834739843923,46.87934666976873]}"
42,6973,209,204,7132,7544,7704,7781,7418,6818,6684,6226,6384,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.671222007348414,46.87844835448461]}"
43,6973,192,185,7328,7740,7848,8043,7484,7049,6813,6380,6384,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.670683018177941,46.8783585229562]}"
44,7542,191,188,7524,7936,8008,8077,7570,7036,6976,6525,6623,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.668437229967644,46.8791670067119]}"
45,6943,190,158,7232,7436,7592,7718,7212,6655,6497,6151,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674006784729183,46.88249077326315]}"
46,6943,183,174,7300,7596,7736,7828,7391,6769,6588,6196,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.67427627931442,46.88240094173474]}"
47,6943,190,158,7052,7440,7588,7718,7212,6655,6497,6151,6205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.674096616257597,46.88258060479156]}"
48,6750,328,297,7596,7716,7972,7450,6836,6329,6645,5998,6064,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.67059318664953,46.8783585229562]}"
49,6973,198,181,7236,7636,7852,8265,7705,7202,6872,6596,6384,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.670862681234766,46.878538186013024]}"
