system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,4580,253,216,6264,6568,6632,6572,6217,5861,5879,5424,4911,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793676103419457,65.34484615554437]}"
1,4580,212,167,6368,6704,6812,7031,6697,6366,6025,5826,4911,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.794125261061518,65.34484615554437]}"
2,6111,178,124,6260,6568,6660,6888,6510,6170,5812,5685,5713,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793855766476282,65.34700211222626]}"
3,4580,395,294,5924,6136,6304,5667,5296,5047,5444,4722,4911,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793855766476282,65.34466649248755]}"
4,4580,204,161,6420,6620,6632,7038,6655,6323,5952,5806,4911,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793945598004694,65.34475632401596]}"
5,4580,180,170,6456,6728,6840,7321,7002,6459,5848,5866,4911,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.79376593494787,65.3450258186012]}"
6,4580,212,167,6368,6704,6812,7031,6697,6366,6025,5826,4911,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.79421509258993,65.34484615554437]}"
7,6990,180,150,7328,7752,7832,8052,7634,7120,6696,6486,6663,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793496440362635,65.3458343023569]}"
8,6111,152,145,6408,6748,6772,6980,6569,6191,5811,5686,5713,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793676103419457,65.34700211222626]}"
9,4580,180,170,6544,6784,6916,7321,7002,6459,5884,5866,4911,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793496440362635,65.34511565012961]}"
10,5844,192,102,6732,7088,7144,7474,7060,6624,6174,6093,5853,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.794933744817225,65.34457666095915]}"
11,5844,209,113,6208,6476,6656,6806,6384,6035,5781,5721,5853,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.794664250231989,65.34448682943074]}"
12,6410,170,140,7344,7660,7744,7779,7342,6989,6753,6376,6392,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.795023576345638,65.3464631230558]}"
13,6990,162,133,7164,7420,7500,7671,7181,6738,6356,6137,6663,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.79331677730581,65.3458343023569]}"
14,6111,159,145,6928,7212,7216,7453,6949,6508,6164,5934,5713,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.79376593494787,65.34682244916944]}"
15,6192,164,139,7252,7476,7604,7923,7416,6931,6464,6345,6111,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.794843913288814,65.3450258186012]}"
16,5958,175,120,6136,6468,6652,7000,6607,6221,5751,5748,6075,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.79421509258993,65.34700211222626]}"
17,5723,173,158,6896,7196,7340,7540,7084,6682,6328,6190,5877,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793586271891046,65.34565463930008]}"
18,6111,152,145,6408,6748,6772,6980,6569,6191,5811,5686,5713,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.79376593494787,65.34700211222626]}"
19,5844,192,102,6908,7176,7204,7474,7060,6624,6076,6093,5853,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.794843913288814,65.34448682943074]}"
20,6410,169,127,6392,6764,7040,7376,6974,6545,6195,5987,6392,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.794484587175166,65.34664278611261]}"
21,5844,192,102,7096,7360,7372,7474,7060,6624,6241,6093,5853,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.795023576345638,65.34457666095915]}"
22,6111,159,145,7148,7416,7420,7453,6949,6508,6277,5934,5713,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793496440362635,65.34682244916944]}"
23,6111,174,103,6328,6668,6768,7202,6844,6446,5856,5818,5713,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.793945598004694,65.34691228069785]}"
24,6192,158,102,6664,7016,7196,7656,7180,6701,6148,6098,6111,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.795203239402461,65.34475632401596]}"
25,6691,157,125,7516,7836,7936,8213,7709,7196,6769,6583,6538,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.819278089016864,65.34825975362403]}"
26,6782,154,122,7552,7936,8000,8379,7819,7329,6879,6693,6636,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.816133985522447,65.34709194375468]}"
27,6768,159,132,7432,7884,7928,8362,7752,7260,6844,6636,6620,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.81811027914751,65.34781059598197]}"
28,6921,166,133,7504,7940,8028,8462,7944,7474,6965,6760,6767,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.816852637749742,65.34619362847056]}"
29,6778,160,125,7372,7788,7916,8294,7722,7239,6763,6624,6565,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.813349208141675,65.34825975362403]}"
30,6705,151,130,7320,7728,7880,8273,7720,7207,6676,6595,6553,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.817571289977037,65.34816992209562]}"
31,6692,156,129,7280,7700,7892,8282,7701,7226,6707,6581,6542,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.816672974692919,65.34808009056721]}"
32,6847,151,123,7408,7812,7948,8321,7754,7281,6788,6617,6622,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.811911903687085,65.34790042751038]}"
33,6762,154,131,7516,7900,8008,8329,7771,7278,6797,6586,6598,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.816403480107683,65.34754110139674]}"
34,6777,160,133,7448,7876,7928,8298,7757,7269,6908,6654,6619,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.819817078187336,65.34754110139674]}"
35,6866,157,132,7696,8040,8076,8418,7853,7396,6968,6823,6731,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.815325501766738,65.34655295458421]}"
36,6692,155,132,7196,7608,7784,8189,7665,7181,6688,6469,6542,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.81631364857927,65.34843941668086]}"
37,6692,156,129,7476,7856,7968,8282,7701,7226,6833,6581,6542,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.81676280622133,65.34816992209562]}"
38,6757,148,131,7560,7856,7904,8244,7688,7177,6687,6547,6538,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.814696681067856,65.34843941668086]}"
39,6782,159,128,7352,7792,7912,8299,7791,7255,6836,6669,6636,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.817032300806567,65.34709194375468]}"
40,6872,161,132,7460,7896,7940,8376,7810,7327,6857,6644,6655,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.814606849539443,65.34745126986833]}"
