system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5663,210,195,6056,6292,6480,6671,6368,6085,5792,5612,5612,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.88235354480761,64.55289140106461]}"
1,6158,237,241,6468,6712,6992,7166,6885,6501,6256,6009,6146,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.96158495286695,64.54049465014376]}"
2,6403,263,257,6888,6876,6896,7330,6884,6648,6388,6167,6118,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.960237479940773,64.5325894756435]}"
3,5920,213,226,6284,6420,6636,6939,6604,6280,6040,5733,5859,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.973891872259387,64.53465560079698]}"
4,6521,234,235,6884,7052,7284,7365,7072,6652,6436,6209,6264,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.95466792517923,64.52189952376249]}"
5,6105,207,204,6416,6600,6752,7070,6779,6420,6136,5961,6010,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.940115217576494,64.51848592568282]}"
6,6740,331,318,6920,7104,7352,7606,7366,7127,6800,6685,6624,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.006860043186574,64.543818416695]}"
7,5977,238,228,6068,6364,6484,6842,6607,6314,5928,5877,5925,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.955925566576997,64.53995566097329]}"
8,6583,303,285,6636,6768,7032,7306,7016,6757,6540,6340,6443,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.99248699864066,64.54723201477465]}"
9,5971,229,224,6224,6380,6572,6841,6548,6206,5948,5853,5879,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.940115217576494,64.53833869346187]}"
10,5513,213,198,6144,6264,6452,6413,6159,5837,5804,5508,5521,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.932210043076243,64.55172359119526]}"
11,6292,258,250,6900,6856,7320,7161,6947,6611,6696,6222,6150,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.955925566576997,64.55316089564984]}"
12,5754,212,199,6128,6432,6696,6576,6253,5868,5916,5439,5708,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.853068466545313,64.5519930857805]}"
13,6521,252,264,6564,6708,6964,7386,6995,6622,6168,6132,6218,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.960686637582832,64.53088267660368]}"
14,6347,251,244,6396,6460,6820,7055,6802,6401,6244,5879,6267,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.9476610659631,64.54714218324624]}"
15,6793,305,292,6836,7012,7072,7424,7175,6862,6720,6359,6657,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.01224993489129,64.54256077529723]}"
16,5817,217,225,6432,6532,6656,6829,6496,6184,6064,5734,5718,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.906338562893602,64.53968616638805]}"
17,5890,220,226,6592,6708,6972,6941,6645,6236,6376,5758,5897,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.933557516002423,64.53770987276299]}"
18,5279,154,153,5648,5976,6220,6493,6228,5883,5596,5416,5375,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.86860932096058,64.5400454925017]}"
19,6494,257,254,7188,7296,7404,7399,7068,6731,6752,6267,6268,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.955296745878115,64.52854705686497]}"
20,5961,170,180,6640,6916,6996,7093,6751,6419,6356,5853,5902,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.908853845689134,64.51013159354052]}"
21,5872,211,199,6264,6576,6764,6848,6505,6245,6016,5667,5742,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.905979236779952,64.5333081278708]}"
22,6426,271,268,6928,7144,7272,7250,6940,6605,6540,6111,6199,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.963291751906777,64.53303863328557]}"
23,5979,236,233,6284,6564,6796,6873,6548,6273,6188,5709,5879,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.938677913121904,64.53726071512092]}"
24,6456,264,271,7360,7384,7404,7293,7106,6755,6808,6280,6299,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.9822462044017,64.53016402437639]}"
