system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8054,661,701,8456,8536,8776,9052,8879,8627,8592,8390,8562,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.642413532419283,64.01138694779736]}"
1,7631,668,692,8068,8056,8400,8719,8408,8254,8124,7915,7990,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.65031870691954,63.996924071723036]}"
2,7783,651,699,8168,8216,8504,8748,8488,8347,8360,8009,8319,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.62983711844161,64.00455975163806]}"
3,8129,658,684,8568,8616,8944,9166,8950,8682,8736,8332,8636,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.650767864561598,64.00671570831994]}"
4,7445,626,668,7956,8004,8232,8507,8236,8014,7960,7745,7822,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.653732304999192,63.99899019687651]}"
5,7843,628,660,8256,8328,8640,9009,8772,8494,8472,8225,8347,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.651127190675243,63.99099519084785]}"
6,7884,575,606,8280,8352,8608,9043,8762,8424,8280,8074,8192,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.63891010281122,63.994049462813855]}"
7,8082,612,633,8512,8600,9000,9249,9010,8685,8552,8246,8391,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.66478158299386,64.00896149653023]}"
8,7915,649,682,8208,8224,8496,8819,8679,8461,8352,8198,8390,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.644120331459114,64.01030896945642]}"
9,7930,668,704,8312,8264,8592,8845,8647,8325,8352,8071,8343,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.62884897162908,64.00078682744476]}"
10,8214,648,698,8672,8768,9008,9355,9109,8817,8768,8492,8608,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.654900114868546,64.01066829557007]}"
11,7589,582,630,7972,8032,8272,8633,8430,8243,8080,7928,7979,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.666398550505278,63.994229125870675]}"
12,7987,625,657,8376,8472,8728,9091,8811,8558,8432,8212,8294,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.659481522817554,64.00788351818929]}"
13,7934,629,641,8312,8328,8728,9010,8776,8487,8384,8141,8333,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.638640608225984,63.99683424019462]}"
14,7638,675,706,7764,7836,8060,8493,8335,8038,7960,7800,8014,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.62516587896419,64.00159531120046]}"
15,7726,591,620,8240,8304,8536,8770,8561,8256,8328,7980,8145,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.670979958454286,63.99791221853557]}"
16,7891,605,643,8352,8456,8712,8824,8706,8375,8440,8002,8270,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.63891010281122,63.99755289242192]}"
17,7654,586,644,7920,8004,8344,8630,8422,8168,8092,7833,8036,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.66747652884622,63.996924071723036]}"
18,7750,646,687,8096,8224,8472,8821,8629,8333,8192,8088,8194,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.655259440982196,63.99629525102415]}"
19,7880,620,651,8424,8424,8824,9011,8757,8544,8480,8075,8270,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.635945662373626,63.997373229365095]}"
20,7689,626,681,8160,8280,8544,8805,8582,8328,8328,8036,8144,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.6583137129482,63.994229125870675]}"
21,7943,664,705,8392,8424,8728,9097,8860,8653,8600,8342,8428,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.64358134228864,64.00366143635394]}"
22,7645,685,722,8116,8208,8392,8566,8364,8162,8328,7827,8031,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.6275014987029,64.00231396342775]}"
23,7999,675,705,8512,8544,8880,9135,8901,8707,8696,8379,8487,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.64304235311817,64.00312244718346]}"
24,7645,689,724,8052,8168,8360,8606,8414,8194,8156,7876,8031,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.627770993288138,64.00231396342775]}"
25,5829,187,163,6172,6532,6704,6601,6401,5802,5848,5315,4829,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.72865179969476,64.02710746526945]}"
26,7454,312,270,7684,7632,8264,8517,8548,7875,7060,7018,7400,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.72505853855828,64.02405319330344]}"
27,5484,304,292,5960,6248,6432,5978,5644,5207,5552,5026,5042,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.724250054802575,64.0274667913831]}"
28,7558,407,390,8304,7956,8008,8075,7645,7080,7352,6547,6898,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.709607515671426,64.02549049775804]}"
29,6361,416,416,7260,6416,7236,6544,6223,5699,6080,6464,5956,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.70745155898954,64.02189723662156]}"
30,8894,459,443,9448,9120,9432,8546,8072,7724,8680,7248,7587,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.714638081262496,64.02315487801933]}"
31,6533,449,484,8584,8640,8800,8986,8540,8038,7760,7495,6386,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.711853303881725,64.02252605732045]}"
32,7331,541,559,7944,8136,8416,8989,8506,8184,7696,7564,7317,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.712482124580607,64.02926342195134]}"
33,5472,365,349,6368,6564,6768,5894,5853,4862,6232,5236,4959,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.70430745549512,64.0281854436104]}"
34,8323,583,599,8624,8832,9088,9149,8856,8299,8296,8006,8127,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.711943135410134,64.02782611749674]}"
35,6369,509,525,6904,6968,7184,7472,7228,6901,6732,6605,6620,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.707271895932713,64.02944308500817]}"
36,6803,356,354,6836,7116,7260,7419,6905,6678,6488,6214,6720,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.723711065632102,64.02890409583769]}"
37,4957,146,119,5748,5880,5928,5498,5010,4553,4680,4254,4474,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.73008910414935,64.0252210031728]}"
38,5356,265,237,5888,5816,5864,5727,5414,5001,4996,4766,4593,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.721195782836567,64.02620914998533]}"
39,7228,409,402,8008,7464,8116,7826,7585,6879,7520,6443,6566,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.712482124580607,64.02647864457057]}"
40,7043,466,480,6460,6576,6588,7117,6878,6569,6280,6152,7094,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.70888886344413,64.02773628596833]}"
41,6774,447,453,8120,8416,8800,8065,7700,7450,7412,6608,6630,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.704936276194005,64.02755662291152]}"
42,7448,445,410,8776,8888,9840,10107,9899,9309,9032,8681,8039,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.722004266592275,64.02414302483186]}"
43,6767,477,478,6860,6808,6840,7274,7083,6745,6436,6528,6414,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.715716059603437,64.02531083470122]}"
44,6194,199,172,6456,6196,7044,6847,6468,5931,5620,5670,6115,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.729190788865232,64.02414302483186]}"
45,6263,418,440,6568,6532,6820,6678,6291,6059,6176,5648,6114,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.706193917591772,64.02827527513881]}"
