system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6427,181,169,6796,7000,7036,7287,6854,6432,6040,5848,5886,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.180589644853438,64.3303787051882]}"
1,6221,168,145,6668,6880,6976,7266,6778,6373,5980,5811,5840,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.185620210444508,64.32328201444366]}"
2,6444,211,181,6916,7176,7184,7457,6928,6575,6248,5973,6039,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.140345120124884,64.3176226281537]}"
3,6209,178,149,6612,6756,6828,7149,6746,6302,5956,5818,5813,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.16540811655182,64.31699380745482]}"
4,6185,177,148,6620,6788,6888,7184,6714,6332,5980,5790,5810,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.166575926421174,64.31358020937516]}"
5,6729,191,163,7296,7508,7540,7763,7239,6837,6464,6214,6182,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.19613049926871,64.34295511916588]}"
6,6184,190,163,6660,6816,6880,7164,6695,6353,5976,5780,5790,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.15714361593792,64.316814144398]}"
7,6603,179,151,7116,7364,7412,7704,7164,6739,6344,6173,6151,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.201610222501834,64.34169747776811]}"
8,5880,166,136,6444,6632,6840,7001,6597,6262,5932,5722,5724,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.15256220798891,64.33226516728486]}"
9,6445,207,150,6820,6860,6976,7332,6836,6474,6100,5968,5921,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.15202321881844,64.31780229121053]}"
10,6477,157,133,6860,7064,7128,7497,7015,6562,6168,5979,6026,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.209784891587322,64.33424146090992]}"
11,6092,160,136,6496,6800,6908,7264,6806,6453,6084,5943,5872,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.154987659256033,64.33298381951215]}"
12,6255,163,146,6652,6792,6860,7177,6743,6351,5988,5824,5840,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.187327009484335,64.32355150902889]}"
13,6653,203,183,7084,7304,7432,7700,7228,6831,6444,6243,6240,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.123277129726613,64.3221142045743]}"
14,6402,149,130,6792,6960,7228,7608,7049,6656,6128,6023,6038,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.21463579412157,64.33648724912021]}"
15,6414,164,134,6876,7052,7132,7359,6849,6444,6124,5879,5901,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.196489825382354,64.33585842842133]}"
16,6372,146,134,6724,6944,7056,7367,6922,6471,6100,5931,5935,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.202059380143897,64.33792455357481]}"
17,6411,174,148,6944,7040,7208,7414,6942,6503,6164,5949,5925,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.16549794808023,64.32849224309155]}"
18,6297,158,139,6768,7020,7104,7327,6855,6464,6092,5921,5870,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.195501678569823,64.32867190614837]}"
19,6636,171,145,7040,7216,7372,7608,7079,6655,6208,6067,6069,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.197747466780122,64.34151781471128]}"
20,6633,204,183,6984,7152,7308,7543,7103,6710,6300,6186,6190,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.132799271738282,64.32462948736983]}"
21,6133,160,138,6532,6680,6732,7033,6566,6250,5928,5717,5702,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.178433688171552,64.31169374727851]}"
22,6316,163,134,6828,7064,7124,7370,6837,6450,6048,5837,5860,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.197837298308535,64.32974988448932]}"
23,6516,155,144,7100,7368,7412,7714,7193,6803,6400,6149,6133,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.212120511326034,64.33172617811438]}"
24,6615,165,140,6856,6992,7076,7425,6940,6592,6188,6011,6035,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.147711305454663,64.3363974175918]}"
