system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7454,144,131,7684,7968,8048,8275,7729,7117,6876,6527,6648,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.392790012089876,64.58550024587815]}"
1,7193,135,123,7364,7720,7724,7953,7443,6828,6572,6274,6351,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.399527376720773,64.58253580544056]}"
2,7496,161,142,7912,8216,8264,8532,7997,7446,7232,6902,6966,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.406534235936903,64.59610036623076]}"
3,7366,153,134,7640,7824,7920,8220,7695,7123,6948,6617,6651,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.39800024073777,64.59124946369651]}"
4,7326,156,132,7672,8008,8128,8364,7860,7288,7064,6728,6819,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.419559807556638,64.58981215924192]}"
5,7491,154,126,7720,8028,8148,8459,7885,7340,7116,6831,6868,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.405815583709607,64.59439356719093]}"
6,7354,145,129,7636,8000,8012,8278,7679,7077,6884,6524,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.430878580136543,64.58576974046338]}"
7,7311,151,131,7552,7768,7812,8064,7540,6997,6728,6464,6541,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.384076353833915,64.58496125670767]}"
8,7226,144,128,7568,7836,7896,8132,7598,6969,6740,6443,6451,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.40994783401656,64.58082900640072]}"
9,7172,143,129,7412,7704,7748,8037,7496,6820,6496,6281,6373,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.42279374257947,64.5807391748723]}"
10,7523,149,132,7824,8112,8140,8387,7855,7216,6996,6633,6725,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.400246028948068,64.5859494035202]}"
11,7326,152,137,7616,7916,8028,8342,7753,7193,6884,6611,6690,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.41515806266445,64.58855451784416]}"
12,7288,148,129,7560,7824,7912,8190,7639,7028,6772,6485,6534,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.400246028948068,64.57858321819043]}"
13,7379,142,125,7652,7980,8016,8310,7723,7130,6860,6548,6590,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.42432087856247,64.58684771880432]}"
14,7440,142,137,7716,7984,8052,8285,7741,7157,6920,6608,6631,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.42432087856247,64.59071047452603]}"
15,7302,169,135,7608,7988,8096,8386,7861,7280,7088,6735,6799,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.4215361011817,64.59071047452603]}"
16,7285,145,125,7520,7784,7796,8088,7536,6932,6680,6376,6463,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.397461251567297,64.58163749015644]}"
17,7435,160,134,7760,8036,8116,8440,7897,7284,7060,6740,6794,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.392700180561462,64.59151895828175]}"
18,7293,166,140,7744,8080,8200,8424,7905,7340,7160,6806,6836,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.38290854396456,64.58954266465669]}"
19,7258,154,136,7564,7948,8056,8382,7836,7243,7036,6780,6796,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.382279723265675,64.58855451784416]}"
20,7623,146,128,7936,8168,8216,8499,7912,7266,7104,6644,6714,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.40312063785725,64.58882401242938]}"
21,7319,151,132,7628,7900,7992,8238,7690,7126,6932,6594,6630,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.382189891737266,64.58559007740656]}"
22,7288,149,130,7608,7912,7940,8220,7675,7022,6812,6518,6534,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.40006636589124,64.5784035551336]}"
23,7601,163,133,7828,8124,8188,8515,7918,7344,7160,6777,6828,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.41605637794857,64.59538171400347]}"
24,7522,145,121,7740,8072,8100,8425,7873,7258,6952,6668,6730,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.403390132442485,64.58621889810544]}"
