system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7630,177,169,8056,8512,8688,9017,8406,7807,7580,7253,7301,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.141980384763706,64.57543911469601]}"
1,6738,126,124,6968,7296,7368,7604,7084,6487,6308,6038,6056,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.51242731080719,64.16697515500687]}"
2,7654,173,170,8076,8440,8624,8944,8370,7780,7568,7216,7315,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.13766847139993,64.5761577669233]}"
3,7667,172,158,8052,8440,8592,8920,8331,7749,7528,7250,7326,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.139824428081816,64.57624759845172]}"
4,7361,164,157,7752,8136,8264,8552,7997,7414,7128,6875,6948,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.118624187376597,64.58792569714527]}"
5,8105,136,133,8104,8416,8536,8521,7953,7397,7296,6779,7028,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.612948791100166,64.18583977597338]}"
6,7743,204,187,8104,8552,8672,9029,8488,7863,7604,7349,7425,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.155904271667556,64.576966250679]}"
7,6980,146,128,7472,7880,7900,8079,7570,6944,6788,6373,6411,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.512247647750367,64.17577864479124]}"
8,7205,165,151,7456,7860,8028,8316,7820,7223,6984,6724,6803,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.10496979505798,64.58639856116227]}"
9,7595,287,223,7964,8408,8552,8781,8198,7598,7368,7019,7161,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.1366803245874,64.58612906657703]}"
10,7537,152,137,7764,8224,8288,8532,7942,7256,7080,6649,6693,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.51242731080719,64.17838375911518]}"
11,7711,882,891,8024,8464,8632,8898,8389,7807,7528,7291,7424,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.162551804770043,64.58002052264501]}"
12,7568,269,243,7856,8304,8408,8729,8168,7588,7348,7056,7157,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.127158182575734,64.57957136500296]}"
13,7710,176,164,8000,8488,8688,9031,8470,7872,7584,7310,7392,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.16066534267339,64.57516962011077]}"
14,7475,175,158,7884,8280,8376,8704,8113,7541,7212,6968,7046,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.130841275240623,64.58702738186115]}"
15,7555,165,158,8000,8376,8552,8726,8216,7608,7408,7062,7132,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.124732731308608,64.58729687644639]}"
16,7315,160,149,7652,8072,8264,8539,7964,7368,7152,6836,6987,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.10371215366021,64.58020018570184]}"
17,7824,203,192,8200,8664,8880,9203,8618,8001,7748,7459,7503,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.16803152800317,64.57642726150854]}"
18,7434,189,155,7728,8112,8248,8555,7984,7451,7116,6881,6975,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.117546209035655,64.58469176212243]}"
19,6606,133,132,6796,7164,7340,7599,7049,6462,6352,6005,6141,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.51431377290384,64.17164639448428]}"
20,7393,179,169,7744,8156,8312,8551,8038,7472,7248,6958,7018,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.118983513490246,64.5768764191506]}"
21,7552,513,372,7928,8272,8448,8728,8214,7609,7368,7066,7155,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.13173959052474,64.58199681627008]}"
22,7216,134,117,7392,7692,7744,7947,7392,6776,6656,6282,6362,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.5230274311598,64.17002942697287]}"
23,7671,622,631,8060,8472,8560,8862,8285,7769,7504,7142,7307,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.146202466599068,64.58352395225309]}"
24,7833,190,179,8216,8656,8832,9109,8546,7914,7700,7365,7453,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.164797592980342,64.57418147329824]}"
