system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6167,1143,1133,6700,7088,7288,7527,7170,6777,6484,6216,6331,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.480901018616446,64.50806546838704]}"
1,7925,1203,1197,8208,8400,8480,8803,8376,7936,7508,7291,7408,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.4595211148544,64.5317809918878]}"
2,8145,1157,1147,8392,8648,8672,8843,8248,7728,7396,7091,7157,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.7116736408249,64.31295138867628]}"
3,6789,1187,1174,7200,7528,7712,8017,7579,7242,6976,6681,6785,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.428259742967043,64.51246721327922]}"
4,6596,1157,1150,7248,7520,7732,7886,7477,7100,6912,6583,6637,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.526265940464484,64.516779126643]}"
5,6369,1151,1143,6936,7300,7460,7664,7273,6903,6716,6397,6447,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.508389466310504,64.51237738175082]}"
6,7865,1180,1156,8108,8520,8592,8896,8349,7795,7504,7232,7266,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.74068922450196,64.30235126832368]}"
7,7814,1203,1199,7988,8140,8408,8870,8373,7873,7480,7302,7342,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.497250356787422,64.53267930717192]}"
8,8098,1206,1198,8344,8520,8656,8957,8524,8022,7720,7410,7499,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.455029538433806,64.5340267800981]}"
9,7218,1184,1183,7596,7768,8120,8284,7947,7515,7196,6947,6995,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.449639646729086,64.52109104000678]}"
10,6851,1183,1164,7300,7660,7864,8131,7724,7362,7048,6761,6809,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.443081945155015,64.51561131677364]}"
11,7507,1189,1173,7792,8084,8296,8458,8024,7608,7396,7017,7258,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.532823642038554,64.52926570909226]}"
12,7466,1195,1189,7720,8040,8144,8478,8022,7638,7288,7071,7124,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.464641511973884,64.52342665974548]}"
13,7201,1182,1176,7904,8116,8264,8210,7838,7418,7312,6865,6994,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.492309622724765,64.52270800751819]}"
14,7638,1183,1193,8368,8664,8704,8848,8354,7889,7676,7276,7293,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.520965880288177,64.5309725081321]}"
15,8155,1158,1134,8392,8592,8600,8848,8281,7584,7292,7069,7105,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.715716059603437,64.31474801924452]}"
16,7190,1173,1172,7800,8044,8124,8316,7840,7509,7236,6917,6974,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.491860465082706,64.52180969223407]}"
17,7795,1205,1189,8552,8624,8752,8927,8397,7962,7756,7382,7327,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.509647107708272,64.5340267800981]}"
18,8094,1176,1152,8344,8648,8656,8918,8335,7745,7460,7160,7179,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.715177070432965,64.30828014919886]}"
19,6957,1187,1181,7488,7832,7988,8269,7912,7465,7208,6980,6868,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.442902282098192,64.516779126643]}"
20,7198,1196,1183,8012,8264,8408,8483,8133,7637,7444,7053,7025,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.463383870576116,64.52145036612042]}"
21,6588,1169,1159,7120,7476,7756,8031,7621,7236,7044,6726,6736,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.430685194234165,64.50429254419375]}"
22,7555,1187,1177,7840,8264,8352,8674,8224,7766,7420,7183,7260,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.534171114964735,64.52980469826274]}"
23,7457,1199,1190,7860,8072,8272,8443,8071,7572,7412,7065,7160,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.44092598847313,64.52324699668867]}"
24,6964,1176,1166,7288,7640,7844,8156,7748,7334,7012,6798,6850,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-17.497430019844245,64.51830626262601]}"
