system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9924,1198,1199,8840,8744,8816,9598,9238,8635,7308,7926,8080,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.814121097642573,61.750507040725346]}"
1,10097,1167,1158,8808,8672,8728,9129,8560,7769,6948,7200,7909,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.813402445415277,61.753651144219766]}"
2,8374,1202,1187,7152,6820,6836,7426,7073,6583,6148,6139,6757,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.8143905922278085,61.75005788308329]}"
3,6685,1563,1500,9704,9800,10088,9014,8607,7861,8208,7243,5949,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.815019412926692,61.7546392910323]}"
4,9050,1334,1294,9680,9576,9888,10797,10122,9216,7888,8461,7837,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.81537873904034,61.7553579432596]}"
5,10283,1185,1169,8928,8824,9744,9283,8775,8183,7248,7521,7831,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.813222782358453,61.75284266046406]}"
6,10097,1167,1158,8808,8672,8728,9129,8560,7769,6948,7200,7909,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.813312613886866,61.753651144219766]}"
7,9050,1334,1294,9896,9976,10256,10797,10122,9216,8232,8461,7837,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.81537873904034,61.755447774788]}"
8,8374,1188,1181,7792,8232,8368,8571,8143,7585,6996,7128,6757,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.813851603057337,61.750327377668526]}"
9,8374,1177,1187,6384,6560,6620,7046,6687,6302,5892,5894,6757,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.814031266114161,61.75005788308329]}"
10,10097,1174,1167,9432,9352,9544,9460,8853,8089,7552,7511,7909,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.813222782358453,61.753381649634534]}"
11,8738,1200,1193,9440,9320,9360,9389,8738,7976,7664,7347,6959,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.8143905922278085,61.753381649634534]}"
12,9215,1196,1182,8352,7944,8856,8909,8270,7601,6724,7087,7194,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.8143905922278085,61.752662997407235]}"
13,10283,1181,1174,8784,8696,8744,9517,8870,8228,7016,7692,7831,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.813132950830042,61.75302232352088]}"
14,10097,1174,1167,9072,9024,9088,9460,8853,8089,7300,7511,7909,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.813402445415277,61.753381649634534]}"
15,10283,1195,1187,8864,8840,9304,10298,9723,8985,7136,8315,7831,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.813043119301629,61.75284266046406]}"
16,10201,1197,1178,9752,9680,10096,9984,9377,8653,7900,8004,8371,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.814031266114161,61.75248333435041]}"
17,9215,1181,1171,9800,9792,9816,9611,8971,8274,7948,7600,7194,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.814031266114161,61.752662997407235]}"
18,10201,1197,1178,9752,9680,10096,9984,9377,8653,7900,8004,8371,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.814121097642573,61.75248333435041]}"
19,9924,1198,1199,9400,9224,9312,9598,9238,8635,7812,7926,8080,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.814031266114161,61.75059687225376]}"
20,9050,1334,1294,10368,10464,10808,10797,10122,9216,8896,8461,7837,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.8152889075119285,61.755447774788]}"
21,10097,1174,1167,9272,9144,9176,9460,8853,8089,7388,7511,7909,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.813402445415277,61.75347148116294]}"
22,8374,1188,1181,8360,8256,8296,8571,8143,7585,6948,7128,6757,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.814031266114161,61.75041720919694]}"
23,8738,1200,1193,8728,8680,8960,9389,8738,7976,7156,7347,6959,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.814570255284632,61.75347148116294]}"
24,9050,1334,1294,10368,10464,10808,10797,10122,9216,8896,8461,7837,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.815199075983516,61.755447774788]}"
