system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7737,255,249,8512,8816,8848,9059,8578,8231,7736,7580,5616,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.785923146284922,45.938181746596705]}"
1,7512,227,216,6552,6600,6668,7500,7121,7069,6378,6554,6737,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.778916287068791,45.9426733230173]}"
2,6404,179,186,7144,7204,7308,7377,6972,6556,6520,6285,5644,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.778826455540378,45.94168517620477]}"
3,8359,246,211,9248,9392,9480,9909,9372,8885,8496,8155,8081,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.7786467924835545,45.94006820869336]}"
4,7835,216,177,8036,8352,8400,8400,8134,7770,7416,7200,6854,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.7786467924835545,45.94285298607413]}"
5,8558,229,215,9416,9720,9816,9976,9456,8901,8704,8292,7930,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.779634939296086,45.94015804022177]}"
6,6242,136,160,5400,5224,5488,6318,5909,5641,4776,5150,5499,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.777119656500552,45.942044502318424]}"
7,8829,247,222,9584,9904,10080,10297,9790,9232,8998,8572,8441,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.778556960955142,45.93908006188083]}"
8,6484,237,200,7784,8104,8272,8453,8053,7684,7471,7065,6025,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.779994265409734,45.9433919752446]}"
9,5763,424,396,7792,7516,7580,6779,6465,6237,6976,5988,5333,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.785563820171275,45.94051736633542]}"
10,8200,322,264,9640,9928,9992,10074,9595,9147,8967,8482,6820,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.7786467924835545,45.93764275742623]}"
11,7404,222,206,7980,8156,8184,8166,7932,7575,7292,6997,6575,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.781251906807501,45.942044502318424]}"
12,8359,246,211,9624,9744,9880,9909,9372,8885,8824,8155,8081,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.7786467924835545,45.93997837716495]}"
13,8564,204,191,8800,9224,9336,9403,9062,8551,8084,8201,6453,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.783587526546212,45.93827157812512]}"
14,8979,224,201,8776,8816,8864,9041,8692,8391,7957,7685,6844,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.784306178773507,45.939439387994476]}"
15,7472,331,300,8728,8792,8824,8965,8681,8326,7967,7735,5944,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.78628247239857,45.93899023035242]}"
16,6404,179,186,7144,7204,7308,7377,6972,6556,6520,6285,5644,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.778916287068791,45.94168517620477]}"
17,8098,195,174,8120,8240,8384,8627,8427,7918,7607,7313,6905,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.781790895977973,45.94069702939224]}"
18,8312,192,188,7580,7720,7796,7697,7524,7186,6752,6826,5830,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.782329885148444,45.938002083539885]}"
19,8541,264,233,9400,9640,9680,9948,9406,8857,8662,8249,8133,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.778017971784671,45.93854107271036]}"
20,7189,232,236,9384,9376,9416,9498,9184,8676,8425,8037,6193,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.784934999472391,45.93979871410812]}"
21,8479,182,139,8224,8248,8272,8726,8346,7771,7347,7398,6271,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.782958705847328,45.94024787175018]}"
22,6970,236,224,7780,7684,7876,8066,7750,7330,7158,6763,6257,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.7790959501256145,45.94249365996048]}"
23,9435,296,261,7212,6844,7480,10268,9962,8585,6544,9700,7202,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.749810871863318,45.94644624721061]}"
24,8045,264,242,9752,9952,9984,10282,9707,9325,8928,8479,6437,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.7786467924835545,45.93710376825577]}"
