"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,7095,182,173,7480,7928,8024,8293,7696,7001,6700,6445,6484,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.458070087554256,66.82931216255189]}"
26,7188,185,163,7624,7984,8052,8324,7706,6997,6704,6447,6502,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.46193284327597,66.8285935103246]}"
27,7105,182,157,7528,7988,8040,8311,7683,7014,6688,6444,6525,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.459327728952024,66.82985115172237]}"
28,7105,182,162,7476,7896,7988,8309,7657,6993,6696,6470,6525,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.458519245196316,66.82985115172237]}"
29,7144,178,151,7492,7944,7984,8317,7724,7025,6688,6477,6556,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.460226044236144,66.82886300490983]}"
30,7543,218,194,7728,7956,7984,8161,7620,7051,6732,6460,6407,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.486021415735927,67.3953406230756]}"
31,7201,181,163,7552,8016,8092,8352,7733,7072,6744,6536,6640,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.46381930537262,66.83056980394966]}"
32,7133,186,164,7456,7896,8008,8286,7728,6976,6636,6478,6540,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.462202337861207,66.82886300490983]}"
33,7092,188,174,7452,7764,7916,8232,7654,6958,6616,6450,6492,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.463190484673738,66.82895283643823]}"
34,7158,181,150,7412,7840,7876,8166,7588,6877,6592,6375,6467,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.46148368563391,66.82778502656889]}"
35,7061,175,160,7340,7780,7856,8198,7608,6902,6584,6361,6407,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.460585370349792,66.82805452115412]}"
36,7144,181,182,7588,7992,8068,8372,7731,7040,6720,6522,6556,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.460765033406615,66.82922233102347]}"
37,7195,175,155,7616,8012,8032,8245,7661,6932,6676,6428,6387,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.464088799957857,66.82814435268253]}"
38,7145,182,167,7548,7988,8024,8324,7744,7056,6740,6515,6593,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.461124359520262,66.83030030936442]}"
39,7093,180,161,7480,7880,7896,8227,7641,6957,6680,6425,6478,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.464268463014681,66.82985115172237]}"
40,7115,181,157,7492,7904,7972,8242,7718,6974,6664,6435,6505,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.456453120042841,66.82913249949506]}"
41,7137,180,163,7584,8000,8060,8352,7746,7073,6724,6538,6562,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.463909136901034,66.83030030936442]}"
42,7094,181,167,7528,7968,8048,8327,7755,7079,6756,6517,6535,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.462202337861207,66.82985115172237]}"
43,7032,178,167,7340,7744,7748,8064,7519,6838,6552,6292,6356,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.460226044236144,66.82760536351206]}"
44,7264,176,161,7668,8112,8148,8422,7822,7083,6792,6581,6695,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.463639642315798,66.83101896159171]}"
45,7150,175,155,7428,7856,7936,8173,7586,6926,6572,6343,6457,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.46381930537262,66.82832401573935]}"
46,7032,172,164,7416,7796,7812,8037,7484,6809,6488,6267,6356,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.460495538821379,66.82769519504048]}"
47,7061,181,165,7528,7892,7900,8197,7605,6969,6624,6383,6407,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.461124359520262,66.82814435268253]}"
48,7061,179,166,7328,7752,7868,8177,7597,6907,6544,6426,6407,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.460854864935026,66.8279646896257]}"
49,7109,174,161,7504,7892,7936,8230,7672,6934,6632,6395,6430,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.46417863148627,66.82832401573935]}"
