"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,6675,155,127,6920,7324,7368,7660,7271,6688,6488,6171,6279,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.38365298777435,60.05619458334752]}"
26,6666,159,129,6920,7216,7460,7666,7271,6717,6524,6238,6340,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.384102145416409,60.05718273016005]}"
27,6309,153,133,6496,6808,6976,7270,6925,6439,6288,5988,6061,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.388234395723359,60.022777254778276]}"
28,5487,142,126,5072,5360,5552,5789,5526,5179,5060,4823,5266,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.284209485822318,60.032479059846764]}"
29,6212,149,124,6524,6808,7080,7270,6895,6412,6260,5944,5971,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.401349798871504,60.059787844484]}"
30,6674,158,133,6852,7252,7408,7696,7284,6728,6568,6231,6343,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.386078439041472,60.057272561688464]}"
31,5187,115,94,5840,5928,6004,6610,5818,5580,4836,4963,4331,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.413836381320765,60.03095192386376]}"
32,6403,152,114,6728,7008,7172,7472,7058,6543,6344,6079,6086,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.402607440269271,60.05924885531353]}"
33,6200,149,120,6376,6704,6884,7238,6848,6356,6196,5922,5977,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.402517608740859,60.059698012955586]}"
34,5269,105,80,5440,5616,5620,5769,5132,4739,4436,4179,4192,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.414195707434414,60.03149091303423]}"
35,4370,152,115,5328,5484,5724,5740,5530,5133,5104,4740,4059,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.284029822765494,60.03265872290359]}"
36,6401,151,120,6572,6944,7120,7370,6962,6476,6288,6018,6064,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.401349798871504,60.059428518370346]}"
37,6304,153,134,5356,5668,5848,6290,5969,5636,5324,5243,5989,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.317357319806328,60.04280968561414]}"
38,6403,151,111,6704,7032,7172,7411,7031,6508,6308,6025,6086,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.402158282627211,60.059159023785114]}"
39,6353,151,119,6636,6860,6992,7290,6883,6427,6256,5997,6060,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.387246248910827,60.022777254778276]}"
40,6675,153,126,6864,7216,7384,7629,7179,6657,6440,6129,6279,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.38365298777435,60.05646407793275]}"
41,6316,144,124,6524,6836,7052,7339,6929,6434,6300,5975,6072,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.387695406552887,60.02349590700557]}"
42,4370,147,116,5204,5328,5532,5531,5190,4886,4928,4537,4059,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2838501597086704,60.03265872290359]}"
43,6666,159,131,6944,7276,7416,7694,7273,6730,6564,6204,6340,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.384102145416409,60.05745222474528]}"
44,4807,147,138,4904,5156,5312,5643,5436,5141,4920,4828,4750,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.318435298147272,60.04361816936984]}"
45,6675,152,127,7000,7320,7412,7699,7194,6707,6524,6200,6279,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.383922482359585,60.05628441487593]}"
46,6674,158,133,6852,7236,7392,7696,7284,6728,6564,6231,6343,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.385898775984648,60.057272561688464]}"
47,6353,152,128,6636,6968,7072,7310,6933,6453,6320,6005,6060,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.386976754325592,60.02304674936351]}"
48,5427,108,85,5208,5488,5616,5949,5291,5005,4752,4685,4713,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.411590593110467,60.030772260806934]}"
49,6637,157,126,6916,7144,7412,7631,7217,6631,6452,6134,6263,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.384820797643705,60.056553909461165]}"
