system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7308,144,157,7724,7928,8092,8234,7762,7143,6952,6523,6593,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.068708223443896,61.59393068670332]}"
1,7546,150,143,8040,8320,8496,8571,8081,7459,7296,6828,6931,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.971420678173753,61.635792178943284]}"
2,7368,151,141,7816,8060,8488,8720,8182,7557,7304,6870,6904,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.105449318564385,61.68753513930857]}"
3,7553,151,151,7760,8084,8616,8880,8382,7684,7408,6999,7067,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.105000160922326,61.68834362306428]}"
4,8228,181,180,8672,8880,9112,9347,8788,8103,7752,7349,7599,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.927043903138248,61.595098496572675]}"
5,7545,138,152,7876,8100,8432,8590,8071,7478,7272,6786,6903,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.972049498872636,61.635612515886464]}"
6,7423,133,145,7904,8100,8552,8792,8298,7651,7384,6916,6975,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.1076052752462715,61.68789446542222]}"
7,7475,142,144,7656,7972,8576,8805,8297,7681,7448,6975,7026,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.104101845638206,61.68798429695063]}"
8,7482,160,165,7868,8092,8392,8557,8031,7411,7172,6716,6745,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.08083547977951,61.630581950295394]}"
9,7571,176,164,8544,8744,9024,9225,8634,7989,7760,7222,6916,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.928121881479192,61.59473917045902]}"
10,7342,141,151,7876,8060,8328,8502,8070,7467,7144,6777,6796,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9713308466453405,61.63525318977281]}"
11,7444,141,155,7860,8076,8272,8474,7964,7380,7104,6690,6759,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.036728199329242,61.603452828714985]}"
12,7392,149,147,7884,8148,8328,8483,7980,7405,7148,6717,6742,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.038434998369069,61.60399181788546]}"
13,7571,159,164,8392,8632,8832,8930,8345,7701,7536,6931,6916,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9275828923087195,61.594829001987435]}"
14,7368,144,144,7824,8052,8408,8651,8152,7526,7272,6867,6904,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.105718813149621,61.68726564472333]}"
15,7275,129,136,7516,7740,8248,8516,8012,7411,7168,6741,6728,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.080476153665862,61.69211654725758]}"
16,6918,125,124,7344,7520,7872,7834,7402,6845,6788,6195,6559,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.919677717808468,61.61396311753918]}"
17,7747,151,147,8200,8432,8504,8638,8124,7544,7256,6820,6941,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.0387943244827165,61.60354266024339]}"
18,7169,154,157,7564,7740,8068,8232,7715,7174,6992,6510,6552,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.066642098290422,61.594379844345376]}"
19,7586,111,125,7568,7624,7916,8059,7595,6947,6700,6281,6320,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.998998957396222,61.71789819591181]}"
