system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7034,164,162,7596,7832,8288,8668,8140,7544,7124,6896,6897,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.391198836160953,60.02583152674428]}"
1,7113,159,140,7624,7828,8264,8566,8038,7481,7128,6819,6827,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3620035894270694,59.98873110551014]}"
2,7979,246,209,8768,9040,9640,10042,9459,8750,8344,8053,7982,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.399822662888501,59.98846161092491]}"
3,7885,227,187,8488,8792,9192,9589,8973,8366,7912,7679,7709,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.398295526905498,59.98037677336783]}"
4,7146,167,133,7668,7788,8296,8594,8052,7434,7160,6775,6857,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.361464600256597,59.988820937038554]}"
5,7146,165,132,7628,7836,8264,8626,8094,7496,7164,6808,6857,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.362093420955481,59.98891076856697]}"
6,7093,168,147,7724,7916,8328,8664,8172,7546,7188,6871,6927,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3930852982576045,60.02619085285793]}"
7,7202,147,129,7668,7828,8224,8534,8053,7429,7016,6706,6770,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.33164053282383,60.00229566630035]}"
8,7148,168,161,7832,8140,8488,8811,8240,7633,7296,6935,6939,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.393444624371252,60.02538236910222]}"
9,7229,156,140,7744,7924,8216,8493,7984,7370,7052,6708,6758,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.363979883052132,59.98783279022602]}"
10,7881,248,216,8704,9040,9496,9860,9315,8577,8304,7934,7875,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.398924347604382,59.98801245328285]}"
11,7175,174,143,7656,7896,8296,8588,8064,7508,7144,6845,6863,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.362093420955481,59.983161550748605]}"
12,8239,215,194,8768,9024,9544,9924,9321,8575,8112,7813,7938,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.400720978172621,59.98352087686225]}"
13,7955,228,198,8376,8688,9312,9727,9204,8475,8120,7743,7740,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.398385358433909,59.98468868673161]}"
14,7756,239,196,8400,8680,9416,9786,9246,8572,8288,7844,7772,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.397576874678202,59.988371779396495]}"
15,7501,212,181,8032,8368,8816,9167,8644,7974,7612,7289,7376,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.391558162274602,59.976963175288176]}"
16,7185,164,140,7708,7904,8312,8626,8131,7520,7128,6818,6876,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.360476453444066,59.990078578436325]}"
17,7200,173,146,7724,7856,8264,8599,8055,7483,7140,6795,6831,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3600272958020065,59.990258241493144]}"
18,7326,170,163,7728,7896,8312,8545,8082,7469,7160,6832,6885,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.363261230824836,59.98352087686225]}"
19,7756,235,201,8456,8712,9256,9703,9168,8435,8036,7717,7772,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.397666706206614,59.98801245328285]}"
20,8075,223,192,8568,8880,9264,9581,9071,8425,7972,7618,7592,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.398654853019146,59.98028694183942]}"
21,8047,256,212,8600,8944,9520,9910,9372,8692,8336,7976,8053,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.400900641229445,59.98873110551014]}"
22,6786,156,139,7160,7360,7856,8170,7670,7021,6712,6406,6478,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.364968029864664,60.04496564229603]}"
23,7185,151,133,7680,7860,8256,8519,8008,7438,7124,6804,6835,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3313710382385935,60.00112785643099]}"
24,7213,173,139,7596,7748,8224,8687,8132,7489,7152,6827,6865,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.361015442614538,59.98846161092491]}"
25,7078,170,154,7544,7808,7920,8264,7700,7146,6660,6538,6545,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.28474847499279,59.975525870833586]}"
26,7266,162,140,7780,8052,8072,8394,7803,7217,6864,6645,6680,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.280346730100605,59.97822081668595]}"
27,7206,165,144,7564,7848,7880,8166,7670,7079,6640,6457,6467,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.282862012896139,59.97840047974277]}"
28,7159,177,155,7784,7992,8200,8398,7897,7334,7020,6727,6714,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.284389148879143,59.97507671319153]}"
29,7008,164,134,7724,7896,7992,8248,7663,7080,6664,6451,6417,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.281155213856312,59.979298795026885]}"
30,7099,171,155,7708,8060,8092,8357,7831,7325,6964,6697,6658,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.285287464163262,59.97480721860629]}"
31,7256,167,145,7804,8136,8148,8397,7783,7218,6860,6528,6558,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.287263757788325,59.975525870833586]}"
32,7140,170,152,7660,7968,8028,8213,7768,7215,6832,6536,6664,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.282592518310904,59.976693680702944]}"
33,7111,169,139,7536,7960,7984,8266,7742,7131,6744,6500,6524,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.285017969578026,59.97588519694723]}"
34,6975,174,152,7520,7860,7988,8266,7739,7236,6920,6594,6558,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.279268751759661,59.97983778419736]}"
35,7090,169,153,7608,7920,7988,8274,7780,7223,6836,6599,6502,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.281784034555196,59.97705300681659]}"
36,7159,184,159,7852,8116,8200,8444,7939,7397,7028,6745,6714,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.284568811935967,59.9748970501347]}"
37,7090,168,147,7448,7752,7824,8168,7697,7131,6688,6494,6502,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2818738660836075,59.977412332930236]}"
38,7284,165,149,7728,8012,8040,8385,7809,7143,6764,6466,6638,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.286185779447382,59.97606486000406]}"
39,7164,164,146,7796,8036,8068,8247,7662,7104,6876,6479,6624,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2800772355153685,59.97893946891324]}"
40,7111,174,148,7540,7808,7968,8268,7771,7154,6728,6473,6524,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.285916284862146,59.97543603930517]}"
41,7078,168,145,7564,7840,7904,8280,7789,7136,6772,6492,6545,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.284928138049614,59.97579536541882]}"
42,7238,168,147,7784,8060,8100,8349,7732,7151,6776,6495,6561,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.284209485822318,59.97660384917453]}"
43,6975,175,148,7500,7768,7928,8115,7614,7105,6832,6477,6558,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.279717909401721,59.97965812114054]}"
44,6980,154,137,7404,7624,7792,7982,7494,6946,6620,6290,6379,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.280885719271076,59.978849637384826]}"
45,6975,176,146,7324,7676,7768,8069,7563,7017,6788,6419,6558,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2800772355153685,59.97965812114054]}"
46,7057,163,139,7708,7944,8024,8232,7669,7125,6728,6467,6472,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.281334876913136,59.97992761572577]}"
47,7274,175,157,7552,7920,7980,8283,7757,7193,6728,6534,6584,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.285826453333733,59.976244523060885]}"
48,7284,177,150,7772,8068,8124,8358,7814,7214,6816,6531,6638,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.286365442504206,59.97633435458929]}"
49,7303,176,156,7896,8172,8200,8433,7866,7340,6928,6730,6753,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.284838306521202,59.97471738707788]}"
