"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,7686,151,123,7948,8216,8336,8619,7997,7366,7057,6812,6780,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9708816890032805,61.67280276864901]}"
26,7284,567,471,7552,7936,8328,8701,8099,7508,7168,6987,6968,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.016965263078612,61.69714711284865]}"
27,7641,143,135,7900,8164,8208,8572,7989,7356,7016,6820,6738,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.97312747721358,61.67280276864901]}"
28,7741,135,130,7944,8192,8312,8594,8052,7396,7040,6819,6834,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.969713879133925,61.67289260017742]}"
29,7322,523,467,7524,7956,8336,8639,8115,7466,7216,6912,6898,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.016516105436552,61.696877618263414]}"
30,7725,140,123,7900,8232,8296,8554,7975,7347,6995,6762,6802,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.970971520531693,61.67235361100695]}"
31,7771,148,131,7956,8200,8336,8582,8003,7363,7013,6800,6814,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.969354553020278,61.67289260017742]}"
32,7711,159,122,7772,8144,8216,8568,7954,7362,7040,6734,6784,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.963874829787149,61.67334175781948]}"
33,7043,757,693,7752,8156,8480,8833,8270,7647,7348,7052,6845,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.019211051288911,61.698314922718005]}"
34,7638,144,116,7896,8128,8216,8507,7957,7264,6944,6677,6742,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.973037645685167,61.67468923074566]}"
35,7728,141,123,7884,8168,8280,8551,7954,7303,6963,6762,6797,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.964054492843973,61.6727129371206]}"
36,7728,147,131,7992,8264,8320,8599,7977,7362,7032,6830,6797,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.964773145071268,61.673072263234246]}"
37,7731,144,126,8032,8264,8312,8559,7963,7337,7045,6813,6773,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.966749438696331,61.67289260017742]}"
38,7662,144,144,7884,8124,8264,8577,7958,7313,6968,6772,6739,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.972588488043108,61.67280276864901]}"
39,7683,137,157,7840,8120,8216,8573,7969,7368,6963,6789,6747,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.971151183588517,61.67334175781948]}"
40,7683,137,143,7896,8208,8296,8522,7922,7305,6908,6680,6747,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.970971520531693,61.67370108393313]}"
41,7284,592,547,7536,7956,8312,8761,8208,7532,7184,7013,6968,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.016785600021788,61.697596270490706]}"
42,7630,137,104,7896,8200,8272,8525,7944,7339,7012,6735,6701,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.97312747721358,61.67343158934789]}"
43,7699,145,165,7896,8200,8248,8603,7955,7390,6988,6791,6787,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.968815563849806,61.673970578518365]}"
44,7640,132,114,7832,8160,8240,8497,7927,7299,6971,6763,6728,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.971869835815812,61.67459939921725]}"
45,7699,145,165,7896,8208,8264,8603,7955,7390,6996,6791,6787,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.968725732321394,61.67388074698995]}"
46,7690,141,161,7904,8240,8256,8591,7954,7339,7060,6788,6774,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.970522362889633,61.67388074698995]}"
47,7654,136,121,7928,8224,8336,8562,7994,7313,7016,6741,6700,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.972408824986284,61.67343158934789]}"
48,7711,138,125,7924,8264,8304,8581,7999,7360,7028,6795,6784,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.96486297659968,61.67325192629107]}"
49,7754,236,201,7588,7988,8376,8753,8169,7478,7060,6875,7079,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.019121219760499,61.69768610201912]}"
