system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6568,531,449,8116,8376,8632,9069,8557,8024,7296,7339,5876,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.984356418265073,61.643248195801476]}"
1,8373,220,187,8432,8904,9256,9686,9073,8338,7624,7725,7678,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.98741069023108,61.64234988051736]}"
2,8291,170,141,8728,9120,9304,9647,9048,8354,7920,7701,7657,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.993788728748329,61.6434278588583]}"
3,8443,191,163,8832,9208,9488,9840,9169,8544,8056,7919,7784,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.990914119839146,61.641810891346886]}"
4,8048,689,638,8744,8720,8728,9161,8536,7919,7636,7343,7282,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.987320858702668,61.64136173370483]}"
5,8513,248,226,9048,9432,9640,9954,9345,8509,8112,7876,7806,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.990734456782322,61.64046341842071]}"
6,8325,294,294,8744,9168,9376,9719,8978,8273,7912,7602,7615,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.992081929708501,61.64091257606277]}"
7,8275,161,152,8744,9000,9144,9577,8937,8191,7812,7676,7605,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.99154294053803,61.64387701650036]}"
8,8237,163,146,8656,8960,9184,9529,8918,8254,7764,7587,7545,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.991003951367558,61.644416005670834]}"
9,8327,175,163,8680,8992,9224,9586,8931,8230,7764,7642,7610,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.988129342458375,61.64387701650036]}"
10,8490,321,315,9064,9448,9576,9783,9098,8394,8224,7723,7775,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.991003951367558,61.640373586892295]}"
11,8267,171,152,8632,8976,9176,9463,8868,8189,7692,7541,7516,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9897463099697905,61.644416005670834]}"
12,8297,175,164,8632,8976,9152,9521,8889,8203,7716,7622,7577,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.988758163157259,61.64315836427306]}"
13,8321,201,195,8648,9008,9240,9534,8952,8253,7768,7666,7590,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.985164902020781,61.643966848028775]}"
14,8443,182,164,8808,9176,9488,9874,9209,8460,8028,7877,7784,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.990824288310734,61.64199055440371]}"
15,8505,188,161,8880,9256,9448,9889,9254,8489,7928,7841,7800,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.990285299140262,61.64136173370483]}"
16,8480,182,168,8840,9160,9440,9795,9126,8483,7928,7800,7779,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.989117489270907,61.642260048988945]}"
17,8351,177,160,8944,9384,9664,10051,9413,8668,8192,7996,7761,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9943277179188,61.64073291300594]}"
18,8265,198,184,8488,8992,9312,9617,9020,8281,7716,7669,7630,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.984625912850309,61.643697353443535]}"
19,8382,179,165,8784,9168,9360,9727,9075,8360,7880,7761,7713,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.989656478441379,61.642529543574184]}"
20,8421,186,161,9120,9480,9720,9900,9200,8455,8240,7780,7796,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9930700765210325,61.64046341842071]}"
21,8293,173,154,8736,9104,9280,9705,9047,8361,7860,7742,7605,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9901954676118505,61.642978701216244]}"
22,8352,187,160,8768,9120,9288,9603,8999,8271,7768,7669,7586,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.98696153258902,61.644146511085594]}"
23,8267,172,155,8608,8944,9152,9561,8899,8264,7764,7635,7552,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.988488668572024,61.64459566872765]}"
24,8020,538,546,8568,8976,9088,9428,8794,8073,7648,7468,7254,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.986242880361725,61.64100240759118]}"
