system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7472,106,97,7584,7868,7904,8120,7507,6900,6700,6293,6418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.419712024922353,66.83964278831927]}"
1,7472,111,126,7596,7928,7992,8233,7682,6993,6704,6370,6418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.419352698808705,66.83982245137608]}"
2,7297,104,78,7388,7648,7656,7950,7422,6715,6476,6173,6089,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418993372695057,66.83910379914879]}"
3,7472,104,96,7476,7848,7860,8044,7497,6849,6584,6197,6418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.41953236186553,66.83946312526244]}"
4,7472,111,126,7596,7928,7992,8233,7682,6993,6704,6370,6418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.419262867280294,66.83982245137608]}"
5,7472,111,93,7676,8032,8048,8236,7630,6961,6840,6413,6418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418544215052998,66.83955295679085]}"
6,7472,111,115,7632,7924,7940,8207,7666,6973,6704,6383,6418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.41917303575188,66.83964278831927]}"
7,7652,119,122,7848,8240,8264,8624,7922,7273,7020,6619,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418723878109821,66.84018177748973]}"
8,7472,111,93,7676,8032,8048,8236,7630,6961,6840,6413,6418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.41863404658141,66.83955295679085]}"
9,7652,116,130,7824,8240,8264,8450,7880,7196,7032,6534,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418723878109821,66.84009194596132]}"
10,7714,106,115,7668,7964,7992,8286,7732,7039,6720,6436,6377,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418454383524585,66.83928346220561]}"
11,7472,111,126,7660,7960,8012,8233,7682,6993,6740,6370,6418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.419083204223469,66.83991228290449]}"
12,7538,93,91,7504,7752,7760,8033,7387,6693,6452,6071,6153,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.420790003263296,66.83973261984768]}"
13,8712,124,102,9088,9440,9456,9667,8990,8118,7948,7439,7420,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.41360348099034,66.8391936306772]}"
14,7297,105,81,7376,7668,7696,7873,7377,6652,6468,6085,6089,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.419262867280294,66.8391936306772]}"
15,7652,110,131,7736,8032,8056,8252,7695,7004,6808,6421,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418993372695057,66.8400021144329]}"
16,7652,102,106,7872,8136,8140,8267,7661,6988,6832,6401,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.419442530337117,66.84045127207497]}"
17,7652,110,111,7596,7956,7968,8205,7618,6923,6756,6344,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.419622193393941,66.84009194596132]}"
18,7652,119,122,7848,8240,8264,8624,7922,7273,7020,6619,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.41863404658141,66.84018177748973]}"
19,7890,112,138,8040,8416,8456,8613,7960,7307,7140,6595,6750,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418274720467762,66.83982245137608]}"
20,7652,110,111,7596,7956,7968,8205,7618,6923,6756,6344,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.41953236186553,66.84009194596132]}"
21,7652,116,130,7768,8068,8116,8450,7880,7196,6812,6534,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418813709638233,66.8400021144329]}"
22,7472,111,97,7704,8008,8028,8356,7762,7057,6808,6456,6418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418903541166646,66.83964278831927]}"
23,7714,104,118,7536,7860,7880,8060,7528,6783,6592,6246,6377,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418274720467762,66.83910379914879]}"
24,7297,99,64,7300,7520,7528,7653,7154,6489,6372,5940,6089,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.418813709638233,66.83901396762037]}"
