system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8138,139,120,8416,8624,8640,8938,8284,7597,7124,6948,6875,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.95704763362784,61.70460312970684]}"
1,8290,134,109,8624,8976,9000,9219,8518,7802,7392,7142,7065,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.958305275025608,61.69921323800212]}"
3,8346,132,124,8680,8888,8904,9223,8552,7863,7348,7134,7099,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.953454372491362,61.69939290105895]}"
4,8291,136,123,8648,8904,8912,9155,8488,7789,7284,7048,7040,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.958754432667667,61.70092003704195]}"
5,8256,151,125,8560,8840,8848,9104,8440,7731,7276,7053,7032,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9604612317074945,61.70154885774083]}"
6,8226,143,129,8600,8776,8856,9101,8432,7749,7204,7011,7008,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.961808704633674,61.70092003704195]}"
7,7762,131,108,8216,8552,8632,8855,8192,7462,7040,6777,6736,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.906652146188735,61.71340661949121]}"
9,8312,138,120,8616,8936,8944,9178,8491,7807,7392,7133,7095,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.959203590309727,61.700470879399894]}"
10,8138,127,112,8424,8736,8752,9045,8369,7692,7272,6994,7002,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.955969655286896,61.698314922718005]}"
11,8198,137,111,8504,8768,8848,9091,8446,7758,7292,7072,7013,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.958125611968783,61.69822509118959]}"
12,8341,135,121,8680,9008,9016,9250,8545,7879,7361,7148,7091,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9675579224520385,61.7005607109283]}"
15,7764,125,110,7956,8432,8480,8758,8118,7416,6924,6746,6751,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.907909787586502,61.713586282548036]}"
16,8246,143,119,8576,8856,8888,9124,8482,7749,7291,7090,7045,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.95659847598578,61.7012793631556]}"
17,8318,143,113,8664,8944,8968,9237,8479,7780,7368,7112,7060,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.966569775639507,61.70100986857036]}"
18,8406,137,122,8880,9112,9120,9416,8664,7987,7504,7289,7175,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.955520497644837,61.70074037398513]}"
19,7845,123,95,8160,8512,8592,8829,8126,7450,6977,6791,6748,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.907999619114914,61.713047293377564]}"
20,8226,146,123,8568,8824,8840,9112,8446,7722,7284,7122,7008,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.960820557821142,61.70083020551354]}"
23,8341,133,120,8576,8920,8928,9212,8508,7839,7387,7143,7100,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.962617188389381,61.69849458577483]}"
24,8258,137,134,8616,8872,8928,9148,8460,7813,7375,7095,7081,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.95471201388913,61.698045428132765]}"
