system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7033,114,107,6988,7132,7548,7533,7415,6844,6400,6164,6693,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.154497333077311,61.733618713383905]}"
1,6203,113,107,6164,6268,6732,6664,6243,5968,6024,5541,6264,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.153509186264779,61.733618713383905]}"
2,6617,119,100,5712,6012,6248,7196,6624,6262,5800,5780,6125,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.157731268100141,61.73263056657137]}"
3,7175,105,97,6484,6664,6972,7785,7055,6771,6000,6251,6578,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.159617730196792,61.733349218798665]}"
4,6364,99,91,5324,5284,5568,6542,5862,5188,4356,5019,6242,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.155934637531902,61.73307972421343]}"
5,4860,102,91,5328,5404,5832,5937,5555,5379,4884,4760,5013,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.153060028622719,61.73307972421343]}"
6,5360,117,107,5268,5380,5656,5987,5953,5582,5285,5173,5567,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.1608753715945594,61.728767810849654]}"
7,5655,124,110,5332,5440,5824,6856,6548,6247,5560,5872,5714,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.153149860151132,61.73272039809978]}"
8,5116,105,98,5760,5712,6056,6342,6013,5834,5416,5338,5331,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.1622228445207385,61.72921696849171]}"
9,5439,102,80,5600,5684,5948,6425,6179,5880,5548,5484,5463,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.161683855350267,61.729755957662185]}"
10,6743,117,101,7132,7148,7440,7967,7559,7231,6856,6776,6812,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.160336382424088,61.73011528377584]}"
11,5967,99,101,5368,5572,5844,6402,5974,5682,5480,5392,5702,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.167253410111808,61.731193262116776]}"
12,5439,106,94,5448,5440,5840,6007,5866,5538,5340,5125,5463,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.161683855350267,61.72939663154854]}"
13,6440,96,101,4916,5008,5552,6226,6057,5591,5095,5299,6131,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.160246550895676,61.73164241975884]}"
14,6080,97,79,5172,5444,5728,6151,5996,5998,5465,5245,5617,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.163749980503742,61.73092376753154]}"
15,6504,126,122,7432,7476,7780,8366,7895,7366,7016,6768,6269,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.164378801202625,61.72840848473601]}"
16,5592,112,96,5580,5912,6216,7005,6530,6314,5789,5955,5406,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.165546611071981,61.730025452247425]}"
17,7209,131,109,6512,6636,7036,7315,6966,6693,6408,6180,6948,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.154766827662547,61.731911914344074]}"
18,5360,101,91,5468,5368,5628,5962,5665,5329,5116,4825,5208,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.162492339105975,61.728767810849654]}"
19,7752,130,142,7536,7768,8096,8667,8124,7627,7128,7067,7374,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.169499198322107,61.730474609889484]}"
20,5613,112,96,6256,6088,6828,6945,6678,6098,5699,5618,5435,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.15629396364555,61.73254073504296]}"
21,5967,107,95,5664,5620,6100,6397,6115,5807,5368,5139,5702,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.167522904697044,61.73110343058837]}"
22,6870,110,110,5620,5892,6088,7219,6886,6574,5716,6034,6676,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.170756839719874,61.731013599059956]}"
23,7490,105,99,6988,6680,7232,8178,7489,7178,5684,6371,6825,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.162582170634386,61.73272039809978]}"
24,6017,106,99,5960,6128,6436,6879,6481,6117,5712,5631,5605,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.16410930661739,61.72894747390648]}"
