system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8426,999,862,7516,7496,9920,9907,9059,8159,6436,7412,6599,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494811182674745,66.84350554404098]}"
1,8132,1027,858,7272,7436,8200,8869,8142,7355,5768,6682,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494990845731568,66.84332588098415]}"
2,8249,974,777,7728,7744,10536,10260,9716,8556,6624,7836,7484,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.495080677259981,66.84350554404098]}"
3,8249,974,777,7788,7672,9824,10260,9716,8556,6684,7836,7484,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.495350171845217,66.8435953755694]}"
4,8426,999,862,7516,7496,9920,9907,9059,8159,6436,7412,6599,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494901014203156,66.84350554404098]}"
5,8132,1027,858,7612,7584,8952,8869,8142,7355,6196,6682,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494901014203156,66.84341571251257]}"
6,9200,777,679,7832,7828,9872,7865,9928,8616,6512,7974,8032,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.495080677259981,66.84341571251257]}"
7,8132,1027,858,6900,7008,7736,8869,8142,7355,5464,6682,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.49463151961792,66.84332588098415]}"
8,8426,999,862,7404,7388,9592,9907,9059,8159,6300,7412,6599,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494721351146334,66.84350554404098]}"
9,8426,1219,1063,7120,7252,7648,8451,8210,7357,6000,6749,6599,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494272193504273,66.84350554404098]}"
10,8426,999,862,7516,7496,9920,9907,9059,8159,6436,7412,6599,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494990845731568,66.84350554404098]}"
11,8132,1027,858,7212,7352,8536,8869,8142,7355,5952,6682,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494721351146334,66.84341571251257]}"
12,8426,1219,1063,7280,7388,9008,8451,8210,7357,6308,6749,6599,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494541688089509,66.8435953755694]}"
13,8249,974,777,7728,7744,10536,10260,9716,8556,6624,7836,7484,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.495170508788393,66.84350554404098]}"
14,8132,1320,1137,7012,7160,7832,7640,7219,6619,5724,6158,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494362025032686,66.84341571251257]}"
15,8132,1320,1137,7012,7160,7832,7640,7219,6619,5724,6158,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494451856561097,66.84341571251257]}"
16,8132,1027,858,7612,7584,8952,8869,8142,7355,6196,6682,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494990845731568,66.84341571251257]}"
17,8132,1320,1137,6744,6844,7396,7640,7219,6619,5280,6158,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494541688089509,66.84332588098415]}"
18,8426,999,862,7440,7396,9792,9907,9059,8159,6528,7412,6599,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494901014203156,66.8435953755694]}"
19,8132,1027,858,6900,7008,7736,8869,8142,7355,5464,6682,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494721351146334,66.84332588098415]}"
20,8132,1027,858,7212,7352,8536,8869,8142,7355,5952,6682,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.49463151961792,66.84341571251257]}"
21,8426,1219,1063,7304,7328,8576,8451,8210,7357,6124,6749,6599,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494362025032686,66.84350554404098]}"
22,8426,1219,1063,7280,7388,9008,8451,8210,7357,6308,6749,6599,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494451856561097,66.8435953755694]}"
23,9200,777,679,7832,7828,9872,7865,9928,8616,6512,7974,8032,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.495170508788393,66.84341571251257]}"
24,8132,1320,1137,7012,7160,7832,7640,7219,6619,5724,6158,5742,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.494541688089509,66.84341571251257]}"
