system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5863,127,112,5628,5944,6156,6955,6707,6239,5484,5530,5555,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.1593482356115565,61.72867797932125]}"
1,5348,137,138,7020,7296,7612,7875,7220,6710,6640,6282,5357,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.164288969674214,61.729576294605366]}"
2,6236,156,153,6976,7264,7676,8566,7988,7413,6916,6831,6528,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.156832952816021,61.73155258823043]}"
3,6734,144,134,6220,6592,6932,7873,7592,6985,6588,6535,6726,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.158719414912673,61.731193262116776]}"
4,6105,139,119,5692,5856,6144,6740,6843,6323,5868,5703,6098,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.162761833691211,61.72849831626442]}"
5,5811,139,137,5988,6312,6640,7589,7097,6648,5772,5980,6047,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.165636442600393,61.730474609889484]}"
6,5061,128,117,5592,5832,6132,6437,6159,5774,5444,5266,4997,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.161683855350267,61.729755957662185]}"
7,6630,158,156,7052,7360,7668,8228,7618,7221,6732,6570,6721,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.165277116486745,61.7298457891906]}"
8,6154,138,119,5788,6100,6424,6597,6140,5951,5672,5393,6003,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.161414360765031,61.72867797932125]}"
9,6848,153,139,7344,7596,7940,8219,7703,7142,6844,6529,6590,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.160336382424088,61.73011528377584]}"
10,5765,130,119,5168,5328,5668,5879,5888,5382,5296,5107,5743,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.163749980503742,61.729306800020126]}"
11,5578,128,119,5892,6168,6512,6728,6387,6014,5756,5464,5682,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.164827958844685,61.730205115304244]}"
12,5051,133,102,5892,6040,6424,6477,6350,5928,5992,5522,5059,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.162133012992327,61.72885764237807]}"
13,7017,154,147,6960,7320,7808,8082,7696,7213,7152,6609,6917,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.159887224782028,61.73074410447472]}"
14,5710,135,127,5484,5724,6024,6795,6661,6041,5424,5658,5799,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.160246550895676,61.73164241975884]}"
15,5706,125,123,5328,5524,5864,6175,5962,5595,5448,5178,5592,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.168511051509576,61.73110343058837]}"
16,7257,158,149,7760,8004,8416,8712,8179,7697,7260,6899,7139,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.154766827662547,61.731911914344074]}"
17,4807,128,114,4736,5020,5280,6159,5762,5457,5172,5116,5144,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.162941496748035,61.72966612613378]}"
18,4904,113,120,5552,5824,6224,6630,6098,5914,5884,5329,5562,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.159707561725204,61.73164241975884]}"
19,7150,161,152,7096,7460,7784,8323,7778,7301,6728,6537,6742,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.16321099133327,61.726881348753004]}"
20,6154,138,129,6164,6468,6812,6935,6496,6093,6108,5726,6003,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.162133012992327,61.72849831626442]}"
21,6003,142,126,7108,7300,7636,7939,7365,6840,6724,6303,5990,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.161144866179796,61.72993562071901]}"
22,4807,130,109,5528,5820,6328,6203,6173,5695,5592,5356,5144,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.1631211598048585,61.729576294605366]}"
23,5061,128,117,5748,6016,6368,6437,6159,5774,5728,5266,4997,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.161594023821855,61.7298457891906]}"
24,5061,128,117,5308,5556,5948,6437,6159,5774,5380,5266,4997,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.161683855350267,61.7298457891906]}"
