system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6345,146,162,7012,7436,7764,8018,7547,7073,6853,6438,6504,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.757441977496482,61.542367389394855]}"
1,6301,138,137,7016,7436,7772,7971,7511,7019,6852,6426,6504,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.760047091820429,61.54254705245168]}"
2,6501,143,141,7108,7540,7876,8131,7667,7164,6815,6532,6573,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.752950401075885,61.537336823803784]}"
3,6467,140,132,7148,7572,7928,8156,7676,7109,6887,6452,6517,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.744416405876749,61.54182840022438]}"
4,6417,123,124,6856,7280,7612,7907,7429,6799,6407,6156,6278,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.727078920893242,61.540930084940264]}"
5,6493,125,129,6928,7280,7596,7881,7404,6834,6531,6222,6339,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.72465346962612,61.53563002476396]}"
6,6493,124,121,6992,7316,7652,7851,7330,6847,6576,6168,6339,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.725012795739768,61.535719856292374]}"
7,6426,144,132,7028,7428,7764,8087,7576,7067,6756,6382,6421,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.744865563518809,61.53437238336619]}"
8,6378,141,141,7020,7416,7840,7985,7558,7054,6888,6470,6505,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.756094504570303,61.541469074110736]}"
9,6292,117,109,6660,7060,7384,7729,7216,6607,6244,6016,6194,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.7224975129442335,61.535719856292374]}"
10,6497,137,134,7036,7456,7808,8043,7557,7056,6791,6462,6532,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.702015924466308,61.54308604162215]}"
11,6247,145,141,6896,7308,7628,7885,7451,6940,6676,6401,6443,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.738038367359501,61.54703862887228]}"
12,6493,150,151,7168,7584,7940,8146,7675,7153,6879,6523,6587,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.743338427535806,61.53527069865031]}"
13,6464,135,136,7100,7524,7860,8133,7618,7124,6844,6509,6519,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.709561772852912,61.53913345437203]}"
14,6373,122,124,6904,7264,7584,7815,7322,6753,6391,6101,6188,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.731839991899076,61.539762275070906]}"
15,6342,118,120,6808,7208,7572,7880,7364,6826,6544,6147,6207,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.724743301154532,61.53580968782078]}"
16,6424,145,146,7072,7496,7832,8113,7611,7122,6900,6527,6558,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.7517825912065295,61.5351808671219]}"
17,6305,137,152,6932,7316,7656,7919,7446,6922,6696,6340,6391,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.73112133967178,61.54353519926421]}"
18,6441,147,148,7148,7568,7896,8144,7662,7120,6884,6524,6575,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.749896129109878,61.53706732921855]}"
19,6470,144,141,7144,7548,7868,8172,7715,7170,6945,6569,6588,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.752411411905413,61.5382351390879]}"
20,6395,139,143,6988,7416,7748,7982,7463,6925,6564,6265,6296,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.741451965439155,61.53841480214473]}"
21,6302,145,146,7000,7420,7752,7962,7527,7023,6785,6396,6483,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.730582350501309,61.54623014511657]}"
