system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6986,183,200,7384,7684,8004,8367,8006,7641,7483,7200,7293,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.542475130006681,61.48891762998974]}"
1,6967,207,214,7360,7624,7972,8334,8029,7658,7432,7205,7288,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.541486983194149,61.487570157063566]}"
2,6702,179,186,7076,7348,7680,8053,7756,7358,7119,6894,7056,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.543642939876037,61.48685150483627]}"
3,6765,177,174,7212,7524,7832,8131,7828,7442,7273,6973,7040,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.5449005812738035,61.486312515665794]}"
4,6779,165,181,7308,7508,7856,8103,7745,7405,7240,6923,7054,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.545439570444275,61.48748032553515]}"
5,6986,183,200,7384,7684,8004,8367,8006,7641,7483,7200,7293,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.542564961535093,61.48891762998974]}"
6,6898,183,198,7284,7560,7884,8179,7826,7517,7300,7045,7241,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.542834456120329,61.488019314705625]}"
7,6967,207,214,7360,7624,7972,8334,8029,7658,7432,7205,7288,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.5415768147225615,61.487570157063566]}"
8,6703,171,184,7184,7420,7760,8051,7749,7406,7193,6944,7028,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.544361592103332,61.48819897776245]}"
9,6668,175,195,7076,7384,7724,7975,7656,7365,7172,6922,7029,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.542744624591917,61.486582010251034]}"
10,6798,170,177,7320,7564,7896,8223,7893,7536,7300,7043,7094,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.54517007585904,61.48676167330786]}"
11,6798,170,177,7344,7628,7944,8223,7893,7536,7308,7043,7094,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.545080244330627,61.48685150483627]}"
12,6718,173,192,7164,7452,7764,8103,7768,7457,7172,6961,7054,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.54427176057492,61.48765998859198]}"
13,6702,169,181,7216,7508,7836,8114,7793,7436,7232,6935,7023,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.54427176057492,61.48649217872262]}"
14,6742,176,175,7216,7428,7728,8125,7789,7478,7212,6973,7082,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.544002265989684,61.48774982012039]}"
15,6718,173,192,7164,7452,7764,8103,7768,7457,7172,6961,7054,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.544361592103332,61.48765998859198]}"
16,6819,164,176,7292,7500,7828,8134,7807,7429,7241,6954,7082,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.545439570444275,61.48739049400674]}"
17,6668,185,191,7100,7388,7700,8015,7661,7396,7108,6867,7029,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.543103950705564,61.48649217872262]}"
18,6798,168,177,7280,7596,7920,8184,7839,7504,7276,7001,7094,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.544990412802216,61.48676167330786]}"
19,6898,183,198,7284,7560,7884,8179,7826,7517,7300,7045,7241,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.542744624591917,61.488019314705625]}"
20,6706,183,198,7220,7528,7856,8123,7812,7520,7296,6989,7089,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.542385298478269,61.48685150483627]}"
21,6742,173,181,7228,7484,7816,8065,7757,7398,7240,6985,7082,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.543732771404448,61.48748032553515]}"
22,6779,167,180,7284,7452,7772,8130,7800,7441,7252,6981,7054,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.5457988965579235,61.48792948317721]}"
23,6668,185,191,7100,7388,7700,8015,7661,7396,7108,6867,7029,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.543014119177153,61.48649217872262]}"
24,6894,190,202,7256,7552,7868,8212,7890,7560,7295,7095,7223,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.541666646250973,61.48703116789309]}"
25,5815,165,170,5916,6188,6596,6877,6640,6399,6084,5996,6127,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.523790172096995,61.48352773828503]}"
26,5413,167,161,5956,6212,6564,6981,6711,6456,5951,5960,5801,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.524418992795878,61.4833480752282]}"
27,6414,188,182,6552,6688,7000,7394,7048,6677,6312,6149,6496,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.551009125205816,61.48056329784743]}"
28,5413,157,154,6196,6348,6652,6845,6511,6221,5976,5753,5801,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.524868150437938,61.48343790675661]}"
29,5237,139,131,6084,6076,6216,6360,5987,5533,5456,5008,5217,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.527383433233473,61.48128195007473]}"
30,5413,157,154,6196,6348,6652,6845,6511,6221,5976,5753,5801,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.524957981966351,61.48343790675661]}"
31,6164,180,187,6188,6280,6588,6757,6428,6324,6032,5824,6064,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.551009125205816,61.480383634790606]}"
32,5815,161,164,5700,6004,6280,6851,6521,6298,5968,5872,6127,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.523520677511759,61.48361756981344]}"
33,5498,157,164,5796,6068,6348,6572,6297,6066,5933,5681,5997,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.522802025284464,61.48388706439867]}"
34,5815,161,164,6080,6368,6728,6851,6521,6298,6207,5872,6127,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.523700340568583,61.48361756981344]}"
35,5425,148,149,5820,6020,6380,6671,6395,6144,5936,5724,5957,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.523880003625407,61.48415655898391]}"
36,5815,172,163,6256,6584,6876,7203,6912,6559,6367,6090,6127,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.523969835153819,61.48343790675661]}"
37,5425,148,149,5820,6020,6380,6671,6395,6144,5936,5724,5957,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.523969835153819,61.48415655898391]}"
38,5237,146,145,5712,5924,6240,6429,6133,5753,5397,5258,5217,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.527024107119825,61.48164127618838]}"
39,6160,186,191,6796,6992,7308,7549,7088,6626,6464,6108,6049,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.5516379459047,61.480653129375845]}"
