system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,4881,123,109,5048,5240,5488,5843,5531,5166,4860,4860,4814,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.340174528022965,59.97543603930517]}"
1,4801,132,109,5104,5280,5504,5674,5386,5024,4820,4698,4705,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.33721008758537,59.97534620777676]}"
2,4803,125,114,4820,5116,5316,5656,5334,4965,4704,4610,4681,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.343498294574207,59.97471738707788]}"
3,4912,122,102,5004,5260,5448,5822,5442,5047,4728,4752,4774,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.345654251256094,59.97426822943582]}"
4,5206,125,126,5152,5396,5596,6083,5703,5282,4832,5000,5023,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.340174528022965,59.971932609697106]}"
5,5121,123,107,5192,5404,5612,6021,5682,5235,4828,4847,4791,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.321669233170103,59.97013597912887]}"
6,5152,131,113,5324,5604,5792,6128,5741,5421,5088,5103,5044,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.324903168192932,59.97462755554947]}"
7,4965,128,116,5104,5372,5580,5946,5687,5317,4928,4961,4890,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.324903168192932,59.973639408736936]}"
8,4664,120,114,4852,5152,5368,5617,5324,4941,4660,4633,4540,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.327328619460055,59.973639408736936]}"
9,4960,132,114,5008,5264,5488,5848,5534,5197,4908,4811,4826,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.332808342693185,59.97660384917453]}"
10,4919,123,122,4972,5244,5424,5825,5468,5098,4808,4769,4851,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.316099678408562,59.97462755554947]}"
11,4496,137,117,5024,5228,5492,5597,5352,4992,4792,4662,4474,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.340264359551377,59.970046147600456]}"
12,4704,124,115,4864,5092,5380,5664,5390,5050,4740,4670,4685,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.330203228369238,59.977681827515475]}"
13,4646,122,119,5272,5440,5648,6025,5682,5279,4948,4962,4650,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.329125250028294,59.9695969899584]}"
14,5181,132,129,5416,5644,5884,6150,5799,5402,5093,5008,4945,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.341611832477556,59.97166311511187]}"
15,4835,133,115,5028,5252,5504,5686,5413,5079,4804,4696,4732,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.334335478676188,59.97480721860629]}"
16,4960,127,117,4828,5068,5340,5720,5415,4985,4724,4775,4826,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.332449016579536,59.97678351223135]}"
17,5097,136,127,5132,5428,5624,6005,5611,5226,4876,4887,4951,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3196031080166275,59.97435806096423]}"
18,4704,120,105,4820,5112,5348,5657,5377,5011,4752,4632,4685,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3304727229544735,59.97759199598706]}"
19,4851,128,105,5084,5328,5540,5838,5474,5088,4784,4786,4724,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.326969293346408,59.97777165904388]}"
20,5299,122,103,5532,5692,5948,6290,5871,5436,5140,5090,5087,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.341971158591203,59.97570553389041]}"
21,4808,128,115,4988,5260,5488,5810,5483,5097,4776,4719,4707,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3233760322099295,59.975975028475645]}"
22,5085,126,120,5236,5492,5684,5991,5674,5308,4992,4946,4874,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.342869473875323,59.973819071793756]}"
23,4657,133,114,4824,5116,5356,5693,5396,5104,4752,4756,4750,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.32113024399963,59.976963175288176]}"
24,5384,125,113,5304,5616,5812,6163,5849,5431,5092,5083,5161,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.341701664005968,59.976424186117704]}"
