system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6518,158,126,6792,7212,7508,7887,7354,6799,6356,6318,6317,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.009149920106772,61.629683635011276]}"
1,5921,139,125,5780,6108,6392,6757,6219,5819,5372,5422,5772,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.026217910505043,61.632737906977276]}"
2,6560,149,133,6840,7248,7528,7882,7379,6819,6420,6292,6266,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.007712615652181,61.62851582514192]}"
3,6733,148,131,7140,7572,7920,8269,7697,7155,6808,6646,6575,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.025409426749336,61.630132792653335]}"
4,6933,151,120,7332,7680,7992,8338,7708,7088,6643,6542,6466,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.023792459237921,61.63318706461934]}"
5,5516,130,119,5436,5576,5912,6804,6423,5902,5118,5568,5435,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.031877296794996,61.62977346653968]}"
6,6388,139,107,7280,7652,7920,8415,7785,7081,6600,6499,6193,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.030439992340405,61.631749760164745]}"
7,6721,138,131,7328,7748,8052,8470,7856,7198,6796,6562,6511,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.026936562732339,61.63076161335221]}"
8,6530,130,116,7000,7372,7632,8043,7518,6836,6399,6317,6227,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.03205695985182,61.63255824392046]}"
9,6588,158,121,6884,7240,7504,7928,7409,6856,6444,6312,6294,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.006095648140766,61.62815649902827]}"
10,6630,150,130,6756,7120,7464,7813,7345,6782,6307,6314,6226,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.031517970681349,61.62860565667033]}"
11,6965,159,145,7404,7856,8136,8576,8068,7467,6948,6948,6771,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.020917850328738,61.6321090862784]}"
12,6517,156,128,6740,7056,7364,7792,7218,6622,6209,6217,6176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.007622784123769,61.6276175098578]}"
13,6730,143,124,6864,7260,7584,8093,7469,6906,6520,6464,6411,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.025948415919808,61.63381588531822]}"
14,5935,140,133,6376,6744,7076,7440,6970,6327,6219,5909,5749,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.025948415919808,61.63165992863634]}"
15,6535,146,137,6844,7204,7472,7886,7368,6810,6303,6290,6212,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.006634637311238,61.62770734138621]}"
16,6095,126,111,6416,6800,7056,7489,6903,6243,5868,5789,5844,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.028014541073282,61.6329175700341]}"
17,6634,146,130,6876,7296,7552,7957,7469,6825,6420,6375,6255,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.014270317226254,61.62546155317591]}"
18,6752,145,131,7028,7456,7764,8144,7661,7037,6571,6539,6407,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.032595949022292,61.6329175700341]}"
19,6550,134,123,7392,7788,8080,8490,7841,7206,6705,6664,6435,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.025499258277748,61.63121077099428]}"
20,6550,142,125,6832,7228,7508,8057,7514,6956,6524,6428,6435,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.026217910505043,61.631300602522685]}"
21,6663,149,116,6984,7360,7640,8134,7643,6998,6401,6501,6384,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.029901003169933,61.633007401562516]}"
22,7068,148,124,7228,7604,7916,8407,7769,7203,6764,6665,6714,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.023522964652685,61.63309723309093]}"
23,6669,139,123,6960,7328,7564,8014,7502,6920,6484,6370,6287,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.032236622908644,61.63192942322157]}"
24,6492,155,117,6768,7164,7448,7847,7335,6784,6356,6280,6246,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.017144926135436,61.62770734138621]}"
