system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7054,198,190,7440,7552,7704,7886,7461,6849,6444,6271,6170,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.472590775184034,61.85201666783085]}"
1,6609,183,175,7080,7184,7316,7495,7037,6463,6200,5887,5578,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.472051786013561,61.852375993944506]}"
2,7054,198,186,7388,7536,7668,7935,7431,6785,6424,6184,6170,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.472860269769269,61.85201666783085]}"
3,7054,198,186,7388,7536,7668,7935,7431,6785,6424,6184,6170,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.472950101297681,61.85201666783085]}"
4,7028,189,173,7040,7192,7316,7667,7142,6560,6144,5954,6018,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.474387405752273,61.852555657001325]}"
5,6609,192,177,6820,7000,7228,7437,6970,6459,6124,5918,5578,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.4723212805987975,61.85228616241609]}"
6,7028,189,173,7040,7192,7316,7667,7142,6560,6144,5954,6018,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.474477237280684,61.852555657001325]}"
7,6609,192,177,6820,7000,7228,7437,6970,6459,6124,5918,5578,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.47241111212721,61.85228616241609]}"
8,7054,196,179,7252,7392,7504,7748,7306,6697,6420,6152,6170,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.472500943655621,61.85219633088768]}"
9,6831,201,192,7348,7516,7636,7823,7366,6738,6456,6124,5806,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.474117911167037,61.85228616241609]}"
10,7054,196,179,7252,7392,7504,7748,7306,6697,6420,6152,6170,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.472590775184034,61.85219633088768]}"
11,7054,198,186,7388,7536,7668,7935,7431,6785,6424,6184,6170,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.473039932826093,61.85201666783085]}"
12,6894,199,187,7108,7276,7416,7629,7172,6558,6396,6051,6093,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.471333133786266,61.85183700477403]}"
13,7078,207,186,7000,7168,7332,7580,7152,6578,6176,6051,6038,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.4723212805987975,61.851567510188794]}"
14,6894,196,184,7304,7440,7624,7808,7389,6740,6476,6240,6093,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.471782291428326,61.85192683630244]}"
15,7078,207,186,7000,7168,7332,7580,7152,6578,6176,6051,6038,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.47241111212721,61.851567510188794]}"
16,6422,185,170,7032,7184,7324,7670,7117,6419,6244,5823,5535,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.4718721229567375,61.852375993944506]}"
17,7028,179,170,7124,7256,7392,7666,7198,6619,6288,6020,6018,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.47474673186592,61.852555657001325]}"
18,6894,196,184,7192,7376,7540,7808,7389,6740,6452,6240,6093,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.471602628371502,61.85192683630244]}"
19,7028,189,173,7052,7208,7280,7667,7142,6560,6148,5954,6018,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.47429757422386,61.852555657001325]}"
20,6422,185,170,6988,7148,7360,7670,7117,6419,6216,5823,5535,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.471602628371502,61.852375993944506]}"
21,7078,208,206,7000,7188,7360,7573,7066,6528,6208,5951,6038,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.47196195448515,61.851387847131974]}"
22,6831,201,192,7348,7516,7636,7823,7366,6738,6456,6124,5806,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.474028079638625,61.85228616241609]}"
23,6831,199,191,7164,7264,7404,7541,7119,6448,6292,5941,5806,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.473938248110213,61.85246582547291]}"
24,6422,185,170,7032,7184,7324,7670,7117,6419,6244,5823,5535,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.471782291428326,61.852375993944506]}"
