system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5950,164,139,6376,6728,7012,7321,6978,6542,6236,6011,6057,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.291934997265747,59.96187147851497]}"
1,5106,142,117,5132,5440,5668,5934,5541,5108,4804,4696,4800,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2969655628568155,59.962140973100205]}"
2,5954,167,138,6268,6576,6816,7191,6816,6370,5992,5863,6008,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2889705568281515,59.96097316323085]}"
3,5799,148,129,5284,5480,5728,6392,6155,5676,4868,5292,5779,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.28843156765768,59.96196131004338]}"
4,4989,137,111,5488,5572,5880,6266,5957,5540,5108,4971,5068,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.292384154907806,59.96393760366844]}"
5,4989,138,105,5684,5736,5968,6142,5749,5425,5104,4904,5068,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.291665502680511,59.96420709825368]}"
6,5379,155,122,5944,6108,6352,6593,6258,5800,5532,5322,5419,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.288790893771328,59.963847772140035]}"
7,5244,136,111,5628,5856,6124,6417,5945,5571,5208,5069,5300,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2931926386635135,59.96321895144115]}"
8,5917,162,130,6364,6704,6992,7304,6910,6478,6200,6008,6032,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.292114660322571,59.96250029921385]}"
9,5030,144,125,5464,5628,5868,6441,6046,5658,5036,5122,4929,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.292384154907806,59.9590867011342]}"
10,5659,164,141,6224,6504,6800,7212,6829,6427,6056,5893,5774,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2931926386635135,59.96196131004338]}"
11,5116,124,104,5296,5340,5448,5787,5471,5075,4812,4612,4744,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.295707921459049,59.962590130742264]}"
12,4718,128,105,5128,5152,5492,6356,5996,5615,4644,5166,4510,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.292653649493042,59.963847772140035]}"
13,5428,144,129,6088,6364,6616,6977,6603,6074,5812,5601,5606,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.292024828794158,59.963578277554795]}"
14,5368,156,140,6388,6636,6932,7257,6890,6504,6156,5912,5345,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2903180297543315,59.962140973100205]}"
15,5445,145,110,5420,5512,5772,6355,6023,5614,4892,5197,5551,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.294540111589693,59.96205114157179]}"
16,5278,152,118,5484,5700,5944,6592,6171,5841,5260,5292,5230,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.291306176566863,59.9628596253275]}"
17,5445,150,120,5592,5700,6048,6366,6003,5586,5220,5146,5551,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.294540111589693,59.96160198392973]}"
18,4937,123,105,5464,5580,5732,6041,5586,5195,4852,4706,4675,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.288521399186092,59.9628596253275]}"
19,5512,130,103,5600,5640,5796,5944,5575,4970,5000,4635,5389,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.288162073072445,59.962410467685444]}"
20,6002,168,140,6200,6548,6792,7158,6790,6427,6048,5854,6015,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.2894197144702115,59.961242657816086]}"
21,5870,166,137,6400,6728,6976,7328,6972,6541,6176,6018,5980,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.290048535169095,59.96151215240132]}"
22,5244,146,124,5868,6108,6348,6865,6464,6012,5492,5551,5300,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.29301297560669,59.96330878296956]}"
23,6002,166,133,6372,6720,6996,7339,6955,6536,6196,6018,6069,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.290677355867979,59.96178164698656]}"
24,5754,152,130,6172,6476,6776,7162,6745,6315,5992,5797,5791,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.286365442504206,59.96223080462862]}"
