system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8806,302,234,9920,10056,10344,10778,10183,9502,8944,8749,8274,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.13006315734926,61.70936420071268]}"
1,8817,256,307,9264,9552,10280,10771,10064,9213,8304,8406,8117,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.13006315734926,61.7095438637695]}"
2,9526,274,219,9952,10136,10632,10981,10318,9633,8840,8857,8743,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.103203530354087,61.710891336695674]}"
3,6919,228,165,7588,7804,8264,9017,8245,7534,6612,6778,6535,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.14569384329294,61.709004874599025]}"
4,8817,256,307,9264,9552,10280,10771,10064,9213,8304,8406,8117,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.129973325820848,61.7095438637695]}"
5,9526,274,219,9792,9960,10480,10981,10318,9633,8728,8857,8743,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.103562856467734,61.710891336695674]}"
6,9526,274,219,9792,9960,10480,10981,10318,9633,8728,8857,8743,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.103473024939322,61.710891336695674]}"
7,9526,274,219,9952,10136,10632,10981,10318,9633,8840,8857,8743,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.103293361882498,61.710891336695674]}"
8,9526,273,230,9656,10032,10568,10997,10340,9543,8696,8807,8743,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.1038323510529695,61.710891336695674]}"
9,9526,274,219,9792,9960,10480,10981,10318,9633,8728,8857,8743,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.10338319341091,61.710891336695674]}"
10,8817,256,307,9328,9368,10208,10771,10064,9213,8336,8406,8117,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.129883494292436,61.7095438637695]}"
11,6919,228,165,7588,7804,8264,9017,8245,7534,6612,6778,6535,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.1457836748213515,61.709004874599025]}"
12,9526,273,230,9640,9960,10504,10997,10340,9543,8592,8807,8743,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.103652687996146,61.710891336695674]}"
13,9526,273,230,9640,9960,10504,10997,10340,9543,8592,8807,8743,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.103742519524558,61.710891336695674]}"
14,9526,273,230,9656,10032,10568,10997,10340,9543,8696,8807,8743,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.103922182581382,61.710891336695674]}"
15,8817,256,307,9328,9368,10208,10771,10064,9213,8336,8406,8117,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.129793662764024,61.7095438637695]}"
16,8806,302,234,9920,10056,10344,10778,10183,9502,8944,8749,8274,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.129973325820848,61.70936420071268]}"
