system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8550,253,222,8704,8856,9064,9396,8815,8311,8056,7828,7853,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.044184216187434,61.681157100791324]}"
1,8661,259,229,8824,8976,9200,9470,8905,8430,8140,7987,7994,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.041668933391899,61.6825045737175]}"
2,8522,247,209,8648,8760,8952,9287,8726,8285,8024,7845,7807,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.040141797408896,61.681336763848144]}"
3,8417,248,206,8568,8680,8856,9246,8658,8204,7920,7746,7748,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.042657080204431,61.68034861703561]}"
4,8757,268,223,8832,8976,9152,9526,8945,8472,8080,7982,8043,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.041579101863487,61.68295373135956]}"
5,8750,263,217,8928,9096,9224,9599,8985,8528,8208,7960,7999,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.0377163461417735,61.68268423677433]}"
6,8699,251,227,8816,8992,9152,9499,8907,8401,8136,7911,7956,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.0387943244827165,61.68268423677433]}"
7,8651,260,217,8832,8976,9144,9480,8857,8385,8104,7951,7972,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.041399438806663,61.68241474218909]}"
8,8751,274,239,9000,9112,9240,9656,8993,8523,8172,8030,7999,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.0377163461417735,61.68340288900162]}"
9,8746,250,235,8864,9008,9168,9531,8913,8449,8140,7972,8027,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.039153650596364,61.68295373135956]}"
10,8848,286,235,9168,9248,9360,9762,9139,8566,8296,8057,8038,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.033404432777999,61.68331305747321]}"
11,8750,263,217,8928,9096,9224,9599,8985,8528,8208,7960,7999,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.037806177670185,61.68268423677433]}"
12,8499,243,207,8592,8728,8968,9297,8745,8255,7936,7744,7776,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.042746911732842,61.68052828009244]}"
13,8651,255,217,8864,9024,9184,9547,8925,8472,8120,7895,7972,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.041309607278251,61.682774068302734]}"
14,8699,251,227,8848,8984,9192,9499,8907,8401,8172,7911,7956,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.03897398753954,61.68268423677433]}"
15,8571,253,217,8744,8856,9064,9391,8882,8384,8036,7928,7934,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.041668933391899,61.682324910660675]}"
16,8627,273,228,8808,8968,9128,9470,8912,8386,8084,7850,7857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.045621520642025,61.68070794314926]}"
17,8704,256,225,8824,8968,9208,9505,8988,8503,8156,7972,8019,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.043285900903314,61.6825045737175]}"
18,8623,256,218,8840,8976,9128,9501,8874,8415,8140,7936,7958,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.043285900903314,61.68223507913226]}"
19,8550,252,215,8752,8856,9064,9346,8813,8342,8040,7884,7868,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.04355539548855,61.68142659537656]}"
20,8550,241,201,8664,8760,8960,9359,8738,8327,8016,7811,7868,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.042746911732842,61.68142659537656]}"
21,8517,247,222,8600,8712,8904,9243,8719,8267,7964,7768,7790,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.038614661425893,61.680438448564026]}"
22,8550,252,215,8704,8840,9040,9346,8813,8342,8008,7884,7868,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.04355539548855,61.68151642690497]}"
23,8543,249,212,8712,8856,9016,9360,8796,8317,8032,7808,7824,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.0448130368863175,61.68079777467767]}"
24,8470,242,211,8576,8672,8848,9241,8628,8202,7988,7746,7782,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.040501123522543,61.681157100791324]}"
