system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5562,133,115,6000,6320,6544,6922,6538,6136,5884,5667,5712,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.342779642346911,59.97274109345282]}"
1,5455,131,107,5880,6156,6436,6723,6398,6003,5728,5592,5613,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.34089318025026,59.97103429441299]}"
2,5371,131,130,5684,6016,6232,6587,6248,5905,5604,5504,5564,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.34592374584133,59.96941732690157]}"
3,5371,141,115,5868,6200,6432,6833,6374,6015,5728,5585,5564,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.346193240426565,59.96914783231634]}"
4,5351,138,123,5668,6012,6196,6592,6226,5880,5548,5480,5522,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.336042277716015,59.972381767339165]}"
5,5612,127,93,6152,6412,6688,6932,6491,6119,5756,5607,5613,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.339815201909317,59.969327495373165]}"
6,5551,123,119,5908,6108,6424,6700,6299,5934,5648,5435,5549,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.343588126102619,59.96824951703222]}"
7,5925,154,132,6444,6812,7076,7439,6990,6529,6168,5981,5980,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.347540713352744,60.02358573853398]}"
8,5998,145,126,6464,6844,7144,7430,6969,6536,6164,5970,6011,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.339006718153609,60.02098062421003]}"
9,5516,143,127,5892,6256,6452,6880,6495,6132,5800,5676,5676,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.343947452216267,59.973819071793756]}"
10,5264,130,102,5576,5892,6088,6464,6083,5745,5464,5321,5450,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.338737223568374,59.973639408736936]}"
11,5310,142,145,5912,6144,6420,6696,6300,5987,5672,5513,5495,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.344396609858326,59.97022581065728]}"
12,5340,132,102,5644,5980,6176,6527,6175,5858,5596,5415,5523,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.336221940772838,59.97274109345282]}"
13,5350,127,120,5744,6084,6324,6746,6311,5979,5656,5542,5555,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.342420316233263,59.970315642185696]}"
14,5014,132,130,5812,6112,6300,6767,6385,5994,5596,5512,5351,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.336850761471722,59.969507158429984]}"
15,4810,128,114,5716,6056,6300,6759,6230,5887,5692,5472,4861,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.336132109244427,59.9658240657651]}"
16,5265,136,114,5684,5956,6168,6683,6291,5978,5616,5502,5541,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.334784636318248,59.97247159886758]}"
17,6004,148,135,6504,6820,7064,7425,6981,6501,6136,5932,6026,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.344396609858326,60.02376540159081]}"
18,4745,130,121,5684,5960,6288,6752,6387,6016,5648,5538,4821,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.336132109244427,59.964835918952566]}"
19,5956,152,131,6424,6816,7076,7441,6980,6516,6124,5990,6020,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.348798354750512,60.023406075477155]}"
20,5264,139,119,5576,5892,6104,6498,6173,5862,5500,5410,5450,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.33855756051155,59.97354957720852]}"
21,5455,135,107,5832,6180,6400,6795,6349,5988,5776,5507,5613,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.340264359551377,59.9711241259414]}"
22,5587,146,118,6004,6300,6552,6908,6527,6146,5856,5662,5778,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3460135773697415,59.97274109345282]}"
23,5371,130,138,5832,6164,6420,6860,6417,6087,5756,5656,5564,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3464627350118015,59.96941732690157]}"
24,5435,136,113,5708,5980,6188,6571,6259,5895,5596,5491,5553,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.3455644197276815,59.969058000787925]}"
