system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5802,154,140,6440,6724,7028,7233,6872,6355,5989,5796,5760,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.107520017999711,61.54461317760516]}"
1,5980,148,138,6564,6884,7152,7469,7066,6573,6124,5934,5906,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.11210142594872,61.54685896581545]}"
2,5843,151,127,6380,6704,7052,7284,6868,6371,6024,5770,5796,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.107340354942888,61.54542166136086]}"
3,5821,166,138,6172,6552,6908,7275,6842,6421,6024,5855,5872,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.114616708744256,61.545241998304036]}"
4,5810,169,141,6324,6668,6964,7211,6839,6371,5948,5817,5788,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.104016588391644,61.545691155946095]}"
5,5821,167,143,6324,6652,6968,7333,6958,6472,5988,5890,5872,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.113808224988547,61.54515216677562]}"
6,5843,155,136,6432,6732,7020,7286,6894,6444,6036,5872,5800,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.10608271354512,61.54578098747451]}"
7,5809,172,143,6412,6752,7060,7251,6862,6448,6108,5875,5854,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.114526877215843,61.54371486232103]}"
8,5820,168,151,6244,6600,6872,7254,6847,6429,5976,5835,5759,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.104735240618941,61.54461317760516]}"
9,5858,152,135,6424,6792,7084,7342,6981,6439,6056,5824,5798,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.108777659397479,61.54479284066198]}"
10,5854,171,147,6376,6720,7052,7297,6942,6441,6092,5899,5911,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.11210142594872,61.54398435690627]}"
11,5854,170,146,6332,6720,7028,7374,6950,6457,6084,5983,5911,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.111472605249837,61.544074188434685]}"
12,5823,159,132,6264,6592,6996,7253,6821,6381,5972,5782,5749,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.107160691886063,61.54308604162215]}"
13,5908,157,134,6540,6796,7076,7334,6919,6436,6031,5858,5829,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.109675974681599,61.543804693849445]}"
14,5843,160,133,6388,6636,7036,7340,6918,6434,5956,5841,5800,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.10563355590306,61.545511492889275]}"
15,5966,149,127,6356,6740,7056,7326,6924,6468,6044,5864,5847,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.108148838698595,61.54560132441769]}"
16,5931,160,149,6588,6896,7236,7442,7047,6603,6172,5986,5887,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.11290990970443,61.546679302758626]}"
17,5824,152,136,6240,6548,6928,7287,6882,6405,6017,5818,5796,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.107520017999711,61.5434453677358]}"
18,6006,145,146,6420,6812,7060,7432,7021,6528,6024,5924,5874,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.108508164812243,61.545960650531335]}"
19,5839,154,155,6304,6588,7040,7206,6772,6367,5996,5782,5772,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.10653187118718,61.54371486232103]}"
20,5896,172,145,6464,6836,7168,7437,7001,6546,6088,5964,5879,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.113269235818077,61.54560132441769]}"
21,5816,153,141,6180,6532,6908,7210,6796,6350,5924,5786,5765,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.107070860357652,61.54515216677562]}"
22,5819,155,139,6348,6620,6992,7200,6845,6354,5996,5811,5753,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.107160691886063,61.543804693849445]}"
23,5966,153,134,6396,6756,7124,7384,6977,6515,6063,5943,5847,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.108597996340654,61.54560132441769]}"
24,5896,171,146,6524,6844,7212,7439,7024,6529,6108,5966,5879,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.113269235818077,61.545511492889275]}"
